!System                        SCF               MP2              CCSD           CCSD(T)
atp_0_be1_f1        -83.8117506753    -83.8586114050    -83.8707326359    -83.8712459150
atp_0_be1_f8        -62.3063536798    -62.3684566513    -62.3849312422    -62.3851439468
atp_0_be2_f456      -96.4950581085    -96.5376908282    -96.5509103183    -96.5512772722
atp_0_be1_f19      -361.3325021222   -361.3601996867   -361.3675731794   -361.3676567865
atp_0_be2_f4       -261.6957502083   -261.9083390136   -261.9430193335   -261.9477940238
atp_0_be2_f14      -295.5234954308   -295.6774770719   -295.7197899247   -295.7222134781
atp_0_be2_f10      -377.2469586813   -377.5342712945   -377.5769053734   -377.5848782595
atp_0_be2_f15      -633.8936149617   -634.0317685322   -634.0664583875   -634.0689082019
atp_0_be2_f11      -401.4247156464   -401.6993940168   -401.7466210767   -401.7547423355
atp_0_be2_f2       -422.3869593402   -422.6122199610   -422.6646210498   -422.6686322289
atp_0_be2_f17      -960.4497265240   -960.5635703821   -960.5846875544   -960.5876621427
atp_0_be2_f13      -444.8251245564   -445.0453206792   -445.1049100602   -445.1080231468
atp_0_be2_f0       -441.0399066408   -441.2677695234   -441.3300184334   -441.3333672495
atp_0_be2_f16      -987.1253187567   -987.3291995991   -987.3531711050   -987.3655838619
atp_0_be2_f21      -975.7257640984   -975.9200856735   -975.9398313618   -975.9531204792
atp_0_be2_f18      -982.1344332574   -982.3299988456   -982.3513719588   -982.3636653289
