# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1520970874         589        346921       18879         388        23.4
     2     -982.1692328628         525        275625      186311         640       119.4
     3     -982.1854428186         518        268324      186674         850       142.6
     4     -982.1963670006         510        260100      186438        1022       167.7
     5     -982.2062710379         510        260100      186703        1168       194.7
     6     -982.2175698862         503        253009      186561        1313       224.2
     7     -982.2208241523         517        267289      186737        1438       253.0
     8     -982.2258378769         499        249001      186514        1583       288.4
     9     -982.2300704434         541        292681      186855        1705       330.1
    10     -982.2365693966         546        298116      186744        1850       370.5
    11     -982.2404507309         488        238144      186768        1973       408.8
    12     -982.2437549517         517        267289      186420        2072       455.2
    13     -982.2459733382         509        259081      186584        2176       491.7
    14     -982.2482396566         510        260100      186744        2284       533.2
    15     -982.2503584020         516        266256      186685        2389       595.1
    16     -982.2533711413         526        276676      186847        2494       639.9
    17     -982.2551446191         507        257049      186657        2569       689.6
    18     -982.2561680098         524        274576      186710        2662       724.4
    19     -982.2570478425         512        262144      186677        2740       771.6
    20     -982.2588827761         516        266256      186753        2827       811.8
    21     -982.2612291883         501        251001      186585        2918       865.1
    22     -982.2633820987         508        258064      186624        2991       907.7
    23     -982.2637917992         529        279841      186764        3068       968.5
    24     -982.2650761634         524        274576      186804        3146      1006.3
    25     -982.2666612708         539        290521      186802        3217      1060.8
    26     -982.2685293853         532        283024      186781        3302      1106.6
    27     -982.2704629201         516        266256      186879        3363      1161.6
    28     -982.2713744472         512        262144      186745        3433      1206.5
    29     -982.2720995321         510        260100      186783        3504      1260.6
    30     -982.2727498581         524        274576      186720        3577      1312.6
    31     -982.2748151740         516        266256      186718        3639      1362.2
    32     -982.2775535446         514        264196      186743        3710      1413.5
    33     -982.2781737438         525        275625      186641        3767      1458.3
    34     -982.2793853081         532        283024      186852        3841      1520.7
    35     -982.2795418475         515        265225      186800        3910      1570.8
    36     -982.2805214013         524        274576      186578        3976      1628.9
    37     -982.2806300562         485        235225      187164        4039      1678.5
    38     -982.2830802004         521        271441      186837        4107      1744.4
    39     -982.2840476013         529        279841      187053        4182      1799.2
    40     -982.2852199766         513        263169      186908        4247      1878.7
    41     -982.2855274410         514        264196      186844        4313      1926.4
    42     -982.2855589169         531        281961      186907        4384      2003.5
    43     -982.2859836860         487        237169      186828        4439      2059.9
    44     -982.2868481283         519        269361      186791        4506      2120.9
    45     -982.2877626836         545        297025      186967        4573      2192.7
    46     -982.2878682086         517        267289      186790        4641      2321.3
    47     -982.2883827886         516        266256      186839        4707      2457.1
    48     -982.2887897479         513        263169      186951        4760      2545.5
    49     -982.2889878848         512        262144      186886        4823      2600.7
    50     -982.2904798934         518        268324      186983        4873      2669.2
    51     -982.2907528493         527        277729      186951        4925      2725.4
    52     -982.2908308532         520        270400      186810        4987      2791.0
    53     -982.2910444457         512        262144      187014        5033      2868.5
    54     -982.2923519940         509        259081      186712        5080      2927.8
    55     -982.2924225804         539        290521      187091        5137      3020.5
    56     -982.2927003862         537        288369      186533        5187      3066.3
    57     -982.2927391072         519        269361      186832        5245      3131.1
    58     -982.2931161890         534        285156      186762        5294      3220.2
    59     -982.2932711929         528        278784      186832        5344      3288.4
    60     -982.2933177745         509        259081      187048        5393      3359.2
    61     -982.2937122791         511        261121      186776        5450      3427.0
    62     -982.2937649043         534        285156      186876        5510      3477.9
    63     -982.2938162366         547        299209      186807        5551      3605.2
    64     -982.2938503182         503        253009      186824        5598      3629.8
    65     -982.2955874245         514        264196      186917        5647      3742.7
    66     -982.2959665398         518        268324      186901        5699      3807.3
    67     -982.2960357013         529        279841      186942        5748      3901.4
    68     -982.2965191667         518        268324      186770        5797      3976.2
    69     -982.2965650400         504        254016      186931        5849      4061.4
    70     -982.2966126538         529        279841      186855        5899      4131.5
    71     -982.2966902325         530        280900      186967        5963      4207.3
# CRASHED iteration=72 batch=0 dets=301401
# CRASHED iteration=72 batch=0 dets=301401
# CRASHED iteration=72 batch=0 dets=301401
# CRASHED iteration=72 batch=0 dets=248004
