# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1536200179         609        370881       27291         391        24.9
     2     -982.1729325493         532        283024      289607         626       171.5
     3     -982.1854075010         531        281961      289795         849       190.8
     4     -982.1979320217         526        276676      289732        1029       220.2
     5     -982.2101072707         532        283024      290012        1192       246.6
     6     -982.2156009869         535        286225      289898        1345       285.0
     7     -982.2236500241         536        287296      290027        1509       323.5
     8     -982.2308928154         554        306916      289841        1650       369.2
     9     -982.2350841948         510        260100      289811        1792       400.3
    10     -982.2392863702         526        276676      290125        1910       453.1
    11     -982.2417876163         541        292681      290102        2022       485.5
    12     -982.2446726301         551        303601      289979        2119       530.4
    13     -982.2459743831         528        278784      290026        2213       568.6
    14     -982.2490410920         548        300304      290110        2332       611.6
    15     -982.2511496942         541        292681      289977        2421       649.9
    16     -982.2539499620         520        270400      290139        2515       689.1
    17     -982.2574524703         527        277729      290071        2590       745.7
    18     -982.2585416039         519        269361      290152        2685       779.0
    19     -982.2623881550         523        273529      289989        2766       833.2
    20     -982.2636324341         517        267289      290047        2861       876.3
    21     -982.2652479080         524        274576      290170        2938       921.3
    22     -982.2666798471         532        283024      290071        3032       980.1
    23     -982.2690129498         534        285156      289976        3119      1039.5
    24     -982.2721096983         535        286225      290241        3204      1101.2
    25     -982.2740516938         528        278784      289794        3287      1158.0
    26     -982.2760755929         524        274576      290457        3384      1214.2
    27     -982.2768383001         512        262144      289932        3455      1265.1
    28     -982.2784023382         545        297025      290168        3532      1323.1
    29     -982.2795432677         550        302500      290361        3616      1391.1
    30     -982.2811505182         525        275625      289991        3677      1449.0
    31     -982.2823326830         528        278784      290089        3740      1498.9
    32     -982.2825138356         527        277729      289906        3808      1552.5
    33     -982.2830532009         531        281961      290223        3870      1597.9
    34     -982.2840797523         538        289444      289999        3927      1657.8
    35     -982.2847084461         537        288369      290451        3997      1705.2
    36     -982.2879708889         529        279841      290113        4063      1767.2
    37     -982.2883549229         532        283024      290546        4136      1830.4
    38     -982.2884705780         517        267289      290223        4195      1882.3
    39     -982.2891548556         546        298116      290033        4264      1940.2
    40     -982.2900709885         528        278784      290114        4324      2060.9
    41     -982.2909893050         527        277729      290237        4383      2180.9
    42     -982.2919245632         543        294849      290158        4442      2253.1
    43     -982.2924211042         536        287296      290089        4505      2310.0
    44     -982.2924853963         527        277729      290147        4546      2358.1
    45     -982.2939115453         538        289444      290302        4609      2414.4
    46     -982.2940879135         545        297025      290099        4676      2482.7
    47     -982.2943038115         541        292681      290214        4737      2572.9
    48     -982.2944021042         534        285156      290187        4797      2638.7
    49     -982.2944668957         545        297025      290211        4851      2722.6
    50     -982.2946009788         528        278784      290050        4901      2762.5
    51     -982.2955022427         527        277729      290147        4949      2819.7
    52     -982.2960886410         528        278784      290270        5005      2875.8
    53     -982.2962445873         521        271441      290234        5059      2945.1
    54     -982.2968312910         541        292681      290113        5121      3022.5
    55     -982.2985083437         539        290521      290293        5160      3095.9
    56     -982.2987164879         528        278784      290256        5204      3147.8
    57     -982.2989368850         507        257049      290439        5253      3214.1
    58     -982.2990169426         546        298116      290341        5313      3312.1
    59     -982.2993061741         524        274576      290139        5356      3364.2
    60     -982.2997572953         523        273529      290320        5401      3431.7
    61     -982.2998179300         533        284089      290314        5449      3487.9
    62     -982.2998555624         551        303601      290195        5496      3560.6
    63     -982.3000004652         516        266256      290077        5541      3639.6
    64     -982.3000370235         523        273529      290373        5589      3716.4
    65     -982.3000779050         533        284089      289902        5633      3779.3
    66     -982.3005310040         536        287296      290037        5688      3869.4
    67     -982.3005892330         547        299209      290059        5740      3977.7
    68     -982.3011369163         549        301401      290181        5810      4045.5
    69     -982.3011946509         541        292681      290130        5855      4145.7
    70     -982.3021353542         532        283024      290126        5901      4210.8
    71     -982.3021688290         537        288369      290288        5950      4313.1
# CRASHED iteration=72 batch=0 dets=266256
# CRASHED iteration=72 batch=0 dets=266256
# CRASHED iteration=72 batch=0 dets=266256
# CRASHED iteration=72 batch=0 dets=280900
