# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1517099637         675        455625       33735         395        27.8
     2     -982.1715338475         585        342225      488224         636       220.6
     3     -982.1863120318         601        361201      488157         869       248.3
     4     -982.1967530657         601        361201      488530        1076       280.6
     5     -982.2103751724         631        398161      488517        1274       321.9
     6     -982.2206850513         601        361201      488376        1439       362.2
     7     -982.2255072241         590        348100      488770        1628       405.1
     8     -982.2289851401         620        384400      488744        1766       456.3
     9     -982.2369080023         629        395641      488601        1919       507.3
    10     -982.2401856900         621        385641      488795        2052       560.8
    11     -982.2422210285         609        370881      488775        2209       610.1
    12     -982.2459468917         588        345744      488497        2333       666.0
    13     -982.2485695566         612        374544      488838        2450       726.5
    14     -982.2514433440         608        369664      489121        2567       774.6
    15     -982.2552708168         576        331776      489072        2672       826.6
    16     -982.2580900473         577        332929      488735        2762       881.4
    17     -982.2596482365         587        344569      488739        2871       929.4
    18     -982.2621226702         625        390625      488663        2971      1021.3
    19     -982.2642503388         600        360000      488706        3073      1106.2
    20     -982.2657581696         611        373321      488827        3179      1165.4
    21     -982.2673567094         615        378225      488803        3301      1242.9
    22     -982.2687546170         615        378225      488443        3392      1319.5
    23     -982.2704768297         633        400689      488967        3503      1392.1
    24     -982.2708515311         614        376996      488563        3587      1469.3
    25     -982.2712789582         603        363609      488812        3678      1530.0
    26     -982.2723640569         621        385641      488791        3775      1622.6
    27     -982.2741288590         613        375769      488729        3864      1691.8
    28     -982.2757998887         597        356409      488624        3954      1767.2
    29     -982.2765569809         615        378225      488753        4058      1830.4
    30     -982.2769141363         589        346921      488973        4132      1919.0
    31     -982.2781005485         602        362404      488949        4209      1985.6
    32     -982.2801149871         590        348100      488912        4293      2057.5
    33     -982.2807697764         609        370881      488652        4378      2155.0
    34     -982.2816070377         601        361201      488724        4441      2243.0
    35     -982.2821703842         619        383161      488979        4511      2303.8
    36     -982.2831812072         590        348100      488520        4591      2388.9
    37     -982.2841715489         591        349281      488719        4668      2470.7
    38     -982.2847315757         613        375769      488381        4746      2557.8
    39     -982.2852998881         596        355216      489000        4816      2630.8
    40     -982.2858108241         602        362404      488800        4881      2741.9
    41     -982.2861921043         627        393129      488831        4947      2880.9
    42     -982.2871354910         618        381924      489204        5028      2973.1
    43     -982.2872061161         616        379456      489027        5105      3066.2
    44     -982.2873804410         581        337561      488928        5171      3145.8
    45     -982.2889143892         589        346921      488576        5249      3241.3
    46     -982.2893651083         608        369664      489059        5343      3359.7
    47     -982.2906173497         593        351649      488762        5418      3484.0
    48     -982.2908847292         623        388129      488728        5504      3597.2
    49     -982.2909934283         598        357604      488955        5583      3695.2
    50     -982.2911335421         601        361201      488959        5650      3848.2
    51     -982.2920348897         601        361201      488575        5707      3930.2
    52     -982.2924666440         603        363609      488996        5773      4033.0
    53     -982.2927072502         625        390625      489072        5835      4129.9
    54     -982.2943324660         590        348100      488984        5905      4226.6
# CRASHED iteration=55 batch=0 dets=370881
# CRASHED iteration=55 batch=0 dets=370881
# CRASHED iteration=55 batch=0 dets=370881
# CRASHED iteration=55 batch=0 dets=360000
