# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1499766301         700        490000       37104         383        29.5
     2     -982.1719234599         664        440896      704577         660       280.1
     3     -982.1856485868         643        413449      704479         888       307.2
     4     -982.1942336771         677        458329      704674        1115       341.6
     5     -982.2021053277         687        471969      704749        1301       385.8
     6     -982.2092384041         661        436921      704651        1488       424.7
     7     -982.2147063602         659        434281      704757        1644       472.3
     8     -982.2183922397         652        425104      704833        1807       516.7
     9     -982.2253142549         667        444889      704875        1974       568.6
    10     -982.2307691731         642        412164      704649        2124       627.1
    11     -982.2327276656         674        454276      704919        2279       690.4
    12     -982.2377336238         651        423801      704646        2426       749.9
    13     -982.2414488813         659        434281      704839        2562       814.9
    14     -982.2449695482         672        451584      704851        2692       879.3
    15     -982.2484942486         647        418609      705293        2800       944.8
    16     -982.2525112102         676        456976      704833        2917      1010.3
    17     -982.2541721938         649        421201      705225        3025      1078.0
    18     -982.2556675223         671        450241      705198        3144      1135.8
    19     -982.2560121566         667        444889      705030        3257      1259.6
    20     -982.2575705785         651        423801      704959        3365      1328.7
    21     -982.2596848806         668        446224      705055        3469      1416.2
    22     -982.2606261837         657        431649      704971        3573      1488.9
    23     -982.2618027040         654        427716      704925        3684      1567.2
    24     -982.2630209135         659        434281      705015        3780      1644.3
    25     -982.2652756611         654        427716      705035        3876      1727.2
    26     -982.2661060370         666        443556      705160        3987      1817.2
    27     -982.2673684412         657        431649      704870        4085      1892.4
    28     -982.2689869871         691        477481      705152        4188      2004.1
    29     -982.2694290240         683        466489      705071        4293      2108.5
    30     -982.2717469397         666        443556      704677        4380      2176.2
    31     -982.2730280431         671        450241      705110        4481      2271.1
    32     -982.2740247919         642        412164      705390        4568      2354.8
    33     -982.2746607210         691        477481      705340        4665      2466.9
    34     -982.2758277275         683        466489      705216        4752      2569.5
    35     -982.2763290698         644        414736      705150        4833      2664.8
    36     -982.2786062242         656        430336      705214        4921      2746.3
    37     -982.2793011310         657        431649      705409        5009      2857.5
    38     -982.2797720910         662        438244      705065        5095      2943.9
    39     -982.2806424823         652        425104      705073        5172      3055.7
    40     -982.2811125780         646        417316      705149        5245      3147.3
    41     -982.2812604491         666        443556      705030        5318      3248.8
    42     -982.2815927304         664        440896      705013        5406      3432.1
    43     -982.2816597981         647        418609      704981        5472      3528.4
    44     -982.2818646483         683        466489      704947        5538      3620.4
    45     -982.2838192938         665        442225      704960        5618      3753.7
    46     -982.2845933987         656        430336      705102        5709      3880.1
    47     -982.2848617728         662        438244      704822        5783      3988.2
    48     -982.2864167262         673        452929      704685        5846      4094.2
# CRASHED iteration=49 batch=0 dets=450241
# CRASHED iteration=49 batch=0 dets=450241
# CRASHED iteration=49 batch=0 dets=410881
