# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1374865215         963        927369        3374         238        44.6
     2     -982.1491648914         812        659344      230369         507       104.9
     3     -982.1549795367         826        682276      230419         744       130.2
     4     -982.1628002950         805        648025      230412         944       160.0
     5     -982.1681349718         823        677329      230299        1157       193.6
     6     -982.1732949792         816        665856      230463        1330       239.8
     7     -982.1760075009         818        669124      230461        1487       273.3
     8     -982.1816339504         801        641601      230361        1623       316.1
     9     -982.1843900947         817        667489      230313        1773       353.0
    10     -982.1884838823         810        656100      230459        1914       402.7
    11     -982.1907320389         810        656100      230415        2060       457.1
    12     -982.1925847672         793        628849      230431        2190       503.2
    13     -982.1951953439         813        660969      230287        2315       561.0
    14     -982.1983822010         806        649636      230477        2430       616.9
    15     -982.2007929918         826        682276      230432        2558       674.6
    16     -982.2022317000         807        651249      230438        2668       720.2
    17     -982.2089507883         826        682276      230451        2793       793.6
    18     -982.2116224622         823        677329      230370        2917       864.9
    19     -982.2134489757         835        697225      230300        3020       928.4
    20     -982.2151485003         820        672400      230341        3118       994.8
    21     -982.2154891327         815        664225      230446        3211      1046.2
    22     -982.2172468983         812        659344      230310        3321      1108.2
    23     -982.2195183072         809        654481      230412        3421      1208.6
    24     -982.2207940621         817        667489      230322        3519      1249.6
    25     -982.2210862182         819        670761      230270        3621      1310.8
    26     -982.2230560961         820        672400      230354        3702      1443.6
    27     -982.2233347121         820        672400      230461        3774      1512.4
    28     -982.2242523098         824        678976      230390        3871      1565.5
    29     -982.2258592326         830        688900      230351        3946      1639.1
    30     -982.2273760235         815        664225      230345        4045      1710.7
    31     -982.2308913740         808        652864      230361        4138      1792.0
    32     -982.2310618721         817        667489      230370        4214      1875.5
    33     -982.2326224443         814        662596      230328        4293      1954.3
    34     -982.2345229220         820        672400      230410        4366      2016.7
    35     -982.2370364219         817        667489      230320        4447      2094.0
    36     -982.2384624898         809        654481      230311        4531      2162.7
    37     -982.2400431818         823        677329      230562        4622      2269.6
    38     -982.2405314814         817        667489      230399        4696      2356.2
    39     -982.2422989410         845        714025      230447        4757      2444.6
    40     -982.2428641102         830        688900      230421        4825      2581.1
    41     -982.2445457643         832        692224      230511        4892      2649.2
    42     -982.2453613560         803        644809      230558        4945      2710.4
    43     -982.2455874905         811        657721      230328        5019      2777.8
    44     -982.2458029109         849        720801      230417        5092      2877.9
    45     -982.2466477695         813        660969      230407        5154      2950.4
    46     -982.2478236638         812        659344      230497        5235      3037.0
    47     -982.2481798934         800        640000      230425        5302      3136.1
    48     -982.2489744910         807        651249      230449        5396      3237.0
    49     -982.2499543493         819        670761      230296        5475      3377.3
    50     -982.2501968850         839        703921      230525        5549      3476.2
    51     -982.2505235496         809        654481      230439        5615      3562.0
    52     -982.2508148906         818        669124      230446        5678      2233.0
# CRASHED iteration=53 batch=0 dets=680625
