# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1379488679         914        835396       60265         105        38.8
     2     -982.1540791602         594        352836      126854         349        67.0
     3     -982.1678082683         588        345744      126840         535        81.4
     4     -982.1834232832         591        349281      127003         694       100.1
     5     -982.1943624145         595        354025      126903         819       117.8
     6     -982.2019339241         627        393129      126964         935       136.4
     7     -982.2107071245         605        366025      126969        1048       157.7
     8     -982.2163045740         599        358801      126872        1168       175.4
     9     -982.2240067406         578        334084      126792        1296       206.7
    10     -982.2277087632         608        369664      127046        1393       236.5
    11     -982.2331033757         600        360000      127000        1467       258.8
    12     -982.2357287781         598        357604      127002        1535       279.0
    13     -982.2394179771         591        349281      126949        1622       303.7
    14     -982.2414563024         614        376996      127146        1702       332.4
    15     -982.2451713625         588        345744      126941        1772       353.8
    16     -982.2474227482         621        385641      126858        1843       383.1
    17     -982.2503870848         598        357604      126984        1918       411.6
    18     -982.2529522200         596        355216      126934        1986       439.9
    19     -982.2556969900         609        370881      127071        2044       463.2
    20     -982.2567995560         635        403225      126944        2112       490.6
    21     -982.2575653694         588        345744      127115        2183       516.4
    22     -982.2613245780         601        361201      126937        2239       542.3
    23     -982.2646564801         608        369664      127098        2312       576.1
    24     -982.2652317309         578        334084      127190        2377       605.5
    25     -982.2668095602         582        338724      127038        2435       634.6
    26     -982.2703724253         589        346921      127046        2501       661.5
    27     -982.2712874419         587        344569      127041        2556       693.6
    28     -982.2721392820         601        361201      127002        2607       739.4
    29     -982.2725774625         609        370881      127084        2657       774.3
    30     -982.2733284067         580        336400      126911        2714       795.5
    31     -982.2744092233         563        316969      126970        2761       820.1
    32     -982.2746494607         604        364816      126945        2822       872.6
    33     -982.2763255572         583        339889      127044        2879       900.2
    34     -982.2768656251         612        374544      127096        2929       944.6
    35     -982.2786523416         596        355216      127011        2983       970.2
    36     -982.2791299142         603        363609      126946        3028      1000.5
    37     -982.2795656257         600        360000      127203        3071      1028.3
    38     -982.2797844895         606        367236      126947        3122      1070.7
    39     -982.2800245753         620        384400      126940        3170      1097.0
    40     -982.2810242056         590        348100      127157        3222      1132.3
    41     -982.2814942293         625        390625      127072        3264      1170.8
    42     -982.2816232371         603        363609      127089        3317      1192.7
    43     -982.2826988367         602        362404      126993        3362      1228.2
    44     -982.2830795397         608        369664      126943        3405      1270.8
    45     -982.2838032149         608        369664      126966        3440      1299.6
    46     -982.2838868248         589        346921      126943        3476      1323.6
    47     -982.2840599693         613        375769      126992        3525      1355.3
    48     -982.2844877294         568        322624      127090        3565      1386.2
    49     -982.2849455766         620        384400      127038        3606      1414.9
    50     -982.2880394423         604        364816      127094        3656      1464.7
    51     -982.2883575922         606        367236      127112        3706      1500.1
    52     -982.2891460131         592        350464      127072        3745      1543.7
    53     -982.2900373309         610        372100      126997        3789      1570.1
    54     -982.2901295477         591        349281      126985        3837      1603.7
    55     -982.2904342957         598        357604      127063        3883      1650.5
