# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1398718291         891        793881       68879         145        37.7
     2     -982.1607799997         595        354025      236551         433       113.1
     3     -982.1765905669         574        329476      236533         648       133.2
     4     -982.1882518105         576        331776      236647         829       154.3
     5     -982.1979191488         567        321489      236573         996       175.7
     6     -982.2043259983         614        376996      236439        1134       207.5
     7     -982.2092272403         570        324900      236666        1258       233.8
     8     -982.2146236994         583        339889      236577        1388       261.7
     9     -982.2179763691         582        338724      236870        1490       291.7
    10     -982.2265868202         575        330625      236340        1602       317.0
    11     -982.2296531837         578        334084      236371        1705       353.5
    12     -982.2332097891         568        322624      236555        1795       379.5
    13     -982.2359476168         577        332929      236851        1892       410.1
    14     -982.2384706571         584        341056      236751        1999       447.9
    15     -982.2422552947         579        335241      236766        2092       492.6
    16     -982.2439787390         595        354025      236600        2189       532.2
    17     -982.2454701921         576        331776      236788        2267       562.4
    18     -982.2473245204         568        322624      236608        2359       599.9
    19     -982.2495587268         580        336400      236699        2435       638.1
    20     -982.2517805022         575        330625      236678        2529       675.4
    21     -982.2525655154         555        308025      236802        2602       710.5
    22     -982.2550877848         565        319225      236588        2684       756.3
    23     -982.2587439790         571        326041      236748        2779       805.4
    24     -982.2601292717         608        369664      236654        2863       857.4
    25     -982.2614877972         575        330625      236785        2928       899.4
    26     -982.2636244510         577        332929      236998        3001       950.1
    27     -982.2649639347         585        342225      236868        3067      1005.8
    28     -982.2670896261         588        345744      236829        3127      1044.4
    29     -982.2685782488         576        331776      236743        3182      1070.8
    30     -982.2688813301         572        327184      236831        3261      1122.4
    31     -982.2709378388         582        338724      236864        3324      1175.9
    32     -982.2720609039         602        362404      236779        3393      1230.1
    33     -982.2746963013         572        327184      236595        3445      1269.2
    34     -982.2754115225         565        319225      236817        3515      1304.6
    35     -982.2763337482         588        345744      236737        3577      1374.7
    36     -982.2769027098         569        323761      236648        3645      1414.9
    37     -982.2774835265         582        338724      236946        3702      1469.0
    38     -982.2777347459         586        343396      237024        3766      1519.9
    39     -982.2793230764         574        329476      236787        3826      1569.1
    40     -982.2804074114         595        354025      236966        3888      1616.0
    41     -982.2808645079         612        374544      236816        3951      1682.7
    42     -982.2819457682         593        351649      236884        4020      1738.5
    43     -982.2824776051         567        321489      236807        4068      1776.3
    44     -982.2828538126         568        322624      236728        4119      1815.9
    45     -982.2831593760         600        360000      236918        4168      1876.7
    46     -982.2832828740         585        342225      236688        4218      1925.6
    47     -982.2837571645         580        336400      236937        4281      1963.8
    48     -982.2848955510         558        311364      236700        4322      2029.5
    49     -982.2860488998         598        357604      236859        4366      2077.6
    50     -982.2871626063         558        311364      236590        4417      2116.7
    51     -982.2873469887         596        355216      236851        4469      2171.3
    52     -982.2874185445         594        352836      236886        4520      2217.9
    53     -982.2875392067         595        354025      236715        4577      2282.3
    54     -982.2877418758         582        338724      236813        4622      2337.0
    55     -982.2882999102         579        335241      237046        4664      2382.7
    56     -982.2891259372         592        350464      236760        4710      2431.8
    57     -982.2895724860         562        315844      236916        4766      2482.1
    58     -982.2899532636         592        350464      236917        4812      2549.5
    59     -982.2914098063         589        346921      236760        4865      2690.2
    60     -982.2914946963         559        312481      236556        4904      2798.6
    61     -982.2916723294         603        363609      236709        4948      2867.4
    62     -982.2918171732         589        346921      236762        5011      2906.4
    63     -982.2918529666         584        341056      236550        5057      3018.8
    64     -982.2918973495         548        300304      236871        5099      3062.2
    65     -982.2920187185         584        341056      237050        5145      3120.8
    66     -982.2925016689         601        361201      236667        5183      3198.8
    67     -982.2925347943         579        335241      236850        5220      3204.4
    68     -982.2934960104         589        346921      236851        5277      3289.5
    69     -982.2940174316         568        322624      236705        5315      3341.1
    70     -982.2943308473         587        344569      237035        5349      3418.5
    71     -982.2943818490         605        366025      236978        5406      3489.0
    72     -982.2944248761         596        355216      236904        5451      3587.5
    73     -982.2945547442         550        302500      236849        5485      3607.6
    74     -982.2946050000         544        295936      236843        5523      3657.7
    75     -982.2956941206         591        349281      236838        5566      3730.4
    76     -982.2957209934         584        341056      236849        5602      3810.4
    77     -982.2958280960         576        331776      236674        5634      3854.6
    78     -982.2958693804         599        358801      236868        5679      3914.5
    79     -982.2980769671         552        304704      236935        5714      3977.8
    80     -982.2981963320         573        328329      236983        5756      4063.7
    81     -982.2982388314         586        343396      236774        5798      4107.3
    82     -982.2982650786         575        330625      236954        5839      4201.8
    83     -982.2984692984         580        336400      236934        5876      4257.3
# CRASHED iteration=84 batch=0 dets=357604
# CRASHED iteration=84 batch=0 dets=357604
# CRASHED iteration=84 batch=0 dets=357604
# CRASHED iteration=84 batch=0 dets=326041
