# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1399611471         890        792100       77291         192        38.5
     2     -982.1574546757         565        319225      339635         466       162.0
     3     -982.1710273644         569        323761      339872         693       181.8
     4     -982.1852726102         569        323761      339844         893       205.9
     5     -982.1947994026         577        332929      339911        1056       237.6
     6     -982.2065602728         555        308025      340028        1203       260.6
     7     -982.2115478719         576        331776      339796        1336       296.2
     8     -982.2179964838         568        322624      340037        1476       322.1
     9     -982.2232197055         579        335241      339741        1585       358.6
    10     -982.2281391019         559        312481      339950        1692       392.8
    11     -982.2329043097         588        345744      339919        1803       424.6
    12     -982.2354059110         569        323761      340071        1905       460.4
    13     -982.2361527983         574        329476      339668        2006       500.1
    14     -982.2395044349         561        314721      340045        2084       540.8
    15     -982.2431552995         583        339889      339919        2195       577.5
    16     -982.2436489699         578        334084      340115        2284       624.4
    17     -982.2512809278         583        339889      340020        2390       667.9
    18     -982.2531793167         577        332929      340071        2473       709.7
    19     -982.2556222785         569        323761      340005        2560       752.0
    20     -982.2581931629         579        335241      340052        2637       801.7
    21     -982.2596499280         555        308025      339994        2713       833.9
    22     -982.2613411024         569        323761      340055        2788       876.8
    23     -982.2639117397         562        315844      339981        2872       923.1
    24     -982.2648828506         592        350464      340178        2948       974.4
    25     -982.2663472108         572        327184      339988        3028      1028.7
    26     -982.2672815834         554        306916      340145        3091      1069.0
    27     -982.2681214631         584        341056      340054        3179      1120.5
    28     -982.2694429657         556        309136      340056        3244      1165.0
    29     -982.2697955331         564        318096      340006        3306      1211.5
    30     -982.2704224867         576        331776      340275        3370      1266.1
    31     -982.2707096937         566        320356      340003        3431      1310.7
    32     -982.2717583612         572        327184      340034        3491      1346.3
    33     -982.2738001847         587        344569      340229        3558      1401.1
    34     -982.2751425105         556        309136      340111        3617      1444.3
    35     -982.2761691254         584        341056      340143        3695      1506.2
    36     -982.2769410390         571        326041      340168        3774      1559.0
    37     -982.2777470543         578        334084      340032        3846      1617.4
    38     -982.2780366119         565        319225      340066        3894      1721.7
    39     -982.2797221989         561        314721      340369        3959      1810.7
    40     -982.2799763834         565        319225      339958        4023      1869.0
    41     -982.2801605236         569        323761      340079        4085      1918.9
    42     -982.2819685116         576        331776      340074        4136      1982.5
    43     -982.2826500009         566        320356      340173        4193      2041.3
    44     -982.2828452071         572        327184      340248        4252      2099.1
    45     -982.2832083959         567        321489      340077        4315      2180.1
    46     -982.2835135228         588        345744      339843        4375      2229.3
    47     -982.2848238345         587        344569      340381        4442      2296.4
    48     -982.2850783537         563        316969      340453        4505      2360.5
    49     -982.2856019955         570        324900      340186        4558      2425.5
    50     -982.2861575374         569        323761      340009        4627      2483.2
    51     -982.2865730887         572        327184      340108        4676      2554.0
    52     -982.2876431037         583        339889      340100        4729      2608.7
    53     -982.2880077677         592        350464      340108        4789      2681.8
    54     -982.2880424269         578        334084      340180        4830      2735.7
    55     -982.2881404919         611        373321      340182        4891      2795.1
    56     -982.2884897266         573        328329      340193        4947      2868.8
    57     -982.2886326599         600        360000      340238        5006      2943.3
    58     -982.2893300143         555        308025      340155        5049      3007.7
    59     -982.2895414668         569        323761      340318        5107      3085.7
    60     -982.2897063007         558        311364      340333        5160      3147.9
    61     -982.2913797184         583        339889      340248        5202      3215.5
    62     -982.2917031299         581        337561      340326        5245      3288.5
    63     -982.2920405549         580        336400      339939        5293      3333.8
    64     -982.2920943402         592        350464      340197        5352      3415.1
    65     -982.2941142830         571        326041      340021        5397      3504.1
    66     -982.2951803392         568        322624      340277        5438      3536.7
    67     -982.2953662622         584        341056      340213        5488      3625.4
    68     -982.2964722260         557        310249      340177        5532      3689.8
    69     -982.2966695064         554        306916      340098        5579      3872.2
    70     -982.2967645658         597        356409      340690        5632      3947.3
    71     -982.2968987835         568        322624      340165        5678      4027.2
    72     -982.2969449738         577        332929      340202        5722      4111.5
    73     -982.2973445865         566        320356      340283        5768      4196.0
    74     -982.2973793281         577        332929      340183        5820      4285.5
    75     -982.2974777393         565        319225      340336        5868      4366.3
# CRASHED iteration=76 batch=0 dets=358801
# CRASHED iteration=76 batch=0 dets=358801
# CRASHED iteration=76 batch=0 dets=358801
# CRASHED iteration=76 batch=0 dets=364816
