# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1451494354         867        751689       83735         198        37.2
     2     -982.1638880136         636        404496      538108         486       215.9
     3     -982.1774515427         626        391876      538264         712       237.1
     4     -982.1905879933         644        414736      538644         942       266.0
     5     -982.1992740754         626        391876      538468        1125       298.5
     6     -982.2069990904         622        386884      538477        1295       332.8
     7     -982.2127530812         629        395641      538402        1460       367.9
     8     -982.2174873647         629        395641      538839        1607       410.1
     9     -982.2209009781         628        394384      538503        1741       450.0
    10     -982.2248351613         633        400689      538543        1876       497.5
    11     -982.2287255101         635        403225      538311        1997       539.9
    12     -982.2338669337         649        421201      538664        2133       597.3
    13     -982.2376355766         657        431649      538728        2263       650.5
    14     -982.2412097602         642        412164      538477        2394       704.4
    15     -982.2432346399         626        391876      539026        2516       761.3
    16     -982.2466655959         645        416025      538745        2633       818.2
    17     -982.2507062304         629        395641      538901        2742       874.1
    18     -982.2528543073         639        408321      538732        2842       943.0
    19     -982.2557429480         635        403225      538652        2954       996.8
    20     -982.2575991229         612        374544      538488        3042      1055.9
    21     -982.2590935958         630        396900      538652        3153      1114.6
    22     -982.2603515366         636        404496      538818        3257      1208.0
    23     -982.2625504317         630        396900      538881        3358      1313.2
    24     -982.2640127797         616        379456      538674        3433      1369.8
    25     -982.2650621879         637        405769      538485        3523      1438.3
    26     -982.2669238263         648        419904      538754        3624      1509.4
    27     -982.2683062442         623        388129      538781        3717      1590.2
    28     -982.2686954528         623        388129      538705        3805      1658.1
    29     -982.2696339010         632        399424      538936        3909      1742.7
    30     -982.2725738055         617        380689      538643        4002      1824.5
    31     -982.2742507358         628        394384      539122        4080      1908.2
    32     -982.2749806591         615        378225      538888        4162      1971.1
    33     -982.2759726358         640        409600      538666        4252      2059.3
    34     -982.2768939825         608        369664      538594        4319      2137.8
    35     -982.2777761060         644        414736      538930        4390      2215.0
    36     -982.2791742508         629        395641      538770        4478      2302.8
    37     -982.2828484497         615        378225      538560        4547      2385.1
    38     -982.2832953898         634        401956      538843        4626      2450.4
    39     -982.2836477906         645        416025      539022        4699      2549.2
    40     -982.2846140247         622        386884      538771        4754      2610.8
    41     -982.2851114499         616        379456      538622        4832      2691.0
    42     -982.2853564957         620        384400      538581        4890      2757.1
    43     -982.2855992266         613        375769      538999        4959      2829.9
    44     -982.2857958312         646        417316      538757        5026      2931.4
    45     -982.2860761646         630        396900      538565        5101      3012.8
    46     -982.2884241998         639        408321      539076        5160      3132.6
    47     -982.2887461483         637        405769      538632        5244      3261.9
    48     -982.2907322339         648        419904      538911        5321      3370.9
    49     -982.2916181770         626        391876      538645        5386      3487.7
    50     -982.2918082016         624        389376      538419        5455      3562.0
    51     -982.2918845244         634        401956      538784        5517      3679.4
    52     -982.2930448173         612        374544      539083        5578      3755.4
    53     -982.2931385688         639        408321      538487        5653      3865.2
    54     -982.2932911547         625        390625      538975        5711      3981.9
    55     -982.2934386455         639        408321      538508        5773      4091.9
    56     -982.2935937985         646        417316      539157        5846      4193.8
# CRASHED iteration=57 batch=0 dets=407044
# CRASHED iteration=57 batch=0 dets=407044
# CRASHED iteration=57 batch=0 dets=407044
# CRASHED iteration=57 batch=0 dets=396900
