# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1554323195         699        488601       34260         428        29.1
     2     -982.1757783806         645        416025      537921         673       236.3
     3     -982.1930007866         630        396900      538389         896       264.6
     4     -982.2018656684         629        395641      538529        1094       297.0
     5     -982.2142786284         622        386884      538225        1268       332.1
     6     -982.2202939485         621        385641      538274        1423       372.3
     7     -982.2274614146         634        401956      538746        1573       410.6
     8     -982.2336502966         634        401956      538799        1725       455.6
     9     -982.2374464847         626        391876      538473        1869       494.2
    10     -982.2400004841         616        379456      538311        1989       536.5
    11     -982.2418411612         653        426409      538487        2138       586.9
    12     -982.2455765063         612        374544      538719        2240       635.4
    13     -982.2490130696         617        380689      538756        2339       691.1
    14     -982.2511151814         622        386884      538522        2448       739.4
    15     -982.2526715028         621        385641      538636        2582       792.2
    16     -982.2548542024         673        452929      538771        2694       862.0
    17     -982.2579137278         600        360000      538554        2790       910.4
    18     -982.2594436142         654        427716      538852        2897       963.6
    19     -982.2621502916         634        401956      538792        3008      1030.0
    20     -982.2635722349         637        405769      538544        3105      1100.6
    21     -982.2669093961         614        376996      538774        3202      1152.1
    22     -982.2677151709         647        418609      538680        3306      1266.6
    23     -982.2689662899         631        398161      538704        3404      1342.1
    24     -982.2699951273         631        398161      538851        3502      1409.2
    25     -982.2711027767         677        458329      538726        3607      1505.8
    26     -982.2729733386         664        440896      538588        3705      1587.2
    27     -982.2737779995         643        413449      538883        3788      1645.1
    28     -982.2753362233         606        367236      538424        3867      1704.0
    29     -982.2782084292         630        396900      538736        3950      1781.0
    30     -982.2789609327         616        379456      538994        4033      1860.8
    31     -982.2793989931         610        372100      538494        4112      1925.1
    32     -982.2807096546         633        400689      539012        4196      2020.8
    33     -982.2822396311         634        401956      539106        4286      2105.6
    34     -982.2837222973         623        388129      538732        4356      2198.2
    35     -982.2843436179         619        383161      538617        4426      2261.4
    36     -982.2850719430         657        431649      538780        4519      2335.1
    37     -982.2873326146         627        393129      539008        4586      2445.4
    38     -982.2875760469         624        389376      538891        4677      2518.1
    39     -982.2883065794         608        369664      538957        4738      2577.7
    40     -982.2891549567         645        416025      538986        4814      2666.7
    41     -982.2892303445         630        396900      538947        4887      2753.3
    42     -982.2897363365         631        398161      538951        4971      2850.2
    43     -982.2902544939         610        372100      538966        5029      2921.2
    44     -982.2909065090         628        394384      538919        5095      3065.0
    45     -982.2912729366         653        426409      539012        5161      3113.8
    46     -982.2923981829         630        396900      538890        5230      3179.0
    47     -982.2928010681         620        384400      538849        5291      3272.8
    48     -982.2931037780         618        381924      539152        5360      3418.0
    49     -982.2932451765         634        401956      538713        5431      3556.4
    50     -982.2934749289         628        394384      538910        5493      3650.4
    51     -982.2938161198         608        369664      538771        5558      3716.5
    52     -982.2938859547         624        389376      539224        5622      3805.1
    53     -982.2940755260         643        413449      538848        5692      3921.5
    54     -982.2951999692         655        429025      538955        5750      4025.9
    55     -982.2954400526         653        426409      538764        5807      4113.5
    56     -982.2955005108         639        408321      538960        5862      4216.6
# CRASHED iteration=57 batch=0 dets=386884
# CRASHED iteration=57 batch=0 dets=386884
# CRASHED iteration=57 batch=0 dets=401956
