# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -982.1495193847         710        504100       37629         370        29.2
     2     -982.1645238860         685        469225      754441         643       290.2
     3     -982.1788040730         687        471969      754703         845       322.0
     4     -982.1886277126         655        429025      754711        1022       347.0
     5     -982.2002817363         686        470596      754579        1222       381.4
     6     -982.2040919761         685        469225      754645        1377       424.2
     7     -982.2120225397         650        422500      754766        1542       457.1
     8     -982.2174935340         665        442225      754779        1691       509.2
     9     -982.2221984752         670        448900      754610        1840       547.7
    10     -982.2261623072         671        450241      754939        1996       596.3
    11     -982.2300835768         667        444889      755119        2139       645.4
    12     -982.2334593735         673        452929      754434        2276       715.9
    13     -982.2397697012         697        485809      754580        2413       776.3
    14     -982.2428334467         670        448900      754760        2548       836.4
    15     -982.2462134310         688        473344      755186        2676       891.3
    16     -982.2488139871         685        469225      754701        2802       966.8
    17     -982.2519773682         663        439569      754810        2899      1017.7
    18     -982.2533914083         663        439569      754843        3003      1077.6
    19     -982.2549290578         681        463761      754931        3118      1154.7
    20     -982.2566090965         672        451584      754938        3231      1209.1
    21     -982.2599686511         656        430336      754840        3339      1288.9
    22     -982.2602070557         699        488601      755161        3429      1350.4
    23     -982.2615927569         693        480249      754912        3536      1413.2
    24     -982.2654034236         694        481636      754727        3648      1494.2
    25     -982.2664664176         651        423801      754846        3747      1577.8
    26     -982.2672745495         672        451584      754998        3845      1679.3
    27     -982.2695819857         688        473344      755077        3933      1806.2
    28     -982.2710242325         680        462400      754815        4035      1871.9
    29     -982.2719252319         688        473344      755186        4128      1979.6
    30     -982.2730990457         660        435600      755054        4216      2058.8
    31     -982.2736775163         680        462400      755123        4298      2148.2
    32     -982.2742308066         665        442225      754986        4386      2218.3
    33     -982.2751890365         680        462400      755171        4481      2311.5
    34     -982.2758178200         687        471969      754803        4576      2419.0
    35     -982.2761973304         697        485809      754907        4648      2510.2
    36     -982.2775561890         682        465124      754805        4729      2649.7
    37     -982.2783003531         679        461041      755391        4818      2740.6
    38     -982.2806211640         682        465124      754720        4899      2845.0
    39     -982.2823047886         692        478864      754870        4980      2944.1
    40     -982.2832018871         673        452929      754925        5052      3041.8
    41     -982.2835477325         678        459684      754876        5129      3129.1
    42     -982.2836836382         676        456976      755092        5217      3238.9
    43     -982.2842507445         694        481636      755184        5298      3347.1
    44     -982.2845089059         678        459684      755159        5374      3447.6
    45     -982.2854049857         688        473344      754545        5450      3550.1
    46     -982.2855084649         682        465124      754714        5538      3666.8
    47     -982.2864878189         701        491401      754886        5618      3806.3
    48     -982.2869742746         659        434281      755043        5687      3905.2
    49     -982.2871887741         651        423801      755294        5770      4020.9
    50     -982.2888527137         659        434281      755456        5830      4110.9
# CRASHED iteration=51 batch=0 dets=462400
# CRASHED iteration=51 batch=0 dets=462400
# CRASHED iteration=51 batch=0 dets=450241
