# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4351473309         375        140625        4704         345        10.4
     2     -422.4684748700         368        135424       19348         516        35.8
     3     -422.4881466900         373        139129       19288         637        43.9
     4     -422.5078892970         356        126736       19349         731        52.9
     5     -422.5238312516         369        136161       19389         812        59.9
     6     -422.5368477172         356        126736       19413         890        66.7
     7     -422.5490863547         361        130321       19417         969        74.7
     8     -422.5549281951         354        125316       19388        1035        83.8
     9     -422.5599629274         369        136161       19435        1109        92.4
    10     -422.5694909691         365        133225       19436        1169       103.0
    11     -422.5765381572         371        137641       19510        1224       112.3
    12     -422.5850212128         357        127449       19492        1272       119.1
    13     -422.5867962027         360        129600       19419        1323       127.7
    14     -422.5916749828         356        126736       19462        1369       140.8
    15     -422.5917317751         357        127449       19343        1419       145.4
    16     -422.5918920963         365        133225       19446        1481       154.0
    17     -422.5931145341         351        123201       19426        1527       162.1
    18     -422.5935148656         348        121104       19361        1584       172.5
    19     -422.5943641087         333        110889       19379        1623       184.1
    20     -422.5959437735         335        112225       19519        1655       198.2
    21     -422.5987093460         354        125316       19371        1698       206.6
    22     -422.5995799558         367        134689       19458        1741       213.1
    23     -422.6005860422         373        139129       19456        1775       223.1
    24     -422.6006341332         355        126025       19453        1811       231.8
    25     -422.6010635094         353        124609       19433        1843       239.3
    26     -422.6020436153         368        135424       19448        1880       250.9
    27     -422.6021345451         372        138384       19334        1920       261.7
    28     -422.6050207316         353        124609       19452        1949       278.9
    29     -422.6086719201         353        124609       19523        1986       282.5
    30     -422.6087759811         349        121801       19431        2019       293.4
    31     -422.6090993780         359        128881       19484        2056       303.0
    32     -422.6109343498         360        129600       19433        2088       313.3
    33     -422.6120332980         348        121104       19421        2116       320.5
    34     -422.6120636009         365        133225       19487        2145       330.9
    35     -422.6120932571         358        128164       19414        2178       340.1
    36     -422.6121467026         355        126025       19450        2203       349.2
    37     -422.6121791712         354        125316       19421        2232       360.9
    38     -422.6122495578         362        131044       19450        2264       369.7
    39     -422.6122765044         355        126025       19445        2299       382.7
    40     -422.6122921141         352        123904       19458        2329       394.1
    41     -422.6123235942         341        116281       19429        2358       413.8
    42     -422.6123378856         354        125316       19483        2377       423.4
    43     -422.6124165912         359        128881       19481        2401       434.3
    44     -422.6135963227         350        122500       19427        2425       440.5
    45     -422.6136592877         350        122500       19417        2455       446.0
    46     -422.6136806950         348        121104       19514        2478       457.9
    47     -422.6137010562         356        126736       19464        2509       466.3
    48     -422.6137105725         356        126736       19399        2538       477.3
    49     -422.6137245241         367        134689       19343        2570       499.8
    50     -422.6137771613         355        126025       19479        2601       503.8
    51     -422.6138037602         345        119025       19516        2626       517.5
    52     -422.6144242944         345        119025       19436        2652       531.5
    53     -422.6144503769         358        128164       19476        2680       542.8
    54     -422.6145091230         360        129600       19453        2710       563.5
    55     -422.6145272841         351        123201       19397        2739       572.0
    56     -422.6155708825         350        122500       19464        2757       581.1
    57     -422.6155854292         365        133225       19499        2775       592.0
    58     -422.6156043102         367        134689       19478        2800       600.1
    59     -422.6156238138         373        139129       19382        2825       596.4
    60     -422.6191222256         350        122500       19416        2842       618.0
    61     -422.6191376890         360        129600       19489        2864       628.1
    62     -422.6192295504         361        130321       19519        2885       638.0
    63     -422.6200716852         368        135424       19500        2908       640.9
    64     -422.6200916943         354        125316       19509        2930       655.4
    65     -422.6201288895         365        133225       19478        2948       669.2
    66     -422.6201397806         368        135424       19516        2973       681.0
    67     -422.6201989733         352        123904       19606        2996       694.6
    68     -422.6202106546         363        131769       19487        3018       706.4
    69     -422.6202368441         359        128881       19508        3045       711.8
    70     -422.6202582368         347        120409       19499        3062       725.9
    71     -422.6203140838         362        131044       19454        3081       732.8
    72     -422.6203626816         363        131769       19500        3103       735.2
    73     -422.6204080108         357        127449       19456        3130       742.4
    74     -422.6204360687         361        130321       19455        3153       747.6
    75     -422.6204472049         353        124609       19470        3174       755.0
    76     -422.6204850232         353        124609       19482        3196       772.1
    77     -422.6205031897         364        132496       19482        3217       783.0
    78     -422.6205137985         352        123904       19449        3241       801.0
    79     -422.6205333216         345        119025       19497        3256       824.4
    80     -422.6205462592         360        129600       19526        3273       849.1
    81     -422.6205703454         352        123904       19401        3295       866.8
    82     -422.6206045578         364        132496       19514        3313       894.3
    83     -422.6206267033         371        137641       19438        3336       877.5
    84     -422.6206399919         364        132496       19408        3355       908.9
    85     -422.6206758399         356        126736       19414        3369       933.3
    86     -422.6209521072         354        125316       19499        3386       939.2
    87     -422.6209694792         358        128164       19509        3410       959.5
    88     -422.6209799933         357        127449       19491        3430       972.5
    89     -422.6210045532         352        123904       19391        3451       983.3
    90     -422.6210343109         361        130321       19414        3464      1000.4
    91     -422.6210437028         368        135424       19436        3481      1016.2
    92     -422.6210593092         353        124609       19445        3491      1040.5
    93     -422.6210679334         349        121801       19401        3511      1043.1
    94     -422.6210851679         359        128881       19341        3523      1072.3
    95     -422.6211200216         374        139876       19532        3536      1083.4
    96     -422.6211395867         356        126736       19472        3562      1095.7
    97     -422.6211493653         344        118336       19446        3576      1111.9
    98     -422.6211690829         344        118336       19501        3590      1121.0
    99     -422.6211940952         371        137641       19538        3606      1111.4
   100     -422.6211981703         366        133956       19418        3616      1125.9
   101     -422.6212200544         344        118336       19448        3627      1127.5
   102     -422.6212506779         350        122500       19456        3640      1170.9
   103     -422.6212599180         372        138384       19439        3664      1178.8
   104     -422.6212824707         349        121801       19481        3683      1205.6
   105     -422.6212929332         375        140625       19432        3702      1205.4
   106     -422.6213232015         366        133956       19485        3723      1231.7
   107     -422.6213676181         358        128164       19395        3736      1262.4
   108     -422.6213748034         363        131769       19490        3756      1272.6
   109     -422.6213799666         362        131044       19411        3771      1294.6
   110     -422.6213837008         354        125316       19411        3778      1303.0
   111     -422.6213975433         359        128881       19450        3794      1310.7
   112     -422.6214094430         354        125316       19441        3813      1329.0
   113     -422.6214184131         378        142884       19429        3823      1341.2
   114     -422.6214241817         365        133225       19450        3835      1331.1
   115     -422.6214272702         345        119025       19448        3843      1279.7
   116     -422.6214362946         364        132496       19368        3854      1234.0
   117     -422.6214469097         340        115600       19413        3869      1233.5
   118     -422.6214711131         352        123904       19413        3882      1253.3
   119     -422.6214742962         380        144400       19402        3889      1261.0
   120     -422.6214856997         355        126025       19437        3906      1275.2
   121     -422.6215060930         344        118336       19498        3918      1278.2
   122     -422.6215338748         346        119716       19391        3932      1281.7
   123     -422.6215561359         355        126025       19466        3941      1298.8
   124     -422.6215710198         362        131044       19409        3960      1308.3
   125     -422.6215836055         366        133956       19441        3977      1319.9
   126     -422.6215925147         351        123201       19418        3991      1333.7
   127     -422.6216003846         362        131044       19490        4006      1345.8
