# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4238296132         392        153664       10457         356        11.3
     2     -422.4580698228         344        118336       48683         517        56.3
     3     -422.4797471672         374        139876       48809         657        64.7
     4     -422.4984212284         363        131769       48817         775        75.0
     5     -422.5080135001         366        133956       48819         870        84.1
     6     -422.5299810835         362        131044       48772         964        94.4
     7     -422.5415070067         372        138384       48814        1047       106.5
     8     -422.5506706342         369        136161       48807        1142       118.6
     9     -422.5598640130         364        132496       48773        1225       131.5
    10     -422.5644802532         346        119716       48870        1286       142.6
    11     -422.5676317256         357        127449       48769        1343       156.3
    12     -422.5741704864         372        138384       48854        1401       163.4
    13     -422.5786970269         394        155236       48810        1463       174.3
    14     -422.5812094055         366        133956       48740        1520       186.3
    15     -422.5854143436         380        144400       48843        1597       204.3
    16     -422.5880407205         375        140625       48926        1667       217.8
    17     -422.5906884902         374        139876       48985        1718       232.1
    18     -422.5923671834         370        136900       49022        1773       243.7
    19     -422.5936253990         371        137641       49013        1813       260.5
    20     -422.5936731833         377        142129       48891        1865       268.1
    21     -422.5967894120         359        128881       48853        1898       279.1
    22     -422.5968371099         351        123201       48870        1940       292.8
    23     -422.6001110993         367        134689       48901        1985       301.6
    24     -422.6009493942         371        137641       48886        2035       317.9
    25     -422.6054742314         389        151321       48879        2093       336.0
    26     -422.6055546754         361        130321       49082        2134       349.9
    27     -422.6070073957         388        150544       48987        2182       359.6
    28     -422.6088511484         381        145161       48874        2225       377.8
    29     -422.6091292505         366        133956       48966        2269       388.1
    30     -422.6091959714         345        119025       49002        2307       406.8
    31     -422.6101500475         375        140625       49004        2342       421.4
    32     -422.6102349223         377        142129       48991        2380       434.2
    33     -422.6108544634         365        133225       48849        2419       448.9
    34     -422.6109002042         357        127449       49062        2451       469.3
    35     -422.6133933971         362        131044       49059        2487       473.4
    36     -422.6134167220         385        148225       48976        2513       491.7
    37     -422.6136432197         368        135424       49043        2552       510.7
    38     -422.6137751908         361        130321       48983        2584       520.8
    39     -422.6138304349         370        136900       49040        2631       535.8
    40     -422.6139731591         369        136161       49090        2662       554.6
    41     -422.6140192958         374        139876       48935        2697       577.5
    42     -422.6140366456         366        133956       48785        2730       591.2
    43     -422.6140627204         360        129600       48899        2757       607.9
    44     -422.6140817847         366        133956       49004        2791       622.3
    45     -422.6142773295         376        141376       48965        2826       638.5
    46     -422.6142949324         365        133225       48978        2850       657.2
    47     -422.6143206505         355        126025       48904        2877       672.8
    48     -422.6143413829         358        128164       48978        2907       685.1
    49     -422.6200082137         374        139876       48954        2935       691.6
    50     -422.6200320174         371        137641       48908        2970       693.9
    51     -422.6200589249         364        132496       48978        3000       708.5
    52     -422.6200845682         379        143641       49022        3026       729.8
    53     -422.6201114044         390        152100       48910        3059       747.4
    54     -422.6201263010         378        142884       49019        3098       763.5
    55     -422.6201893864         360        129600       48976        3130       785.5
    56     -422.6202330671         350        122500       48943        3162       804.2
    57     -422.6203323645         375        140625       48940        3194       827.8
    58     -422.6203910122         370        136900       49011        3219       846.8
    59     -422.6204230511         378        142884       48927        3247       858.6
    60     -422.6207671896         366        133956       49049        3277       867.0
    61     -422.6207944632         366        133956       48883        3303       884.4
    62     -422.6208838044         374        139876       48845        3334       879.2
    63     -422.6208968198         362        131044       48852        3350       883.7
    64     -422.6209068771         383        146689       49028        3379       900.9
    65     -422.6209227303         367        134689       48934        3399       921.9
    66     -422.6209470355         360        129600       48866        3427       958.3
    67     -422.6209649008         379        143641       48948        3457       981.7
    68     -422.6209858644         371        137641       48952        3491      1020.0
    69     -422.6210166647         366        133956       48990        3510      1056.7
    70     -422.6210496681         369        136161       49021        3542      1067.3
    71     -422.6210755528         381        145161       48818        3572      1088.8
    72     -422.6211049091         363        131769       48918        3596      1117.8
    73     -422.6211431238         372        138384       49032        3613      1133.9
    74     -422.6211753943         387        149769       48907        3644      1148.5
    75     -422.6212018734         367        134689       49039        3674      1170.2
    76     -422.6212117422         383        146689       48845        3697      1193.9
    77     -422.6212338624         354        125316       48969        3728      1221.9
    78     -422.6212588598         362        131044       49031        3744      1248.8
    79     -422.6216361619         367        134689       49099        3764      1263.0
    80     -422.6216753024         377        142129       48950        3784      1302.8
    81     -422.6216926187         375        140625       48881        3805      1307.8
    82     -422.6217061977         368        135424       48943        3824      1412.9
    83     -422.6217526602         367        134689       48949        3841      1412.2
    84     -422.6217863174         354        125316       48906        3860      1420.9
    85     -422.6218370912         361        130321       48873        3887      1436.5
    86     -422.6218569107         372        138384       48948        3908      1452.2
    87     -422.6218726589         360        129600       48792        3933      1452.0
    88     -422.6218943428         375        140625       48912        3954      1476.6
    89     -422.6219121682         363        131769       48983        3977      1483.2
    90     -422.6219360526         365        133225       48937        3994      1509.4
