# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4188201768         412        169744       13050         370        10.9
     2     -422.4520498560         379        143641       60639         559        66.8
     3     -422.4785897103         367        134689       60687         705        76.5
     4     -422.4895672894         354        125316       60798         815        88.7
     5     -422.5059902221         358        128164       60672         920        98.0
     6     -422.5240883176         364        132496       60588        1015       111.9
     7     -422.5359991134         377        142129       60721        1108       122.8
     8     -422.5433934559         371        137641       60877        1199       134.7
     9     -422.5534235067         381        145161       60768        1278       148.6
    10     -422.5594267546         350        122500       60914        1352       162.8
    11     -422.5670573768         376        141376       60846        1433       174.9
    12     -422.5714240014         369        136161       60875        1495       190.0
    13     -422.5754388596         340        115600       60795        1544       201.3
    14     -422.5806351805         373        139129       60895        1614       216.8
    15     -422.5850893964         362        131044       60794        1665       231.0
    16     -422.5864712725         370        136900       60918        1715       241.6
    17     -422.5868454837         373        139129       60955        1770       254.7
    18     -422.5897658725         377        142129       60809        1833       266.5
    19     -422.5932059270         372        138384       61078        1878       281.5
    20     -422.5958544579         373        139129       60736        1929       296.4
    21     -422.5970613923         363        131769       60788        1970       313.7
    22     -422.5981535332         379        143641       60800        2027       323.2
    23     -422.6032811166         370        136900       60834        2072       337.4
    24     -422.6040628085         358        128164       60959        2119       351.8
    25     -422.6043634343         371        137641       60803        2159       367.0
    26     -422.6055016469         366        133956       60857        2200       379.3
    27     -422.6063436304         370        136900       60818        2241       388.5
    28     -422.6096025700         355        126025       60888        2281       405.8
    29     -422.6096575747         375        140625       60981        2332       426.2
    30     -422.6103615465         373        139129       60723        2368       448.7
    31     -422.6114294999         366        133956       61008        2413       469.5
    32     -422.6115268766         369        136161       61002        2455       484.6
    33     -422.6125463653         354        125316       61020        2482       499.2
    34     -422.6153412745         367        134689       60859        2522       508.1
    35     -422.6171597897         363        131769       60816        2554       527.0
    36     -422.6172199156         367        134689       60855        2593       539.9
    37     -422.6172716377         366        133956       60884        2632       551.3
    38     -422.6173050309         388        150544       60826        2673       571.7
    39     -422.6173681918         375        140625       60830        2712       594.7
    40     -422.6174064975         362        131044       60853        2752       618.5
    41     -422.6174651311         360        129600       60846        2780       637.7
    42     -422.6175361710         377        142129       60810        2822       656.9
    43     -422.6175953502         373        139129       61083        2864       673.2
    44     -422.6176343462         354        125316       61108        2905       692.9
    45     -422.6176865839         365        133225       60904        2933       710.1
    46     -422.6177261983         363        131769       60781        2970       725.8
    47     -422.6177530127         366        133956       60878        3001       734.0
    48     -422.6177677648         342        116964       60973        3028       735.3
    49     -422.6178314928         377        142129       60897        3068       765.4
    50     -422.6178665172         372        138384       60957        3095       783.9
    51     -422.6178924558         372        138384       61010        3132       808.7
    52     -422.6179257123         364        132496       60875        3160       825.7
    53     -422.6179791264         359        128881       60986        3192       842.7
    54     -422.6179945989         387        149769       61008        3224       861.8
    55     -422.6180462643         374        139876       60865        3262       888.4
    56     -422.6180889809         360        129600       61030        3293       906.1
    57     -422.6181376252         358        128164       60930        3319       935.4
    58     -422.6181680278         364        132496       60927        3356       920.6
    59     -422.6182067446         348        121104       60802        3382       958.7
    60     -422.6182235694         369        136161       60936        3400       940.2
    61     -422.6183451836         376        141376       60883        3429      1005.8
    62     -422.6183726156         362        131044       60884        3464      1044.3
    63     -422.6183864263         372        138384       61000        3494      1080.3
    64     -422.6184179415         368        135424       60953        3528      1112.2
    65     -422.6184467970         374        139876       60891        3555      1161.0
    66     -422.6184770250         369        136161       61028        3584      1183.3
    67     -422.6185038239         381        145161       60919        3613      1194.2
    68     -422.6185268845         364        132496       60898        3636      1224.0
    69     -422.6185492520         363        131769       60882        3665      1252.1
    70     -422.6185871503         372        138384       60931        3696      1280.8
    71     -422.6186008887         359        128881       60839        3721      1298.0
    72     -422.6186293060         362        131044       60821        3742      1327.1
    73     -422.6186460943         358        128164       60793        3773      1348.3
    74     -422.6186960941         379        143641       60959        3802      1386.2
    75     -422.6187020172         364        132496       60957        3822      1419.9
    76     -422.6187310385         369        136161       60773        3842      1459.3
    77     -422.6187523677         349        121801       61008        3868      1474.2
    78     -422.6187911781         364        132496       60765        3893      1484.0
    79     -422.6188107150         377        142129       60951        3915      1496.0
    80     -422.6221562683         369        136161       60991        3933      1502.3
    81     -422.6221654419         360        129600       60869        3954      1504.5
    82     -422.6221760058         367        134689       61033        3979      1527.3
    83     -422.6222270895         368        135424       61001        4006      1561.6
    84     -422.6222410072         361        130321       60812        4021      1549.2
    85     -422.6222763349         365        133225       61076        4039      1592.2
    86     -422.6222850275         374        139876       60959        4058      1612.4
    87     -422.6223931574         369        136161       60995        4081      1631.4
    88     -422.6224065669         368        135424       60965        4116      1691.7
    89     -422.6224327083         356        126736       60969        4142      1706.1
    90     -422.6224684285         382        145924       60806        4169      1700.6
    91     -422.6224925218         350        122500       60838        4189      1628.0
    92     -422.6225029768         380        144400       61077        4222      1573.4
    93     -422.6225538252         367        134689       60796        4252      1598.8
    94     -422.6225698449         379        143641       60897        4268      1612.6
    95     -422.6225821731         377        142129       60888        4296      1632.3
    96     -422.6225923725         352        123904       61074        4321      1657.4
    97     -422.6226236254         377        142129       60751        4348      1677.5
    98     -422.6226385504         354        125316       60947        4369      1697.5
    99     -422.6226598783         374        139876       60867        4396      1777.9
   100     -422.6226770752         366        133956       60953        4419      1784.1
