# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4233771034         403        162409       15219         348        10.9
     2     -422.4585766936         374        139876       73709         536        75.6
     3     -422.4722007808         352        123904       73854         655        84.4
     4     -422.4887311166         362        131044       73938         773        93.7
     5     -422.5054808525         381        145161       74053         891       104.8
     6     -422.5257093297         369        136161       73965        1006       117.7
     7     -422.5369626516         365        133225       73977        1095       129.8
     8     -422.5514304491         366        133956       73994        1189       143.3
     9     -422.5596014444         365        133225       73914        1250       156.9
    10     -422.5675375012         366        133956       74227        1315       169.1
    11     -422.5765580936         353        124609       74096        1374       180.6
    12     -422.5816723158         365        133225       74005        1447       189.0
    13     -422.5842793531         369        136161       74162        1517       205.5
    14     -422.5870669471         360        129600       74032        1584       217.6
    15     -422.5902519604         369        136161       74079        1637       232.5
    16     -422.5920666322         362        131044       74223        1686       243.5
    17     -422.5948214966         364        132496       74112        1749       256.7
    18     -422.5977480868         361        130321       74125        1812       274.1
    19     -422.5991757090         350        122500       74150        1858       286.0
    20     -422.6023864077         360        129600       74106        1909       310.3
    21     -422.6026707842         382        145924       74116        1962       321.5
    22     -422.6033825217         367        134689       74115        2012       345.4
    23     -422.6064131715         366        133956       74082        2061       350.5
    24     -422.6064768208         348        121104       74256        2098       365.6
    25     -422.6071736939         363        131769       74147        2144       379.6
    26     -422.6082653894         371        137641       74281        2190       391.7
    27     -422.6088690005         367        134689       74242        2245       408.9
    28     -422.6089955044         340        115600       74105        2282       427.6
    29     -422.6113411662         392        153664       74167        2329       448.1
    30     -422.6122294867         349        121801       74242        2369       457.2
    31     -422.6122941641         370        136900       74123        2406       472.3
    32     -422.6135186052         357        127449       74120        2446       488.4
    33     -422.6137326149         359        128881       73853        2488       508.8
    34     -422.6137836673         376        141376       74186        2529       522.9
    35     -422.6165030217         368        135424       74171        2564       541.8
    36     -422.6181824355         378        142884       74185        2612       548.9
    37     -422.6189564353         352        123904       74082        2660       571.4
    38     -422.6189917027         365        133225       74251        2697       591.1
    39     -422.6196108413         374        139876       74146        2738       614.0
    40     -422.6196838189         369        136161       74032        2783       629.5
    41     -422.6197166397         351        123201       74202        2818       650.1
    42     -422.6197440355         356        126736       74208        2848       667.4
    43     -422.6198301318         351        123201       74207        2886       684.2
    44     -422.6198897029         382        145924       74077        2925       702.9
    45     -422.6199754451         370        136900       74101        2966       723.3
    46     -422.6200374159         370        136900       74135        3010       761.8
    47     -422.6201034386         361        130321       74240        3043       788.2
    48     -422.6201723560         372        138384       74156        3077       816.7
    49     -422.6202338920         380        144400       74184        3118       841.0
    50     -422.6204410409         359        128881       74150        3146       858.6
    51     -422.6204891265         358        128164       74271        3182       879.3
    52     -422.6209593066         376        141376       74268        3214       907.7
    53     -422.6209822763         366        133956       74178        3247       928.5
    54     -422.6213345463         354        125316       74405        3274       945.4
    55     -422.6216764224         374        139876       74035        3308       968.0
    56     -422.6217400800         365        133225       73985        3343       973.1
    57     -422.6217765266         364        132496       74148        3373       991.0
    58     -422.6217913695         362        131044       74203        3399       991.3
    59     -422.6218952988         363        131769       74189        3420      1019.0
    60     -422.6219236790         370        136900       74308        3451      1057.0
    61     -422.6219433959         368        135424       74173        3478      1077.0
    62     -422.6220043108         374        139876       74143        3513      1109.1
    63     -422.6220245894         371        137641       74205        3549      1153.4
    64     -422.6220487607         360        129600       74252        3585      1212.9
    65     -422.6221126781         365        133225       74177        3618      1234.9
    66     -422.6221403728         370        136900       74216        3657      1275.1
    67     -422.6221916340         365        133225       74172        3681      1299.2
    68     -422.6222200282         344        118336       74100        3705      1323.5
    69     -422.6222771914         348        121104       74241        3733      1340.3
    70     -422.6222979163         354        125316       74013        3762      1370.5
    71     -422.6223383167         359        128881       74019        3788      1407.1
    72     -422.6223617341         368        135424       74114        3824      1440.0
    73     -422.6223872743         353        124609       74147        3850      1485.6
    74     -422.6224094310         358        128164       74107        3872      1508.6
    75     -422.6224262376         363        131769       74137        3896      1509.7
    76     -422.6224499365         377        142129       74261        3918      1528.9
    77     -422.6224761531         375        140625       74164        3949      1540.6
    78     -422.6224969519         358        128164       73956        3971      1562.6
    79     -422.6225365105         357        127449       74199        4003      1565.9
    80     -422.6225715418         373        139129       74096        4032      1580.6
    81     -422.6225882758         368        135424       74053        4053      1596.1
    82     -422.6226146852         345        119025       74232        4077      1631.8
    83     -422.6226414036         374        139876       74216        4099      1659.9
    84     -422.6226661790         363        131769       74119        4125      1701.9
    85     -422.6226888342         341        116281       74230        4148      1705.7
    86     -422.6227261698         364        132496       74034        4168      1754.9
    87     -422.6227587620         371        137641       74269        4202      1760.3
    88     -422.6228332441         361        130321       74172        4227      1763.5
    89     -422.6228577906         368        135424       74122        4253      1656.4
    90     -422.6229084913         369        136161       74332        4275      1677.1
    91     -422.6229418360         372        138384       74244        4291      1686.7
    92     -422.6229591133         358        128164       74203        4312      1699.3
    93     -422.6229756022         380        144400       74187        4336      1721.7
    94     -422.6229836132         364        132496       74089        4357      1743.1
    95     -422.6230122493         363        131769       74234        4385      1771.2
    96     -422.6230246093         346        119716       74162        4401      1793.7
    97     -422.6230555556         362        131044       74106        4418      1856.5
