# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4198352050         449        201601       21800         386        17.0
     2     -422.4468219967         434        188356      209629         625       162.3
     3     -422.4638380447         424        179776      209381         803       180.1
     4     -422.4802234479         454        206116      209786         969       167.4
     5     -422.4914602369         428        183184      209892        1107       179.5
     6     -422.5028118937         464        215296      210016        1245       199.3
     7     -422.5203827587         447        199809      209960        1380       218.6
     8     -422.5269097600         433        187489      210028        1496       239.4
     9     -422.5369521585         418        174724      210001        1594       259.2
    10     -422.5432605393         432        186624      210235        1706       284.6
    11     -422.5515922485         427        182329      209904        1809       312.4
    12     -422.5582660024         424        179776      209957        1903       336.7
    13     -422.5648131843         433        187489      209884        2004       361.8
    14     -422.5741032009         432        186624      210243        2093       390.8
    15     -422.5774539542         423        178929      210325        2174       413.1
    16     -422.5791714263         435        189225      210026        2280       441.3
    17     -422.5807449147         431        185761      210311        2352       472.9
    18     -422.5859058557         449        201601      210305        2430       494.0
    19     -422.5865970873         415        172225      210138        2495       521.9
    20     -422.5886224951         438        191844      210227        2557       544.8
    21     -422.5902719597         448        200704      210247        2638       571.8
    22     -422.5919715786         434        188356      210146        2706       604.0
    23     -422.5941724999         420        176400      210165        2766       665.5
    24     -422.5961283413         439        192721      210304        2842       690.6
    25     -422.5974727394         438        191844      210065        2915       727.4
    26     -422.5993665433         452        204304      210195        2987       763.4
    27     -422.6005749758         432        186624      210168        3047       790.8
    28     -422.6008575999         457        208849      210298        3109       823.7
    29     -422.6058325005         454        206116      210142        3174       861.9
    30     -422.6062945387         445        198025      210204        3236       892.6
    31     -422.6063628555         422        178084      210262        3288       924.2
    32     -422.6071786353         441        194481      210034        3356       955.9
    33     -422.6086952362         440        193600      210404        3405      1002.8
    34     -422.6094929906         438        191844      210412        3470      1026.3
    35     -422.6095958347         431        185761      209968        3521      1059.8
    36     -422.6102630743         446        198916      210124        3577      1117.3
    37     -422.6111654340         440        193600      210069        3631      1167.3
    38     -422.6135296050         432        186624      210082        3681      1195.9
    39     -422.6136725882         458        209764      210490        3738      1232.4
    40     -422.6158263606         445        198025      210267        3793      1274.2
    41     -422.6159738795         440        193600      210232        3851      1321.8
    42     -422.6163801942         456        207936      210152        3902      1367.6
    43     -422.6164940067         451        203401      210311        3949      1394.1
    44     -422.6175268715         422        178084      210190        3995      1436.3
    45     -422.6176177461         450        202500      210041        4052      1468.1
    46     -422.6185121449         462        213444      210489        4105      1520.7
    47     -422.6185665086         455        207025      210331        4150      1556.2
    48     -422.6186234560         434        188356      210363        4200      1582.9
    49     -422.6203110715         424        179776      210469        4249      1627.9
    50     -422.6203608614         441        194481      210374        4290      1662.8
    51     -422.6204216845         438        191844      210001        4337      1708.5
    52     -422.6204999711         464        215296      210391        4384      1750.2
    53     -422.6228580462         432        186624      210326        4429      1781.3
    54     -422.6228929202         443        196249      210263        4480      1826.7
    55     -422.6229266999         442        195364      210530        4518      1872.3
    56     -422.6229704567         448        200704      210303        4569      1908.7
    57     -422.6230341589         441        194481      210502        4611      1953.0
    58     -422.6230630023         416        173056      210267        4657      2035.1
    59     -422.6231175302         454        206116      210221        4711      2086.4
    60     -422.6231517539         442        195364      210407        4753      2136.0
    61     -422.6231908135         444        197136      210268        4799      2180.3
    62     -422.6232184802         454        206116      210574        4842      2221.8
    63     -422.6232640425         430        184900      210461        4891      2268.5
    64     -422.6232955090         457        208849      210254        4931      2326.6
    65     -422.6233361391         473        223729      210607        4979      2371.7
    66     -422.6233657750         462        213444      210311        5028      2417.9
    67     -422.6234050881         448        200704      210262        5071      2469.4
    68     -422.6234654850         435        189225      210217        5116      2517.1
    69     -422.6234981633         438        191844      210405        5150      2570.6
    70     -422.6236291460         453        205209      210309        5187      2618.0
    71     -422.6236833125         443        196249      210194        5226      2652.5
