# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4229831728         478        228484       23153         404        15.7
     2     -422.4516017219         475        225625      281419         684       200.5
     3     -422.4688146877         458        209764      281643         881       209.6
     4     -422.4844064269         484        234256      281332        1062       191.1
     5     -422.5014921801         490        240100      281712        1223       215.5
     6     -422.5131561446         467        218089      281838        1361       235.9
     7     -422.5191536435         493        243049      281754        1503       259.6
     8     -422.5324409420         474        224676      281542        1635       284.1
     9     -422.5373146399         473        223729      282034        1751       314.2
    10     -422.5472109231         472        222784      281870        1878       340.2
    11     -422.5572688200         484        234256      281680        2002       378.5
    12     -422.5635992833         481        231361      281849        2109       412.6
    13     -422.5693540953         475        225625      281968        2207       439.4
    14     -422.5774008654         499        249001      282006        2331       475.1
    15     -422.5790068326         472        222784      281789        2421       513.7
    16     -422.5807967997         472        222784      281833        2515       540.9
    17     -422.5840282426         490        240100      282122        2601       581.7
    18     -422.5859660480         483        233289      281703        2679       610.3
    19     -422.5877964969         464        215296      281683        2747       637.6
    20     -422.5912572221         471        221841      281929        2836       667.3
    21     -422.5925589970         465        216225      281965        2916       737.2
    22     -422.5944573450         478        228484      282179        3004       773.8
    23     -422.5957321827         486        236196      281815        3094       824.6
    24     -422.5969319950         462        213444      282142        3181       867.2
    25     -422.5976535360         470        220900      282201        3261       913.0
    26     -422.5986587624         488        238144      282146        3346       965.9
    27     -422.6016237570         480        230400      281816        3417      1003.5
    28     -422.6040469368         473        223729      282070        3492      1048.1
    29     -422.6047528813         478        228484      282180        3554      1095.2
    30     -422.6062990173         489        239121      281890        3627      1132.8
    31     -422.6091668731         489        239121      281779        3694      1173.6
    32     -422.6108022781         480        230400      282018        3754      1220.9
    33     -422.6108832899         466        217156      281787        3815      1259.6
    34     -422.6118968092         470        220900      281597        3877      1301.4
    35     -422.6134520232         479        229441      282293        3941      1338.6
    36     -422.6135280846         493        243049      281976        4013      1398.5
    37     -422.6143086343         466        217156      282234        4067      1443.3
    38     -422.6143787763         486        236196      282299        4140      1507.1
    39     -422.6144449747         461        212521      282132        4199      1567.8
    40     -422.6146045920         463        214369      282164        4259      1604.0
    41     -422.6167968835         464        215296      282179        4308      1676.6
    42     -422.6168965425         470        220900      282137        4367      1715.4
    43     -422.6169960896         472        222784      281844        4428      1764.6
    44     -422.6170511524         486        236196      281846        4483      1816.2
    45     -422.6178504940         480        230400      282129        4550      1873.1
    46     -422.6179870740         490        240100      282150        4598      1943.8
    47     -422.6180118471         470        220900      281903        4657      1965.1
    48     -422.6180730513         468        219024      282192        4722      2033.5
    49     -422.6202524446         479        229441      282323        4774      2078.2
    50     -422.6203160827         486        236196      281903        4827      2136.7
    51     -422.6203794488         474        224676      282025        4887      2181.8
    52     -422.6220684658         487        237169      282188        4943      2243.6
    53     -422.6221071068         486        236196      282243        5000      2367.7
    54     -422.6221436435         473        223729      282028        5055      2418.5
    55     -422.6222441879         462        213444      282049        5099      2481.5
    56     -422.6222994363         472        222784      281628        5149      2528.1
    57     -422.6224128844         466        217156      282136        5196      2581.5
    58     -422.6225809302         478        228484      282127        5250      2641.9
    59     -422.6226335948         467        218089      282083        5304      2708.7
    60     -422.6226681256         468        219024      281821        5353      2756.6
    61     -422.6226990374         452        204304      281874        5397      2814.6
    62     -422.6227445104         452        204304      281886        5447      2848.6
    63     -422.6227785605         469        219961      282044        5489      2923.8
    64     -422.6228158120         480        230400      281784        5531      2976.8
