# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4207816251         485        235225       23478         395        18.4
     2     -422.4428301998         532        283024      367587         682       244.9
     3     -422.4658336376         508        258064      367422         902       231.8
     4     -422.4841347476         536        287296      367761        1106       216.5
     5     -422.4965935656         513        263169      367756        1282       241.7
     6     -422.5086698101         507        257049      368028        1440       270.3
     7     -422.5258852491         523        273529      368140        1595       297.4
     8     -422.5308163724         525        275625      368310        1725       327.4
     9     -422.5383872384         498        248004      368256        1844       357.2
    10     -422.5456062155         498        248004      367987        1975       391.6
    11     -422.5525447134         506        256036      368287        2093       426.4
    12     -422.5566902301         507        257049      367988        2219       458.6
    13     -422.5639264749         528        278784      368169        2349       496.9
    14     -422.5680006865         494        244036      368205        2455       536.3
    15     -422.5696550299         529        279841      368301        2577       577.9
    16     -422.5769541665         506        256036      368230        2675       623.1
    17     -422.5814507278         499        249001      368179        2775       688.1
    18     -422.5832765995         520        270400      367983        2889       737.4
    19     -422.5843393553         529        279841      368243        2983       789.2
    20     -422.5884556163         507        257049      367967        3086       827.6
    21     -422.5925854531         527        277729      368319        3176       883.3
    22     -422.5942572636         504        254016      368217        3267       928.5
    23     -422.5969538090         508        258064      368209        3360       974.3
    24     -422.6003548714         512        262144      368051        3431      1026.1
    25     -422.6040406512         530        280900      368284        3503      1072.8
    26     -422.6087725975         523        273529      368531        3592      1119.4
    27     -422.6093053637         503        253009      368273        3667      1171.6
    28     -422.6103994529         498        248004      368242        3731      1207.7
    29     -422.6107658734         517        267289      368511        3811      1292.9
    30     -422.6135458586         528        278784      368522        3886      1349.1
    31     -422.6143684394         523        273529      368433        3957      1397.1
    32     -422.6155454318         544        295936      368272        4020      1459.6
    33     -422.6161733029         495        245025      368148        4078      1493.5
    34     -422.6176751966         545        297025      368474        4159      1545.7
    35     -422.6178041521         517        267289      368802        4226      1597.6
    36     -422.6184109663         513        263169      368294        4306      1659.2
    37     -422.6190138079         533        284089      368208        4383      1728.7
    38     -422.6192496080         530        280900      368307        4452      1803.7
    39     -422.6202056116         521        271441      368246        4523      1865.0
    40     -422.6205675003         521        271441      368204        4583      1903.4
    41     -422.6206263973         500        250000      368417        4634      1961.9
    42     -422.6206797394         514        264196      368691        4700      2006.2
    43     -422.6207512601         504        254016      368697        4763      2059.0
    44     -422.6208038156         537        288369      368090        4816      2111.9
    45     -422.6208737444         526        276676      368430        4885      2178.4
    46     -422.6209506703         507        257049      368453        4940      2239.0
    47     -422.6210658611         530        280900      368128        4997      2295.0
    48     -422.6224537195         527        277729      368291        5060      2361.3
    49     -422.6225242170         518        268324      368211        5120      2414.6
    50     -422.6228488189         512        262144      368514        5167      2470.5
    51     -422.6229341505         516        266256      368088        5226      2511.5
    52     -422.6229650062         528        278784      368643        5271      2625.8
    53     -422.6230138289         522        272484      368388        5333      2718.4
    54     -422.6231462541         493        243049      368556        5384      2766.7
    55     -422.6231948094         503        253009      368250        5440      2834.3
    56     -422.6234150459         524        274576      368203        5510      2908.4
    57     -422.6234487324         499        249001      368853        5570      3005.7
    58     -422.6234840891         510        260100      368245        5626      3073.5
    59     -422.6236302065         518        268324      368438        5685      3147.6
