# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4260648791         450        202500       23586         379        15.8
     2     -422.4514431867         559        312481      466280         663       275.9
     3     -422.4701660981         553        305809      466306         880       232.6
     4     -422.4801809366         575        330625      466351        1083       241.0
     5     -422.5026122655         584        341056      466324        1279       268.9
     6     -422.5144492452         555        308025      466400        1442       299.0
     7     -422.5288027769         561        314721      466568        1616       330.2
     8     -422.5338309209         562        315844      466610        1775       364.7
     9     -422.5454521765         569        323761      466414        1944       406.0
    10     -422.5509057666         574        329476      466724        2097       447.2
    11     -422.5563115075         567        321489      466624        2220       492.7
    12     -422.5619985493         584        341056      466682        2352       529.0
    13     -422.5658285829         584        341056      466853        2485       571.9
    14     -422.5687406154         558        311364      466568        2608       617.7
    15     -422.5719454661         557        310249      466682        2728       657.7
    16     -422.5727262942         559        312481      466946        2836       708.0
    17     -422.5757499411         556        309136      466675        2931       751.6
    18     -422.5786092036         577        332929      466893        3025       799.3
    19     -422.5870751176         588        345744      466710        3125       869.1
    20     -422.5910085596         576        331776      466894        3209       926.2
    21     -422.5922603333         565        319225      466786        3312       976.9
    22     -422.5954916705         571        326041      467118        3412      1025.6
    23     -422.5968127173         569        323761      466593        3499      1091.1
    24     -422.5975467574         587        344569      466856        3592      1133.4
    25     -422.5980779267         572        327184      467064        3678      1194.4
    26     -422.5985553105         574        329476      466860        3764      1248.8
    27     -422.6029546860         557        310249      466907        3855      1300.2
    28     -422.6033963106         566        320356      466828        3936      1360.6
    29     -422.6047188016         552        304704      466719        4037      1425.4
    30     -422.6056145905         563        316969      467092        4131      1533.8
    31     -422.6082182673         554        306916      466725        4210      1594.8
    32     -422.6103029151         565        319225      467005        4293      1656.5
    33     -422.6105489741         568        322624      466782        4383      1733.2
    34     -422.6106217992         540        291600      467250        4453      1787.1
    35     -422.6131802965         570        324900      467116        4538      1859.7
    36     -422.6133150463         552        304704      466969        4614      1921.2
    37     -422.6135235747         587        344569      466625        4683      2003.5
    38     -422.6151841788         558        311364      466956        4761      2058.5
    39     -422.6160660145         580        336400      467095        4838      2136.3
    40     -422.6161611320         562        315844      466598        4929      2198.8
    41     -422.6162244226         558        311364      467048        5013      2280.0
    42     -422.6163564430         579        335241      466774        5079      2372.7
    43     -422.6166997304         566        320356      466798        5149      2436.9
    44     -422.6168399246         588        345744      466980        5215      2519.6
    45     -422.6177369065         573        328329      467128        5285      2573.8
    46     -422.6178207557         598        357604      467007        5379      2665.3
    47     -422.6178814498         579        335241      466972        5450      2754.4
    48     -422.6193157069         578        334084      467192        5514      2912.9
    49     -422.6210643332         563        316969      467044        5575      2988.3
    50     -422.6211232723         562        315844      467055        5642      3056.3
    51     -422.6211917613         568        322624      467137        5718      3153.7
    52     -422.6212570800         570        324900      467009        5787      3253.0
    53     -422.6213293730         566        320356      466741        5847      3346.8
    54     -422.6214086078         587        344569      466820        5906      3414.6
    55     -422.6214725462         564        318096      466923        5963      3518.1
