# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4204169710         417        173889       19182         357        15.2
     2     -422.4463707871         375        140625      102361         539       120.0
     3     -422.4661699306         358        128164      102227         680       126.3
     4     -422.4879751713         376        141376      102392         810       159.1
     5     -422.4981935415         380        144400      102467         909       118.9
     6     -422.5093849334         397        157609      102381        1010       130.6
     7     -422.5250553047         393        154449      102474        1111       141.9
     8     -422.5296995546         381        145161      102467        1195       154.4
     9     -422.5425283677         386        148996      102605        1291       169.1
    10     -422.5525176643         379        143641      102621        1370       184.9
    11     -422.5607448933         369        136161      102434        1451       199.0
    12     -422.5697399425         395        156025      102476        1525       215.8
    13     -422.5760647793         391        152881      102662        1602       231.6
    14     -422.5788267595         388        150544      102866        1665       245.9
    15     -422.5824751571         373        139129      102560        1723       260.3
    16     -422.5837778687         367        134689      102798        1781       274.4
    17     -422.5860303232         383        146689      102755        1841       288.7
    18     -422.5892575374         366        133956      102559        1895       303.3
    19     -422.5952123906         380        144400      102721        1946       322.7
    20     -422.5992165788         357        127449      102833        1993       330.9
    21     -422.6015614871         366        133956      102576        2035       350.7
    22     -422.6059755488         364        132496      102860        2076       366.0
    23     -422.6072766070         371        137641      102710        2132       382.9
    24     -422.6073724368         383        146689      102612        2183       399.4
    25     -422.6085131421         392        153664      102747        2225       412.5
    26     -422.6091666897         373        139129      102565        2280       430.8
    27     -422.6103694864         373        139129      102655        2327       450.5
    28     -422.6110146821         399        159201      102652        2371       461.4
    29     -422.6119035988         381        145161      102765        2416       481.6
    30     -422.6130596925         371        137641      102811        2462       499.3
    31     -422.6131723599         374        139876      102457        2509       513.7
    32     -422.6134774267         367        134689      102736        2544       533.0
    33     -422.6135262095         375        140625      102806        2584       542.3
    34     -422.6135857344         385        148225      102672        2626       561.9
    35     -422.6136544561         377        142129      102897        2668       582.1
    36     -422.6143526935         370        136900      102696        2701       598.5
    37     -422.6143855008         378        142884      102839        2737       614.5
    38     -422.6178663742         388        150544      102859        2781       633.3
    39     -422.6179684906         375        140625      102611        2819       646.3
    40     -422.6192840015         384        147456      102720        2851       666.6
    41     -422.6193340143         371        137641      102777        2889       679.0
    42     -422.6206763002         395        156025      102997        2919       715.6
    43     -422.6207456835         376        141376      102756        2959       749.4
    44     -422.6207871600         389        151321      102824        3010       774.6
    45     -422.6208300055         388        150544      102596        3049       793.1
    46     -422.6212148506         372        138384      102769        3087       820.0
    47     -422.6212468700         366        133956      102671        3116       839.0
    48     -422.6213092050         383        146689      102806        3160       850.8
    49     -422.6213678835         378        142884      102684        3190       876.9
    50     -422.6213988476         377        142129      102774        3227       897.1
    51     -422.6214332381         367        134689      102722        3263       918.8
    52     -422.6214714659         397        157609      102870        3297       945.3
    53     -422.6215051824         372        138384      102839        3319       959.5
    54     -422.6215664881         395        156025      102801        3358       976.0
    55     -422.6215967617         388        150544      102840        3397       997.0
    56     -422.6216356349         370        136900      102613        3422      1018.0
    57     -422.6216556604         377        142129      102926        3450      1029.2
    58     -422.6217081758         372        138384      102885        3478      1049.9
    59     -422.6217372023         401        160801      102798        3518      1071.8
    60     -422.6220780188         371        137641      102706        3548      1093.6
    61     -422.6220996725         381        145161      102878        3573      1108.9
    62     -422.6221354967         383        146689      102771        3606      1130.7
    63     -422.6221792548         380        144400      102764        3641      1150.1
    64     -422.6222229938         365        133225      102842        3678      1172.1
    65     -422.6222742476         386        148996      102463        3709      1195.3
    66     -422.6223060430         396        156816      102570        3740      1219.7
    67     -422.6223401126         376        141376      102597        3769      1231.8
    68     -422.6223761853         391        152881      102660        3804      1262.4
    69     -422.6223974821         381        145161      102698        3831      1300.4
    70     -422.6224367600         369        136161      102956        3854      1300.0
    71     -422.6224801299         376        141376      102705        3878      1327.6
    72     -422.6225026234         384        147456      102731        3900      1335.8
    73     -422.6225194812         372        138384      102519        3927      1354.4
    74     -422.6225469193         379        143641      102708        3956      1377.0
    75     -422.6225709776         412        169744      102721        3987      1438.1
    76     -422.6225908552         374        139876      102734        4008      1459.6
    77     -422.6226054059         402        161604      102513        4034      1473.0
    78     -422.6226261092         373        139129      102569        4059      1491.5
    79     -422.6226649825         378        142884      102747        4089      1519.2
    80     -422.6226887849         367        134689      102670        4115      1548.5
    81     -422.6227102978         377        142129      102601        4139      1563.3
    82     -422.6227246853         400        160000      102392        4168      1590.7
    83     -422.6227633028         380        144400      102756        4193      1607.1
    84     -422.6228043227         384        147456      102668        4221      1640.3
    85     -422.6228239080         394        155236      102690        4247      1658.1
    86     -422.6228429502         380        144400      102649        4272      1682.8
    87     -422.6228608116         379        143641      102904        4301      1694.2
    88     -422.6228802111         373        139129      102673        4329      1721.0
    89     -422.6228984507         382        145924      102732        4356      1743.5
    90     -422.6229170176         378        142884      102825        4388      1778.1
    91     -422.6229348524         384        147456      102863        4417      1799.8
    92     -422.6229496436         371        137641      102720        4445      1828.1
    93     -422.6229785606         379        143641      102708        4474      1854.6
    94     -422.6230019458         397        157609      102916        4513      1902.5
    95     -422.6230309309         379        143641      102844        4541      1922.0
