# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4270023022         452        204304       20403         388        15.7
     2     -422.4525317596         436        190096      157195         605       148.3
     3     -422.4731319876         425        180625      157422         784       157.7
     4     -422.4887597383         409        167281      157178         932       161.8
     5     -422.4988826257         399        159201      157598        1073       153.9
     6     -422.5113643579         436        190096      157414        1217       173.9
     7     -422.5207276896         421        177241      157376        1323       192.0
     8     -422.5316539291         436        190096      157638        1449       209.5
     9     -422.5392814707         417        173889      157781        1546       234.7
    10     -422.5444122490         406        164836      157468        1623       248.5
    11     -422.5533935350         406        164836      157497        1709       266.1
    12     -422.5566865447         406        164836      157384        1788       286.0
    13     -422.5687543184         436        190096      157670        1889       308.1
    14     -422.5715214161         430        184900      157455        1959       329.8
    15     -422.5768645158         407        165649      157393        2036       348.9
    16     -422.5796359066         419        175561      157318        2120       373.5
    17     -422.5807691216         415        172225      157404        2182       400.8
    18     -422.5861016900         421        177241      157733        2259       420.9
    19     -422.5906370522         439        192721      157666        2332       447.7
    20     -422.5918609555         425        180625      157614        2388       471.6
    21     -422.5925874321         423        178929      157349        2453       491.1
    22     -422.5954704857         423        178929      157342        2520       518.3
    23     -422.6040893873         426        181476      157705        2571       541.2
    24     -422.6049902370         437        190969      157550        2633       562.4
    25     -422.6071747584         411        168921      157653        2694       583.0
    26     -422.6084624194         399        159201      157799        2752       605.7
    27     -422.6093965211         416        173056      157774        2812       636.5
    28     -422.6094770107         422        178084      157763        2866       659.2
    29     -422.6135974701         406        164836      157622        2925       676.5
    30     -422.6136865504         429        184041      157704        2982       729.0
    31     -422.6140341461         409        167281      157992        3027       768.4
    32     -422.6141423094         416        173056      157778        3075       792.8
    33     -422.6153600929         425        180625      157949        3136       823.0
    34     -422.6157215081         426        181476      157723        3188       846.5
    35     -422.6157727233         415        172225      157720        3229       871.3
    36     -422.6173390786         433        187489      157652        3279       903.5
    37     -422.6182274639         417        173889      157440        3330       930.0
    38     -422.6182754145         424        179776      157798        3384       957.9
    39     -422.6183309449         403        162409      157814        3417       987.9
    40     -422.6183766146         420        176400      157372        3458      1012.0
    41     -422.6184370988         435        189225      157760        3505      1033.0
    42     -422.6185256011         419        175561      157499        3555      1060.5
    43     -422.6213757614         409        167281      157745        3611      1103.8
    44     -422.6214665258         403        162409      157519        3653      1136.4
    45     -422.6215111522         428        183184      157506        3690      1159.6
    46     -422.6218167347         403        162409      157490        3733      1192.1
    47     -422.6218821705         426        181476      157573        3780      1215.6
    48     -422.6219597985         416        173056      157679        3819      1276.0
    49     -422.6220078537         417        173889      157714        3857      1301.5
    50     -422.6220329525         410        168100      157617        3898      1333.2
    51     -422.6220811035         411        168921      157832        3938      1365.5
    52     -422.6221531019         432        186624      157559        3979      1398.5
    53     -422.6222152788         424        179776      157634        4025      1434.0
    54     -422.6223258589         408        166464      157630        4064      1471.6
    55     -422.6223601210         414        171396      157504        4107      1493.0
    56     -422.6224122586         428        183184      157743        4150      1537.0
    57     -422.6224522014         418        174724      157692        4194      1564.7
    58     -422.6224957991         420        176400      157737        4233      1605.3
    59     -422.6225293984         425        180625      157863        4281      1627.9
    60     -422.6225775005         399        159201      157797        4319      1663.6
    61     -422.6226265293         439        192721      157378        4366      1707.1
    62     -422.6228802030         425        180625      157760        4414      1739.6
    63     -422.6229355145         421        177241      157715        4456      1792.4
    64     -422.6229652628         407        165649      157738        4489      1823.9
    65     -422.6229961741         426        181476      157719        4535      1858.3
    66     -422.6230243383         431        185761      157718        4563      1891.4
    67     -422.6230790489         422        178084      157274        4607      1926.0
    68     -422.6231310632         415        172225      157605        4651      1964.1
    69     -422.6231567069         401        160801      157697        4685      1993.3
    70     -422.6232032528         419        175561      157662        4720      2024.3
    71     -422.6232423701         434        188356      157620        4756      2069.8
    72     -422.6232688092         425        180625      157794        4802      2163.3
    73     -422.6232994180         426        181476      157773        4836      2212.4
    74     -422.6233443018         401        160801      157708        4868      2239.5
    75     -422.6233808212         410        168100      157679        4903      2277.4
    76     -422.6234361015         391        152881      157720        4940      2307.4
    77     -422.6234599188         407        165649      157608        4975      2339.8
    78     -422.6234888390         441        194481      157629        5015      2387.7
