# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4193595449         461        212521       23592         384        15.7
     2     -422.4421685543         631        398161      566198         667       333.3
     3     -422.4611731541         593        351649      566134         882       250.7
     4     -422.4797020551         626        391876      566376        1079       275.1
     5     -422.4938446682         624        389376      566521        1251       300.2
     6     -422.5039762965         619        383161      566397        1430       327.1
     7     -422.5218828778         623        388129      566236        1593       360.1
     8     -422.5270003580         626        391876      566463        1748       391.7
     9     -422.5355384984         615        378225      566426        1900       424.4
    10     -422.5480202984         607        368449      566495        2029       460.9
    11     -422.5535343352         606        367236      566437        2153       495.6
    12     -422.5602119129         625        390625      566974        2308       537.4
    13     -422.5640574006         620        384400      566423        2433       586.9
    14     -422.5711850688         602        362404      566560        2535       624.1
    15     -422.5722032767         591        349281      566592        2638       661.4
    16     -422.5772892232         637        405769      566359        2754       702.9
    17     -422.5815688498         631        398161      566626        2857       747.0
    18     -422.5845448747         603        363609      566631        2954       787.7
    19     -422.5882908051         586        343396      566594        3061       835.2
    20     -422.5904091773         607        368449      566542        3160       885.4
    21     -422.5917348502         580        336400      566656        3262       948.8
    22     -422.5921740122         611        373321      566806        3371      1023.7
    23     -422.5932379859         619        383161      566930        3485      1080.8
    24     -422.5943876048         621        385641      566939        3592      1155.6
    25     -422.5976085619         605        366025      566740        3674      1202.7
    26     -422.5982384986         613        375769      566659        3771      1261.1
    27     -422.5997618591         612        374544      566685        3866      1327.5
    28     -422.6009602859         618        381924      566478        3966      1385.9
    29     -422.6029656733         626        391876      566969        4064      1463.3
    30     -422.6034908026         605        366025      566671        4151      1519.5
    31     -422.6074311371         601        361201      566857        4243      1577.5
    32     -422.6075404101         617        380689      566972        4338      1659.5
    33     -422.6076212297         588        345744      567032        4405      1712.6
    34     -422.6077344278         601        361201      567133        4468      1767.2
    35     -422.6087470912         616        379456      566623        4546      1835.0
    36     -422.6088978391         606        367236      567135        4621      1885.2
    37     -422.6089828260         598        357604      566822        4689      1976.9
    38     -422.6098507947         620        384400      566666        4775      2072.6
    39     -422.6099749400         608        369664      566780        4862      2145.1
    40     -422.6100748275         604        364816      566877        4942      2230.7
    41     -422.6121843306         622        386884      566607        5022      2324.0
    42     -422.6125476290         609        370881      566908        5089      2379.2
    43     -422.6127660992         618        381924      566988        5163      2450.9
    44     -422.6128522528         623        388129      567041        5241      2505.4
    45     -422.6129393627         633        400689      567053        5315      2598.4
    46     -422.6138021855         609        370881      566739        5384      2670.2
    47     -422.6150054867         585        342225      566968        5455      2748.5
    48     -422.6153920002         618        381924      567054        5529      2832.2
    49     -422.6154486139         626        391876      566635        5606      2908.4
    50     -422.6155546924         610        372100      566983        5677      3008.6
    51     -422.6156140351         608        369664      567036        5739      3089.1
    52     -422.6157822538         608        369664      566774        5810      3160.3
    53     -422.6158466358         597        356409      567018        5875      3238.1
    54     -422.6159438456         617        380689      566822        5958      3341.8
    55     -422.6160174174         610        372100      566796        6020      3542.1
