# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4067188497         707        499849       71141         212        18.4
     2     -422.4407708578         431        185761      139971         425       100.8
     3     -422.4651302145         406        164836      139936         564       108.8
     4     -422.4880540464         417        173889      140045         678       118.0
     5     -422.5034578455         413        170569      140028         794       128.3
     6     -422.5244584326         426        181476      140231         892       139.9
     7     -422.5336540079         438        191844      140297         973       150.2
     8     -422.5429489146         422        178084      140082        1047       159.9
     9     -422.5528510862         424        179776      140327        1117       168.8
    10     -422.5688675714         425        180625      140328        1180       179.8
    11     -422.5741070492         428        183184      140347        1247       192.1
    12     -422.5792543631         421        177241      140492        1301       204.9
    13     -422.5795190308         427        182329      140361        1356       218.4
    14     -422.5843517356         411        168921      140358        1406       223.2
    15     -422.5867236343         422        178084      140307        1455       235.2
    16     -422.5877122901         425        180625      140236        1507       245.1
    17     -422.5890440134         442        195364      140517        1549       254.6
    18     -422.5938855662         436        190096      140342        1595       265.6
    19     -422.5969901640         402        161604      140369        1633       274.2
    20     -422.5995323066         428        183184      140214        1678       283.4
    21     -422.5998205490         432        186624      140408        1728       296.6
    22     -422.6037777684         424        179776      140520        1767       307.6
    23     -422.6044443268         400        160000      140342        1809       320.0
    24     -422.6053172839         413        170569      140409        1842       329.8
    25     -422.6081951487         405        164025      140362        1883       343.4
    26     -422.6082718949         418        174724      140312        1917       354.2
    27     -422.6104638903         413        170569      140319        1948       366.8
    28     -422.6138044131         414        171396      140478        1993       375.4
    29     -422.6138704936         411        168921      140407        2040       391.6
    30     -422.6142369184         417        173889      140519        2078       401.8
    31     -422.6153264010         438        191844      140404        2114       418.1
    32     -422.6158539972         422        178084      140575        2153       427.3
    33     -422.6193332532         418        174724      140409        2191       442.7
    34     -422.6197631785         426        181476      140432        2233       455.9
    35     -422.6198351295         404        163216      140436        2257       469.1
    36     -422.6199102254         415        172225      140423        2300       480.4
    37     -422.6199486759         398        158404      140384        2327       491.3
    38     -422.6200224860         413        170569      140477        2368       505.3
    39     -422.6200956072         412        169744      140571        2400       518.4
    40     -422.6201490609         414        171396      140405        2437       531.7
    41     -422.6201792624         437        190969      140678        2466       549.1
    42     -422.6202107788         412        169744      140528        2504       560.3
    43     -422.6202391589         423        178929      140647        2538       574.0
    44     -422.6202754298         431        185761      140590        2577       591.2
    45     -422.6203689032         413        170569      140410        2601       603.7
    46     -422.6203949833         406        164836      140388        2639       610.1
    47     -422.6204312591         428        183184      140493        2672       630.9
