# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4136838461         675        455625       75861         227        18.8
     2     -422.4423484543         403        162409      166218         414       124.6
     3     -422.4692735155         418        174724      166300         560       132.9
     4     -422.4968485517         411        168921      166258         691       142.2
     5     -422.5209836111         403        162409      166346         808       152.3
     6     -422.5342165100         383        146689      166429         909       164.6
     7     -422.5459150048         382        145924      166431         993       175.9
     8     -422.5590642001         412        169744      166421        1075       186.0
     9     -422.5676988911         394        155236      166271        1158       197.2
    10     -422.5755821128         395        156025      166818        1241       211.3
    11     -422.5820642183         406        164836      166622        1316       226.4
    12     -422.5850603773         396        156816      166678        1379       238.1
    13     -422.5872840743         408        166464      166768        1443       251.7
    14     -422.5928222122         388        150544      166553        1517       264.2
    15     -422.5945839436         388        150544      166677        1555       274.5
    16     -422.5983295141         405        164025      166594        1612       288.8
    17     -422.6021767459         411        168921      166535        1663       301.2
    18     -422.6024754050         382        145924      166772        1715       313.1
    19     -422.6059058831         400        160000      166492        1773       331.8
    20     -422.6069873413         410        168100      166808        1815       347.8
    21     -422.6085430872         383        146689      166645        1851       357.5
    22     -422.6086476776         415        172225      166799        1892       365.4
    23     -422.6087391230         374        139876      166761        1943       383.3
    24     -422.6121065031         385        148225      166730        1989       395.4
    25     -422.6121672494         411        168921      166667        2036       410.7
    26     -422.6149869054         388        150544      166787        2069       422.7
    27     -422.6150569901         397        157609      166908        2113       437.0
    28     -422.6151760694         378        142884      166880        2152       451.9
    29     -422.6152403508         401        160801      166827        2199       463.2
    30     -422.6153476021         408        166464      166742        2239       483.2
    31     -422.6156928218         414        171396      166744        2275       498.2
    32     -422.6172458715         406        164836      166755        2318       510.3
    33     -422.6172995783         391        152881      166815        2362       522.9
    34     -422.6173828222         392        153664      166801        2389       533.8
    35     -422.6174456498         399        159201      166700        2421       551.1
    36     -422.6192695388         404        163216      166607        2462       576.0
    37     -422.6192920126         404        163216      166617        2496       606.5
    38     -422.6193429457         426        181476      166739        2542       623.5
    39     -422.6193812253         408        166464      166943        2569       644.6
    40     -422.6206287138         408        166464      166817        2612       655.7
    41     -422.6207277640         399        159201      166695        2648       668.0
    42     -422.6209627758         401        160801      166780        2674       687.1
    43     -422.6210051857         377        142129      166776        2707       691.8
    44     -422.6210661896         405        164025      166724        2736       714.7
    45     -422.6211012249         397        157609      166718        2760       725.5
    46     -422.6214655773         416        173056      166717        2790       739.7
    47     -422.6214943386         399        159201      166867        2825       752.7
    48     -422.6215198054         415        172225      166736        2855       769.9
    49     -422.6215766508         406        164836      166905        2888       791.2
    50     -422.6216142577         375        140625      166849        2921       802.4
    51     -422.6216249036         377        142129      166930        2943       811.9
    52     -422.6216742747         406        164836      166779        2976       833.0
    53     -422.6217332262         389        151321      166843        2995       872.3
    54     -422.6217974644         420        176400      166874        3032       887.7
    55     -422.6218226054         411        168921      166806        3061       908.5
    56     -422.6218489471         366        133956      166819        3087       918.9
    57     -422.6219058596         387        149769      166731        3113       932.0
    58     -422.6219638400         397        157609      166643        3149       944.6
    59     -422.6219833544         396        156816      166832        3176       964.0
    60     -422.6220041762         418        174724      166710        3203       984.8
    61     -422.6220302156         387        149769      166628        3224      1003.1
    62     -422.6220515797         389        151321      166872        3259      1020.7
    63     -422.6220951073         423        178929      166739        3292      1042.5
    64     -422.6221181723         388        150544      166938        3317      1054.8
    65     -422.6221589318         407        165649      166777        3353      1078.7
    66     -422.6221840957         396        156816      166738        3372      1093.6
    67     -422.6221990039         386        148996      166833        3400      1105.8
    68     -422.6222337052         396        156816      166703        3428      1130.9
    69     -422.6222755644         410        168100      166752        3460      1147.8
    70     -422.6222946007         376        141376      166670        3487      1161.9
    71     -422.6223421911         398        158404      166647        3505      1188.4
    72     -422.6223683698         387        149769      166775        3534      1201.3
    73     -422.6223917512         432        186624      166694        3571      1222.7
    74     -422.6224289505         386        148996      166803        3586      1247.7
    75     -422.6224514288         375        140625      166690        3613      1254.2
    76     -422.6225210152         405        164025      166759        3642      1273.1
    77     -422.6225550793         418        174724      166820        3675      1300.2
    78     -422.6225744640         397        157609      166795        3700      1313.5
    79     -422.6225865651         418        174724      166889        3722      1338.7
    80     -422.6226158647         418        174724      167062        3748      1353.5
    81     -422.6226545727         397        157609      166699        3774      1362.6
    82     -422.6226734633         405        164025      166879        3792      1381.1
    83     -422.6226916615         394        155236      166758        3816      1399.0
    84     -422.6227102778         398        158404      166771        3844      1421.0
    85     -422.6227454940         389        151321      166655        3868      1434.1
    86     -422.6227621550         388        150544      166830        3884      1460.1
    87     -422.6227749188         384        147456      166873        3908      1468.0
    88     -422.6228041896         399        159201      166767        3935      1489.2
    89     -422.6228280640         394        155236      166729        3961      1503.9
    90     -422.6228476380         391        152881      166726        3987      1523.2
    91     -422.6228893419         393        154449      166859        4011      1542.8
    92     -422.6229073059         377        142129      166867        4032      1570.0
    93     -422.6229249795         393        154449      166652        4053      1617.3
    94     -422.6229625459         405        164025      166814        4075      1644.7
    95     -422.6229721733         396        156816      166738        4091      1662.1
    96     -422.6229852481         378        142884      166772        4118      1676.6
    97     -422.6229910202         394        155236      166918        4136      1692.2
    98     -422.6230037648         379        143641      166764        4160      1705.9
    99     -422.6230190514         386        148996      166817        4187      1726.1
   100     -422.6230371037         401        160801      166802        4204      1739.3
   101     -422.6230495904         380        144400      166633        4216      1757.3
   102     -422.6230620498         397        157609      166982        4239      1769.9
