# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4086579145         655        429025       96782         255        17.3
     2     -422.4350973761         451        203401      590210         502       306.1
     3     -422.4538549615         457        208849      590442         698       317.0
     4     -422.4741768111         481        231361      590310         873       333.1
     5     -422.4927969760         459        210681      590426        1021       352.6
     6     -422.5040423564         476        226576      590799        1163       369.0
     7     -422.5122192502         472        222784      590096        1299       388.6
     8     -422.5183943614         466        217156      590538        1421       407.7
     9     -422.5261070640         471        221841      591250        1533       429.8
    10     -422.5325244788         499        249001      590958        1660       453.7
    11     -422.5402088629         463        214369      590863        1785       479.9
    12     -422.5477005681         469        219961      591129        1901       510.1
    13     -422.5521066415         500        250000      591309        2001       545.4
    14     -422.5588718838         464        215296      590809        2087       572.2
    15     -422.5635200761         464        215296      591561        2170       600.2
    16     -422.5705340883         490        240100      591461        2262       625.9
    17     -422.5749842467         475        225625      591557        2351       653.5
    18     -422.5785476488         464        215296      591279        2428       685.1
    19     -422.5841549679         469        219961      591800        2518       720.6
    20     -422.5862021036         497        247009      591166        2610       754.3
    21     -422.5871912573         472        222784      591543        2687       781.1
    22     -422.5896734632         468        219024      591959        2761       839.1
    23     -422.5957551723         475        225625      591687        2824       875.7
    24     -422.5965113402         473        223729      591346        2893       912.8
    25     -422.5969366272         474        224676      591571        2979       937.2
    26     -422.5970195429         473        223729      591730        3040       985.1
    27     -422.6025708959         480        230400      591317        3098      1008.2
    28     -422.6034371429         479        229441      591393        3165      1043.2
    29     -422.6054866053         463        214369      591689        3212      1078.9
    30     -422.6077457560         481        231361      591484        3292      1114.9
    31     -422.6077933428         481        231361      591963        3350      1152.0
    32     -422.6078887120         478        228484      591882        3405      1186.4
    33     -422.6080370529         479        229441      591781        3467      1221.2
    34     -422.6090716022         475        225625      591500        3527      1258.5
    35     -422.6111488373         497        247009      591594        3578      1332.5
    36     -422.6119626617         488        238144      591740        3648      1364.5
    37     -422.6120338413         474        224676      591621        3711      1402.2
    38     -422.6121388048         460        211600      591485        3772      1451.2
    39     -422.6128671418         470        220900      591411        3822      1494.2
    40     -422.6129305449         467        218089      591980        3881      1541.8
    41     -422.6130388033         478        228484      592301        3937      1576.7
    42     -422.6131221674         477        227529      591650        3995      1605.2
    43     -422.6142838394         490        240100      591600        4057      1659.4
    44     -422.6151883236         476        226576      591196        4118      1719.7
    45     -422.6152323807         474        224676      591727        4160      1762.4
    46     -422.6159576658         490        240100      591220        4213      1793.5
    47     -422.6160467894         504        254016      591871        4266      1842.7
    48     -422.6161448016         457        208849      592095        4305      1875.8
    49     -422.6165236195         472        222784      591856        4353      1915.2
    50     -422.6165990479         462        213444      591958        4403      1957.1
    51     -422.6166888018         488        238144      591854        4452      2027.4
    52     -422.6167479460         453        205209      591828        4499      2091.2
    53     -422.6167787331         472        222784      592011        4554      2144.1
    54     -422.6168173891         470        220900      591660        4605      2188.7
    55     -422.6168571865         474        224676      591793        4655      2238.3
    56     -422.6170300041         447        199809      591997        4696      2281.0
    57     -422.6170691272         462        213444      591712        4737      2326.3
    58     -422.6171199471         468        219024      591400        4789      2359.9
    59     -422.6171665349         480        230400      591857        4831      2411.1
    60     -422.6172085192         489        239121      591787        4885      2467.0
    61     -422.6172693746         474        224676      591816        4931      2518.9
    62     -422.6173417091         461        212521      591721        4972      2562.5
    63     -422.6174041762         468        219024      591307        5019      2603.1
    64     -422.6174924242         480        230400      591650        5056      2653.5
    65     -422.6175321963         465        216225      591699        5107      2712.0
