# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4126952732         691        477481      105289         288        19.4
     2     -422.4360268189         578        334084     1371585         604       546.1
     3     -422.4528791917         582        338724     1371456         870       571.9
     4     -422.4680648908         581        337561     1371364        1083       599.2
     5     -422.4820392313         593        351649     1371468        1276       626.1
     6     -422.4953956088         564        318096     1372071        1436       647.8
     7     -422.5059115940         567        321489     1371648        1603       684.1
     8     -422.5150657591         579        335241     1372352        1764       718.6
     9     -422.5198102142         574        329476     1372500        1909       752.2
    10     -422.5281469344         581        337561     1372883        2028       793.0
    11     -422.5361424641         574        329476     1373162        2143       828.2
    12     -422.5388226810         564        318096     1372506        2268       864.1
    13     -422.5453145826         563        316969     1373122        2377       902.6
    14     -422.5485351902         576        331776     1373349        2500       935.8
    15     -422.5534942562         537        288369     1372740        2584       979.4
    16     -422.5577868475         561        314721     1372838        2698      1018.5
    17     -422.5592199977         583        339889     1372717        2801      1076.1
    18     -422.5636547686         570        324900     1372700        2918      1137.6
    19     -422.5677179845         603        363609     1372891        3021      1196.8
    20     -422.5715541408         586        343396     1373227        3125      1243.4
    21     -422.5766029314         546        298116     1373254        3204      1297.1
    22     -422.5773620775         605        366025     1373423        3298      1347.4
    23     -422.5825815279         565        319225     1373455        3379      1390.3
    24     -422.5859112625         598        357604     1373007        3472      1441.8
    25     -422.5890440498         584        341056     1373295        3555      1495.0
    26     -422.5901739942         560        313600     1373122        3638      1546.0
    27     -422.5935657156         597        356409     1373447        3721      1609.7
    28     -422.5966627799         561        314721     1373333        3795      1662.8
    29     -422.5983602904         575        330625     1373696        3858      1735.1
    30     -422.6035159500         593        351649     1373676        3929      1782.4
    31     -422.6072817774         563        316969     1373063        3998      1835.6
    32     -422.6084843110         566        320356     1374068        4060      1886.0
    33     -422.6090252672         579        335241     1373234        4131      1945.8
    34     -422.6094233185         551        303601     1373646        4198      1981.4
    35     -422.6115779099         578        334084     1373797        4260      2051.7
    36     -422.6126458673         590        348100     1374216        4341      2108.2
    37     -422.6133603186         583        339889     1373809        4424      2181.0
    38     -422.6146355112         569        323761     1374126        4491      2247.7
    39     -422.6159010750         604        364816     1374429        4566      2310.9
    40     -422.6188482660         586        343396     1373784        4635      2373.1
    41     -422.6189467780         574        329476     1374304        4709      2441.2
    42     -422.6194128860         607        368449     1373467        4778      2494.5
    43     -422.6194883338         599        358801     1373364        4841      2557.1
    44     -422.6195747919         591        349281     1373696        4916      2636.0
    45     -422.6196754807         578        334084     1374142        4988      2702.2
    46     -422.6197475613         594        352836     1373485        5052      2763.2
    47     -422.6198090467         607        368449     1373748        5127      2861.4
    48     -422.6198758701         576        331776     1373446        5203      2913.7
    49     -422.6199592817         561        314721     1373735        5268      3073.1
    50     -422.6200165194         589        346921     1373788        5323      3150.0
    51     -422.6208310277         578        334084     1373747        5383      3236.3
