# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4151312570         691        477481      105430         288        18.7
     2     -422.4387187998         612        374544     1859361         606       679.1
     3     -422.4528412459         608        369664     1859141         857       700.2
     4     -422.4661307697         629        395641     1859255        1098       728.2
     5     -422.4780102625         624        389376     1860040        1304       754.0
     6     -422.4940200160         619        383161     1859269        1498       791.8
     7     -422.5028333746         628        394384     1859836        1668       826.5
     8     -422.5103134024         634        401956     1859980        1855       868.2
     9     -422.5162162320         609        370881     1859900        2026       912.8
    10     -422.5209350462         627        393129     1860064        2196       957.4
    11     -422.5271697464         633        400689     1860092        2347      1003.1
    12     -422.5358807654         628        394384     1859764        2501      1059.2
    13     -422.5417591361         626        391876     1859960        2649      1117.1
    14     -422.5453983845         613        375769     1860672        2787      1183.8
    15     -422.5505487905         651        423801     1860856        2925      1263.7
    16     -422.5581950832         613        375769     1860843        3039      1319.3
    17     -422.5649709816         642        412164     1861347        3164      1387.8
    18     -422.5695381620         612        374544     1860742        3280      1444.8
    19     -422.5718747129         607        368449     1861651        3400      1500.1
    20     -422.5739614632         628        394384     1860968        3529      1578.8
    21     -422.5756419570         631        398161     1861141        3629      1638.1
    22     -422.5771355790         600        360000     1861302        3721      1711.6
    23     -422.5799505481         606        367236     1861740        3817      1770.3
    24     -422.5853038828         598        357604     1861517        3905      1831.7
    25     -422.5880099298         628        394384     1861097        4013      1902.4
    26     -422.5891969519         617        380689     1861121        4107      1963.1
    27     -422.5911686172         621        385641     1861065        4200      2031.7
    28     -422.5921873329         630        396900     1861189        4305      2116.2
    29     -422.5927840569         628        394384     1861494        4399      2247.3
    30     -422.5928937193         621        385641     1861496        4505      2310.1
    31     -422.5969652186         626        391876     1862025        4587      2397.1
    32     -422.5971976010         633        400689     1861281        4675      2473.5
    33     -422.5983543305         601        361201     1861320        4740      2558.6
    34     -422.5996569341         621        385641     1861530        4825      2598.5
    35     -422.6007189158         631        398161     1862263        4927      2694.8
    36     -422.6030190827         612        374544     1861724        5006      2790.5
    37     -422.6036824612         626        391876     1861518        5091      2883.0
    38     -422.6045558955         604        364816     1861461        5172      2955.7
    39     -422.6047073594         644        414736     1861689        5259      3042.5
    40     -422.6061832450         643        413449     1861387        5351      3149.3
    41     -422.6098852609         609        370881     1862343        5435      3244.1
    42     -422.6099531522         613        375769     1861357        5510      3341.6
    43     -422.6106759913         611        373321     1861650        5574      3398.8
    44     -422.6117659370         639        408321     1861155        5640      3580.6
