# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4121258113         684        467856      105457         286        18.2
     2     -422.4426983216         688        473344     2456655         611       821.7
     3     -422.4611448232         685        469225     2457120         877       844.5
     4     -422.4768049566         687        471969     2457054        1112       872.1
     5     -422.4873533741         676        456976     2456938        1322       900.2
     6     -422.4949482123         694        481636     2457554        1527       942.9
     7     -422.5040142173         665        442225     2457281        1709       973.2
     8     -422.5114754625         694        481636     2456666        1883      1014.9
     9     -422.5172443740         688        473344     2457822        2057      1061.7
    10     -422.5255606672         707        499849     2458088        2213      1111.0
    11     -422.5292789556         686        470596     2457657        2369      1161.0
    12     -422.5392689482         686        470596     2457638        2527      1207.5
    13     -422.5453262122         650        422500     2457858        2658      1261.9
    14     -422.5489931751         706        498436     2457495        2788      1315.7
    15     -422.5529318578         667        444889     2458456        2919      1371.8
    16     -422.5588223167         699        488601     2458153        3063      1454.9
    17     -422.5609005472         689        474721     2458453        3181      1526.1
    18     -422.5634149261         694        481636     2458122        3291      1590.9
    19     -422.5665183870         687        471969     2458842        3397      1652.1
    20     -422.5679134095         678        459684     2459081        3520      1716.6
    21     -422.5719589553         669        447561     2458404        3623      1783.2
    22     -422.5789004520         678        459684     2458550        3724      1843.5
    23     -422.5817974128         676        456976     2458862        3835      1907.8
    24     -422.5858219282         664        440896     2458929        3946      1974.2
    25     -422.5867399966         676        456976     2458518        4044      2053.7
    26     -422.5890733291         696        484416     2458968        4152      2122.6
    27     -422.5917619883         699        488601     2458710        4268      2213.4
    28     -422.5920814644         708        501264     2458735        4391      2326.2
    29     -422.5941881801         734        538756     2458526        4508      2438.2
    30     -422.5967955556         670        448900     2459131        4599      2524.3
    31     -422.5991219035         689        474721     2458958        4693      2611.1
    32     -422.6006507994         699        488601     2459749        4796      2693.5
    33     -422.6007523128         709        502681     2458938        4890      2786.3
    34     -422.6028279416         680        462400     2458647        4997      2876.1
    35     -422.6046882109         666        443556     2459089        5075      2972.5
    36     -422.6055715718         697        485809     2458659        5175      3069.4
    37     -422.6089710927         679        461041     2459611        5263      3147.4
    38     -422.6100060253         702        492804     2459165        5357      3251.1
    39     -422.6100879969         685        469225     2459094        5418      3343.2
    40     -422.6102403300         672        451584     2459706        5495      3392.5
    41     -422.6115241330         703        494209     2458904        5574      3509.4
