# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4404843279         410        168100        4636         306         9.8
     2     -422.4599101035         644        414736       63918         401        52.8
     3     -422.4739518775         649        421201       63964         465        59.4
     4     -422.4838451098         699        488601       63917         505        65.3
     5     -422.4968080916         647        418609       63938         564        66.4
     6     -422.5078681361         649        421201       63914         611        73.0
     7     -422.5122774562         672        451584       63950         658        77.5
     8     -422.5219896309         643        413449       63955         696        81.2
     9     -422.5280386660         668        446224       63976         739        87.5
    10     -422.5310083881         698        487204       63855         773        93.2
    11     -422.5385498249         638        407044       63949         813        92.3
    12     -422.5413423960         654        427716       63966         844        99.4
    13     -422.5483126368         664        440896       63921         871       103.2
    14     -422.5500965512         672        451584       64049         905       108.8
    15     -422.5531235368         664        440896       63952         929       111.6
    16     -422.5573145814         654        427716       63972         956       115.2
    17     -422.5595303494         650        422500       63993         981       118.2
    18     -422.5607861913         690        476100       63994        1003       124.1
    19     -422.5628758808         662        438244       64006        1021       127.5
    20     -422.5659719234         649        421201       64023        1048       129.6
    21     -422.5674933050         661        436921       64010        1070       132.2
    22     -422.5681143543         671        450241       63994        1089       136.4
    23     -422.5684546117         670        448900       63997        1121       140.9
    24     -422.5693802859         636        404496       63983        1140       143.2
    25     -422.5711419695         657        431649       64031        1164       146.4
    26     -422.5720849159         679        461041       64012        1182       152.7
    27     -422.5721741003         651        423801       63975        1206       156.4
    28     -422.5757838289         660        435600       63944        1232       162.6
    29     -422.5776714340         643        413449       63969        1254       165.5
    30     -422.5782005702         667        444889       63957        1271       170.9
    31     -422.5794825708         671        450241       63963        1292       172.5
    32     -422.5804167782         655        429025       63959        1312       177.1
    33     -422.5804599562         662        438244       64009        1333       181.1
    34     -422.5805094837         674        454276       63975        1352       187.0
    35     -422.5810841425         682        465124       64010        1374       191.9
    36     -422.5833814172         659        434281       63956        1393       194.5
    37     -422.5855212699         659        434281       64005        1417       196.4
    38     -422.5855490925         672        451584       64020        1437       204.3
    39     -422.5876562307         679        461041       64026        1459       206.0
    40     -422.5876727176         702        492804       63986        1472       213.6
    41     -422.5901809728         661        436921       63939        1493       214.3
    42     -422.5910926734         685        469225       64006        1517       225.3
    43     -422.5945584570         668        446224       64006        1540       232.1
    44     -422.5972704201         673        452929       64026        1551       233.9
    45     -422.5974578954         661        436921       63997        1567       239.0
    46     -422.5975415651         676        456976       64023        1586       242.0
    47     -422.5975813442         654        427716       64001        1608       246.5
    48     -422.5976009795         677        458329       63987        1624       254.2
    49     -422.5978351884         678        459684       63984        1643       257.9
    50     -422.5983652728         657        431649       64049        1657       261.0
    51     -422.5983790862         670        448900       64019        1670       267.8
    52     -422.5983975713         641        410881       63954        1688       263.3
    53     -422.5987662415         650        422500       64014        1713       275.2
    54     -422.5995750287         662        438244       63965        1734       284.9
    55     -422.5996691772         642        412164       64040        1756       282.7
    56     -422.5996731470         672        451584       63991        1770       293.4
    57     -422.5997064353         667        444889       64015        1778       293.7
    58     -422.5998079997         675        455625       63982        1798       298.9
    59     -422.5998143359         667        444889       64022        1808       306.4
    60     -422.5998281791         662        438244       64039        1825       304.7
    61     -422.5998444857         672        451584       64000        1843       309.9
    62     -422.5998831793         648        419904       64039        1859       311.2
    63     -422.5998903138         687        471969       64001        1869       319.3
    64     -422.5999056733         656        430336       64028        1883       324.2
    65     -422.5999091396         631        398161       63990        1897       324.7
    66     -422.6004090465         670        448900       64033        1910       332.1
    67     -422.6004391040         640        409600       64017        1925       334.4
    68     -422.6004640550         635        403225       64007        1937       340.9
    69     -422.6004820405         674        454276       64003        1953       343.2
    70     -422.6004920987         701        491401       64044        1969       353.4
    71     -422.6005427856         672        451584       63956        1982       353.1
    72     -422.6007471075         643        413449       64046        1995       355.1
    73     -422.6012540176         624        389376       64008        2002       359.6
    74     -422.6013312171         661        436921       63970        2012       362.7
    75     -422.6024150702         651        423801       64032        2028       369.4
    76     -422.6024197545         657        431649       64051        2040       371.0
    77     -422.6024544978         659        434281       64029        2056       376.5
    78     -422.6024749500         635        403225       64016        2066       380.6
    79     -422.6051519372         648        419904       64055        2078       385.7
    80     -422.6052591176         644        414736       64038        2089       389.2
    81     -422.6052751809         675        455625       64049        2099       392.9
    82     -422.6052982978         654        427716       63987        2115       395.5
    83     -422.6053076575         666        443556       64038        2125       404.4
    84     -422.6053145769         653        426409       64066        2134       403.3
    85     -422.6053248538         658        432964       63973        2150       409.8
    86     -422.6053463804         649        421201       63984        2161       411.5
    87     -422.6053504073         654        427716       63999        2168       417.2
    88     -422.6053564388         672        451584       64025        2176       421.1
    89     -422.6078207551         618        381924       64047        2184       419.2
    90     -422.6078309901         658        432964       63975        2196       422.0
    91     -422.6078390147         652        425104       63990        2205       426.9
    92     -422.6081040747         659        434281       64001        2212       435.6
    93     -422.6081167073         654        427716       63996        2224       439.2
    94     -422.6081333620         665        442225       63948        2236       440.1
    95     -422.6081378493         672        451584       64052        2245       442.7
    96     -422.6081586592         670        448900       64050        2256       445.0
    97     -422.6081838278         656        430336       63945        2266       452.5
    98     -422.6082000087         661        436921       64025        2272       452.8
    99     -422.6082106566         656        430336       64046        2285       458.4
   100     -422.6090112020         670        448900       64035        2290       459.3
   101     -422.6090190068         667        444889       64001        2309       467.1
   102     -422.6090568294         670        448900       64035        2320       478.2
   103     -422.6090709675         650        422500       64020        2334       484.5
   104     -422.6090791721         644        414736       64024        2350       489.3
   105     -422.6090834803         654        427716       64014        2360       495.0
   106     -422.6090868047         661        436921       64000        2370       497.3
   107     -422.6105232994         667        444889       64052        2381       502.9
   108     -422.6105713077         674        454276       64072        2391       516.0
   109     -422.6105788350         636        404496       64056        2403       513.7
   110     -422.6105821062         642        412164       63997        2412       517.3
   111     -422.6105947625         685        469225       63987        2419       521.9
   112     -422.6106124374         650        422500       64004        2432       525.6
   113     -422.6107073990         663        439569       64051        2444       531.4
   114     -422.6107156769         652        425104       64011        2451       535.9
   115     -422.6107475611         653        426409       64034        2459       538.1
   116     -422.6117724176         682        465124       64029        2472       548.3
   117     -422.6118049132         676        456976       63941        2480       551.6
   118     -422.6118142303         630        396900       63990        2493       548.5
   119     -422.6118513723         661        436921       64065        2502       556.1
   120     -422.6118543535         658        432964       64044        2511       561.1
   121     -422.6118691986         662        438244       64046        2520       564.6
   122     -422.6118838107         634        401956       63996        2534       560.8
   123     -422.6118881073         659        434281       64052        2543       572.9
   124     -422.6118943616         657        431649       64006        2553       581.2
   125     -422.6119021279         674        454276       64034        2559       586.4
   126     -422.6119099699         662        438244       63970        2565       588.8
   127     -422.6119336456         672        451584       64070        2573       593.2
   128     -422.6119373788         699        488601       64047        2577       600.1
   129     -422.6119478536         666        443556       64049        2586       593.3
   130     -422.6119557499         631        398161       64056        2595       591.4
