# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4329389798         390        152100        9197         341         9.8
     2     -422.4602713457         540        291600       82175         462        64.7
     3     -422.4827304658         525        275625       82313         569        70.5
     4     -422.4972440683         518        268324       82352         643        77.4
     5     -422.5152245881         525        275625       82298         717        86.8
     6     -422.5335313278         508        258064       82333         787        92.6
     7     -422.5426390810         546        298116       82349         841       101.5
     8     -422.5482871856         506        256036       82445         896       106.4
     9     -422.5565980085         512        262144       82336         953       113.0
    10     -422.5630608811         504        254016       82406         994       120.5
    11     -422.5677582834         536        287296       82417        1041       128.8
    12     -422.5728580566         517        267289       82353        1094       134.9
    13     -422.5765424600         550        302500       82412        1121       143.3
    14     -422.5785246235         537        288369       82462        1163       148.8
    15     -422.5881526616         537        288369       82478        1204       155.1
    16     -422.5934834401         540        291600       82443        1253       161.5
    17     -422.5958524722         521        271441       82378        1292       171.0
    18     -422.5985861828         511        261121       82445        1330       176.4
    19     -422.6005251278         517        267289       82375        1368       182.9
    20     -422.6026130068         548        300304       82431        1407       195.5
    21     -422.6038035929         480        230400       82558        1448       196.2
    22     -422.6056553258         535        286225       82344        1481       212.8
    23     -422.6060268528         521        271441       82384        1514       219.0
    24     -422.6061168937         535        286225       82463        1545       229.7
    25     -422.6067705057         533        284089       82366        1572       233.9
    26     -422.6075415697         525        275625       82400        1601       240.3
    27     -422.6083227760         527        277729       82478        1639       250.1
    28     -422.6088247600         528        278784       82484        1671       258.8
    29     -422.6089246522         512        262144       82446        1698       262.4
    30     -422.6090467062         516        266256       82372        1730       269.9
    31     -422.6090824129         530        280900       82445        1754       277.3
    32     -422.6091290339         532        283024       82552        1777       287.3
    33     -422.6092222330         495        245025       82347        1807       290.4
    34     -422.6097076647         522        272484       82458        1827       299.4
    35     -422.6097650828         502        252004       82498        1849       302.3
    36     -422.6098237135         519        269361       82318        1874       310.4
    37     -422.6098833055         535        286225       82395        1897       318.9
    38     -422.6099163202         560        313600       82522        1923       327.1
    39     -422.6102214745         541        292681       82440        1949       335.1
    40     -422.6102914043         522        272484       82453        1983       351.8
    41     -422.6105573947         512        262144       82486        2013       358.4
    42     -422.6105782745         531        281961       82408        2033       370.7
    43     -422.6105925558         534        285156       82353        2061       378.0
    44     -422.6115068090         543        294849       82400        2085       386.4
    45     -422.6115570908         529        279841       82359        2119       391.9
    46     -422.6116019082         517        267289       82439        2139       405.4
    47     -422.6116608460         514        264196       82412        2171       413.2
    48     -422.6116806217         522        272484       82458        2190       419.8
    49     -422.6117249935         535        286225       82366        2213       432.8
    50     -422.6117400825         529        279841       82382        2245       440.1
    51     -422.6117750451         549        301401       82361        2270       451.5
    52     -422.6117849817         518        268324       82439        2292       454.1
    53     -422.6118310834         523        273529       82468        2312       465.7
    54     -422.6118831281         557        310249       82532        2331       475.8
    55     -422.6119019791         526        276676       82390        2355       476.7
    56     -422.6120051574         522        272484       82389        2376       485.8
    57     -422.6149132669         532        283024       82454        2399       495.2
    58     -422.6149245232         551        303601       82432        2419       506.1
    59     -422.6149403507         556        309136       82318        2433       516.7
    60     -422.6184139625         515        265225       82428        2453       520.1
    61     -422.6184458586         544        295936       82485        2475       526.5
    62     -422.6193060942         539        290521       82407        2491       536.3
    63     -422.6193383101         528        278784       82461        2512       541.5
    64     -422.6193653888         480        230400       82473        2529       545.1
    65     -422.6193917448         515        265225       82392        2549       559.3
    66     -422.6194038928         521        271441       82428        2572       566.2
    67     -422.6194275217         553        305809       82401        2593       580.5
    68     -422.6194449724         500        250000       82408        2615       583.7
    69     -422.6194586715         551        303601       82426        2630       593.4
    70     -422.6194797337         501        251001       82301        2646       600.3
    71     -422.6195001987         533        284089       82422        2660       605.2
    72     -422.6195488072         554        306916       82330        2677       621.4
    73     -422.6195821997         549        301401       82457        2692       622.6
    74     -422.6196193385         502        252004       82529        2717       625.7
    75     -422.6196444553         531        281961       82540        2736       654.7
    76     -422.6196716719         545        297025       82371        2749       686.6
    77     -422.6196919690         539        290521       82452        2761       692.6
    78     -422.6197139251         512        262144       82501        2776       686.7
    79     -422.6197461207         509        259081       82544        2788       698.1
    80     -422.6197603273         531        281961       82325        2805       713.0
    81     -422.6197676223         515        265225       82497        2823       716.2
    82     -422.6197732732         525        275625       82393        2834       726.1
    83     -422.6197863714         519        269361       82383        2857       727.5
    84     -422.6198109426         520        270400       82394        2877       745.2
    85     -422.6198303103         521        271441       82489        2892       753.8
    86     -422.6198420712         534        285156       82315        2911       761.7
    87     -422.6198528334         513        263169       82395        2926       769.1
    88     -422.6198861269         546        298116       82542        2939       778.4
    89     -422.6198929712         499        249001       82490        2958       776.3
    90     -422.6198989360         552        304704       82494        2970       799.2
    91     -422.6199150064         525        275625       82385        2986       798.5
    92     -422.6199273393         525        275625       82475        2999       810.1
    93     -422.6199497095         537        288369       82587        3014       822.2
    94     -422.6199779264         526        276676       82605        3029       827.8
    95     -422.6200154251         534        285156       82453        3049       839.1
    96     -422.6200413400         549        301401       82480        3063       852.9
    97     -422.6200712403         531        281961       82406        3085       858.3
    98     -422.6200785576         507        257049       82466        3101       871.2
    99     -422.6200932362         540        291600       82382        3120       879.5
   100     -422.6201146977         510        260100       82429        3131       887.7
   101     -422.6201184615         544        295936       82428        3146       897.4
   102     -422.6201390488         512        262144       82561        3163       915.7
   103     -422.6201443708         515        265225       82478        3175       915.5
   104     -422.6201606037         528        278784       82533        3186       920.3
   105     -422.6201708277         529        279841       82474        3203       913.7
   106     -422.6201982268         538        289444       82431        3219       937.1
   107     -422.6202118677         520        270400       82299        3237       946.8
   108     -422.6202202036         534        285156       82452        3250       947.5
   109     -422.6202368890         545        297025       82426        3260       965.1
   110     -422.6202712276         542        293764       82483        3273       966.0
   111     -422.6202807702         548        300304       82415        3288       971.1
   112     -422.6203144643         539        290521       82345        3306       989.6
   113     -422.6203329708         535        286225       82403        3315       996.6
   114     -422.6203690811         511        261121       82494        3329       999.6
   115     -422.6203785478         521        271441       82503        3344      1002.6
   116     -422.6203916990         527        277729       82474        3354      1013.2
   117     -422.6203961287         536        287296       82424        3367      1028.8
   118     -422.6204079858         524        274576       82414        3382      1045.2
   119     -422.6204170453         526        276676       82501        3394      1044.1
   120     -422.6204707399         534        285156       82489        3409      1052.2
   121     -422.6204776353         532        283024       82398        3423      1059.6
   122     -422.6204841316         565        319225       82569        3434      1076.3
   123     -422.6205102318         525        275625       82468        3447      1075.1
   124     -422.6205168122         515        265225       82447        3462      1086.2
   125     -422.6205346251         525        275625       82447        3473      1108.7
   126     -422.6205378619         527        277729       82563        3479      1122.7
   127     -422.6205416367         541        292681       82413        3489      1138.8
   128     -422.6205524601         522        272484       82427        3504      1128.2
   129     -422.6205580517         534        285156       82415        3520      1153.2
   130     -422.6205788372         536        287296       82405        3533      1166.8
   131     -422.6205891203         530        280900       82462        3545      1162.2
   132     -422.6206039261         518        268324       82442        3559      1185.9
   133     -422.6206079171         531        281961       82460        3568      1171.7
   134     -422.6206319093         520        270400       82383        3579      1190.8
