# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4271683762         406        164836       13800         343         9.9
     2     -422.4568432585         468        219024      102883         494        80.6
     3     -422.4758112526         457        208849      102864         599        89.4
     4     -422.4968853774         476        226576      102978         700        97.2
     5     -422.5078631173         467        218089      102932         791       105.4
     6     -422.5240137288         445        198025      102936         870       115.3
     7     -422.5310457934         470        220900      103039         941       125.5
     8     -422.5368251955         455        207025      103016        1008       131.6
     9     -422.5537807477         478        228484      103015        1072       143.3
    10     -422.5614131641         447        199809      102941        1125       150.3
    11     -422.5654841305         470        220900      103009        1186       161.0
    12     -422.5744158225         481        231361      103146        1253       168.7
    13     -422.5762490124         466        217156      102997        1300       180.8
    14     -422.5820092041         473        223729      102972        1362       189.4
    15     -422.5831365268         469        219961      103109        1405       200.5
    16     -422.5895315521         478        228484      103112        1447       208.6
    17     -422.5933046160         472        222784      103117        1487       220.0
    18     -422.5972049176         463        214369      103194        1531       224.7
    19     -422.5983949095         483        233289      103171        1580       237.6
    20     -422.5993084452         482        232324      103092        1608       247.7
    21     -422.6004924428         483        233289      103169        1652       257.7
    22     -422.6040169208         454        206116      103140        1689       265.4
    23     -422.6046325779         451        203401      103093        1740       273.5
    24     -422.6060629001         490        240100      103172        1785       291.5
    25     -422.6067955452         460        211600      103058        1810       300.6
    26     -422.6075681148         454        206116      103161        1844       306.9
    27     -422.6080388908         482        232324      103099        1884       318.8
    28     -422.6080981014         484        234256      103152        1917       328.0
    29     -422.6093327201         467        218089      103133        1950       336.4
    30     -422.6094158434         452        204304      103179        1980       345.7
    31     -422.6094465114         478        228484      103133        2019       355.5
    32     -422.6107210396         465        216225      103017        2046       365.4
    33     -422.6141763287         482        232324      103111        2074       376.6
    34     -422.6145805409         488        238144      103202        2106       386.2
    35     -422.6146292890         454        206116      103191        2136       394.6
    36     -422.6146703210         469        219961      103209        2163       403.7
    37     -422.6147378718         476        226576      103223        2195       414.9
    38     -422.6147607772         462        213444      103221        2220       424.7
    39     -422.6148699108         460        211600      103150        2246       432.8
    40     -422.6149214063         465        216225      103274        2274       440.8
    41     -422.6151932011         484        234256      103067        2302       467.0
    42     -422.6172485719         486        236196      103142        2329       474.6
    43     -422.6173207165         449        201601      103105        2358       483.6
    44     -422.6173339293         453        205209      103173        2379       491.6
    45     -422.6173561136         469        219961      103143        2406       502.3
    46     -422.6174146159         484        234256      103188        2442       513.0
    47     -422.6174332449         448        200704      103203        2473       523.5
    48     -422.6174412847         454        206116      103167        2497       537.7
    49     -422.6174660650         458        209764      103212        2528       545.0
    50     -422.6175087357         459        210681      103228        2548       558.9
    51     -422.6175210318         463        214369      103116        2571       568.5
    52     -422.6175496114         438        191844      103131        2591       575.0
    53     -422.6176111121         464        215296      103140        2611       583.1
    54     -422.6176541289         465        216225      103151        2634       588.0
    55     -422.6176834974         489        239121      103091        2654       605.3
    56     -422.6177094285         442        195364      103060        2680       610.1
    57     -422.6177650436         462        213444      103228        2703       624.0
    58     -422.6177875497         452        204304      103211        2726       634.6
    59     -422.6178362205         450        202500      103300        2752       646.1
    60     -422.6178636556         454        206116      103180        2778       656.9
    61     -422.6179095028         444        197136      103244        2795       663.0
    62     -422.6179410962         448        200704      103233        2817       675.0
    63     -422.6179627866         447        199809      103237        2843       690.4
    64     -422.6179827069         449        201601      102992        2870       694.9
    65     -422.6180171174         469        219961      102990        2894       716.0
    66     -422.6180334545         512        262144      103180        2915       728.5
    67     -422.6180463946         472        222784      103210        2933       735.2
    68     -422.6180627693         465        216225      103042        2952       741.7
    69     -422.6180783087         474        224676      103260        2971       757.1
    70     -422.6181193331         454        206116      103128        2994       761.7
    71     -422.6181314040         462        213444      103028        3008       768.6
    72     -422.6181678187         456        207936      103129        3031       778.3
    73     -422.6181948469         464        215296      103099        3051       794.5
    74     -422.6182286003         451        203401      103150        3072       803.0
    75     -422.6182441533         458        209764      103103        3099       811.7
    76     -422.6182623323         485        235225      103282        3120       831.3
    77     -422.6182911753         481        231361      103060        3149       844.1
    78     -422.6183057121         439        192721      103121        3167       855.0
    79     -422.6183449203         493        243049      103211        3186       874.9
    80     -422.6183853848         469        219961      103260        3196       878.2
    81     -422.6184012721         476        226576      103247        3219       885.8
    82     -422.6184878479         449        201601      103158        3240       897.6
    83     -422.6185654535         470        220900      103117        3257       958.6
    84     -422.6186179533         457        208849      103247        3276       968.0
    85     -422.6214618618         438        191844      103196        3303       976.7
    86     -422.6214804332         463        214369      103051        3327       997.0
    87     -422.6215026975         463        214369      103279        3343      1014.1
    88     -422.6215214962         457        208849      103172        3364      1025.9
    89     -422.6215307175         472        222784      103174        3382      1042.4
    90     -422.6215503013         454        206116      103166        3399      1049.5
    91     -422.6215669108         467        218089      103020        3421      1060.6
    92     -422.6216275124         455        207025      103131        3440      1066.5
    93     -422.6216369675         459        210681      103296        3462      1091.7
    94     -422.6216538741         468        219024      103285        3476      1101.4
    95     -422.6217305098         494        244036      103143        3494      1117.9
    96     -422.6217451829         459        210681      103201        3519      1119.9
    97     -422.6217709902         489        239121      103126        3531      1133.8
    98     -422.6217806993         450        202500      103202        3549      1140.9
    99     -422.6217875036         446        198916      103214        3571      1147.2
   100     -422.6217939386         481        231361      103222        3594      1174.9
   101     -422.6218100832         463        214369      103322        3608      1183.5
   102     -422.6218212969         430        184900      103121        3624      1187.7
   103     -422.6218297950         488        238144      103042        3643      1210.0
   104     -422.6218537297         469        219961      103001        3660      1216.7
   105     -422.6218854929         457        208849      103321        3673      1227.2
   106     -422.6219145445         454        206116      103298        3690      1236.3
   107     -422.6219271863         484        234256      103261        3702      1258.3
   108     -422.6219534539         474        224676      103225        3717      1264.8
   109     -422.6219614941         481        231361      103070        3736      1271.5
   110     -422.6219684299         462        213444      103260        3756      1285.3
   111     -422.6219729681         493        243049      103143        3772      1301.0
   112     -422.6220091157         482        232324      103199        3791      1315.0
   113     -422.6220198226         442        195364      103167        3808      1324.2
   114     -422.6220335909         487        237169      103149        3825      1336.0
   115     -422.6220581324         481        231361      103096        3843      1354.5
   116     -422.6220607284         464        215296      103162        3858      1356.0
   117     -422.6220693555         459        210681      103256        3879      1372.3
