# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4408875873         397        157609       26572         352         9.9
     2     -422.4725763850         395        156025      166416         512       133.1
     3     -422.4995382164         380        144400      166352         650       142.3
     4     -422.5146725759         405        164025      166378         772       152.8
     5     -422.5327040487         414        171396      166453         864       164.4
     6     -422.5446174795         392        153664      166509         957       175.1
     7     -422.5541538509         382        145924      166341        1045       187.2
     8     -422.5711194253         426        181476      166640        1131       202.4
     9     -422.5745495704         409        167281      166594        1204       212.4
    10     -422.5805319493         384        147456      166725        1260       222.3
    11     -422.5874023374         399        159201      166561        1312       233.5
    12     -422.5901852141         401        160801      166666        1366       244.9
    13     -422.5924642746         390        152100      166630        1426       254.2
    14     -422.5954872555         389        151321      166511        1487       267.7
    15     -422.5994104357         381        145161      166700        1543       282.3
    16     -422.6048096047         415        172225      166893        1595       296.9
    17     -422.6078154242         387        149769      166701        1632       306.0
    18     -422.6087325437         387        149769      166796        1677       316.9
    19     -422.6103114660         387        149769      166968        1725       328.2
    20     -422.6114179260         390        152100      166891        1778       342.0
    21     -422.6115125512         393        154449      166897        1820       354.0
    22     -422.6116314185         412        169744      166691        1876       366.6
    23     -422.6118787036         394        155236      166826        1912       380.9
    24     -422.6128158353         381        145161      166727        1951       389.2
    25     -422.6133468588         414        171396      166709        1996       406.8
    26     -422.6137793829         396        156816      166771        2039       416.7
    27     -422.6138845318         400        160000      166713        2072       430.0
    28     -422.6143780167         389        151321      166564        2117       445.8
    29     -422.6152166574         385        148225      166883        2148       456.3
    30     -422.6152658494         395        156025      166877        2183       469.1
    31     -422.6153507052         370        136900      166856        2216       477.2
    32     -422.6188279385         416        173056      166862        2250       494.7
    33     -422.6194454338         402        161604      166668        2288       507.4
    34     -422.6194802702         384        147456      166897        2327       518.0
    35     -422.6197870173         408        166464      166767        2361       533.1
    36     -422.6199114391         400        160000      166901        2398       543.5
    37     -422.6206457823         396        156816      166738        2441       576.1
    38     -422.6207448215         395        156025      167049        2473       603.9
    39     -422.6211609949         389        151321      166900        2513       600.5
    40     -422.6212114136         400        160000      166790        2561       634.8
    41     -422.6212791555         395        156025      166863        2594       657.6
    42     -422.6213094920         386        148996      166588        2624       666.7
    43     -422.6213447910         390        152100      166871        2658       679.8
    44     -422.6214362931         393        154449      166639        2712       700.9
    45     -422.6214747126         392        153664      166572        2747       723.7
    46     -422.6215809240         409        167281      166736        2787       744.6
    47     -422.6216493654         394        155236      166836        2824       764.1
    48     -422.6217042803         401        160801      166844        2863       802.7
    49     -422.6217306506         405        164025      166822        2888       826.7
    50     -422.6217799722         415        172225      166822        2922       839.9
    51     -422.6218162348         401        160801      166704        2950       849.1
    52     -422.6218505961         397        157609      166879        2977       863.9
    53     -422.6218710575         397        157609      166853        3012       881.0
    54     -422.6219077859         403        162409      166783        3047       906.5
    55     -422.6219336061         388        150544      166694        3078       924.5
    56     -422.6219602456         409        167281      166879        3115       950.4
    57     -422.6219828714         391        152881      166811        3137       964.4
    58     -422.6220149028         366        133956      166843        3166       979.6
    59     -422.6220345766         380        144400      166719        3190       996.5
    60     -422.6220618550         399        159201      166768        3217      1009.6
    61     -422.6220960704         382        145924      166622        3248      1026.7
    62     -422.6221105167         390        152100      166839        3274      1041.7
    63     -422.6221439147         412        169744      166749        3298      1053.6
    64     -422.6221662472         404        163216      166733        3326      1077.8
    65     -422.6221863407         409        167281      166737        3351      1099.7
    66     -422.6222168563         392        153664      166630        3381      1105.8
    67     -422.6222406389         415        172225      166806        3404      1132.6
    68     -422.6222776451         398        158404      166841        3431      1139.1
    69     -422.6222897217         407        165649      166949        3456      1164.3
    70     -422.6223123851         410        168100      166851        3485      1179.4
    71     -422.6223243344         384        147456      166817        3506      1191.5
    72     -422.6223509461         399        159201      166937        3529      1209.3
    73     -422.6223728358         380        144400      166888        3546      1217.4
    74     -422.6223902380         404        163216      166875        3565      1237.8
    75     -422.6224147265         371        137641      166747        3590      1250.5
    76     -422.6224320734         409        167281      166877        3619      1269.3
    77     -422.6224525187         428        183184      166688        3636      1293.3
    78     -422.6224736341         394        155236      167076        3658      1293.6
    79     -422.6224863297         401        160801      166497        3678      1316.9
    80     -422.6225013093         402        161604      166844        3703      1331.3
    81     -422.6225288143         385        148225      166855        3741      1347.7
    82     -422.6225458777         403        162409      166860        3761      1373.6
    83     -422.6225679806         413        170569      166568        3788      1390.6
    84     -422.6225853813         382        145924      166826        3813      1406.3
    85     -422.6226016744         392        153664      166744        3835      1427.9
    86     -422.6226458528         406        164836      166797        3865      1450.4
    87     -422.6226820649         386        148996      166834        3887      1471.7
    88     -422.6227223036         374        139876      166698        3906      1480.3
    89     -422.6227461109         393        154449      166768        3929      1501.7
    90     -422.6227698058         388        150544      166742        3950      1531.7
    91     -422.6227996850         385        148225      166743        3975      1568.1
    92     -422.6228167330         410        168100      166592        3992      1591.8
    93     -422.6228438401         404        163216      166828        4022      1615.4
    94     -422.6228577837         410        168100      166693        4049      1634.9
    95     -422.6228742511         391        152881      166767        4069      1657.6
    96     -422.6228919246         426        181476      167020        4085      1665.8
    97     -422.6229036109         396        156816      166897        4105      1684.7
