# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4206663743         488        238144       51657         380        12.6
     2     -422.4429252747         528        278784      911293         654       416.7
     3     -422.4603758929         518        268324      911672         864       434.9
     4     -422.4745717442         522        272484      910958        1040       452.9
     5     -422.4916638780         523        273529      911422        1220       477.8
     6     -422.5041441987         516        266256      911791        1394       503.1
     7     -422.5171508100         534        285156      911505        1550       533.4
     8     -422.5258804402         524        274576      912174        1677       562.9
     9     -422.5333345765         517        267289      912580        1809       593.9
    10     -422.5388541397         497        247009      911926        1924       625.2
    11     -422.5484622740         517        267289      911734        2038       654.2
    12     -422.5525520390         525        275625      911907        2162       690.5
    13     -422.5553130420         530        280900      912196        2279       728.4
    14     -422.5613704540         521        271441      912517        2386       763.6
    15     -422.5676270826         521        271441      912732        2487       800.6
    16     -422.5713891409         539        290521      912236        2590       837.5
    17     -422.5739648340         536        287296      912706        2685       879.3
    18     -422.5795462741         538        289444      912869        2789       912.0
    19     -422.5843664116         524        274576      912524        2877       954.8
    20     -422.5880141914         521        271441      912970        2955      1009.3
    21     -422.5893051023         518        268324      912480        3046      1062.8
    22     -422.5905669540         535        286225      912342        3123      1111.3
    23     -422.5918144902         513        263169      912546        3203      1156.3
    24     -422.5947222447         511        261121      912603        3290      1195.5
    25     -422.5976322729         514        264196      912735        3372      1245.2
    26     -422.5992815097         518        268324      912501        3445      1294.5
    27     -422.6024920164         528        278784      912434        3519      1350.0
    28     -422.6048035007         535        286225      912462        3600      1392.9
    29     -422.6068863878         529        279841      912732        3685      1437.3
    30     -422.6074126839         503        253009      912659        3754      1492.4
    31     -422.6093298802         530        280900      912864        3826      1546.4
    32     -422.6109655224         511        261121      913298        3896      1592.4
    33     -422.6110299876         515        265225      913145        3961      1625.4
    34     -422.6119691688         517        267289      912963        4023      1678.9
    35     -422.6130524745         511        261121      913092        4090      1765.7
    36     -422.6131652848         529        279841      913045        4145      1815.9
    37     -422.6132243264         531        281961      912785        4217      1875.5
    38     -422.6133149163         507        257049      913015        4272      1911.1
    39     -422.6134072891         516        266256      912892        4327      1960.3
    40     -422.6135100887         509        259081      912938        4390      2008.6
    41     -422.6136151888         514        264196      912414        4452      2067.9
    42     -422.6137528527         522        272484      913227        4515      2115.1
    43     -422.6138106017         528        278784      913331        4577      2179.6
    44     -422.6139228951         521        271441      913357        4638      2231.3
    45     -422.6140055229         527        277729      912684        4699      2280.3
    46     -422.6140611652         542        293764      913580        4759      2341.9
