# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4195077698         507        257049       56000         388        14.3
     2     -422.4435821995         589        346921     1371395         712       550.1
     3     -422.4557799972         574        329476     1371511         927       573.6
     4     -422.4679347403         586        343396     1372158        1148       601.1
     5     -422.4790974338         552        304704     1371581        1316       625.7
     6     -422.4909057862         557        310249     1372225        1470       656.0
     7     -422.4972933249         581        337561     1372133        1642       681.8
     8     -422.5059164309         603        363609     1372208        1798       716.4
     9     -422.5147884852         602        362404     1372492        1962       756.5
    10     -422.5239655645         603        363609     1372611        2097       795.7
    11     -422.5314418380         562        315844     1372726        2208       839.4
    12     -422.5382289919         580        336400     1372817        2329       874.9
    13     -422.5464092878         581        337561     1372708        2433       915.6
    14     -422.5524515553         596        355216     1372601        2558       952.5
    15     -422.5615393586         596        355216     1373078        2667      1007.3
    16     -422.5663024506         594        352836     1373320        2792      1046.8
    17     -422.5677906939         573        328329     1373235        2890      1099.5
    18     -422.5736989630         598        357604     1372920        2999      1140.6
    19     -422.5787568574         611        373321     1373298        3098      1237.4
    20     -422.5816312922         562        315844     1373242        3179      1267.2
    21     -422.5867647685         612        374544     1373373        3279      1329.8
    22     -422.5876175167         572        327184     1373195        3374      1384.4
    23     -422.5903429719         574        329476     1373301        3466      1443.8
    24     -422.5910030180         583        339889     1373726        3545      1491.1
    25     -422.5918471153         575        330625     1373580        3631      1550.9
    26     -422.5942010951         591        349281     1373943        3718      1593.3
    27     -422.5962714968         599        358801     1373488        3788      1650.2
    28     -422.5963787623         565        319225     1373504        3863      1689.7
    29     -422.5971560140         591        349281     1373502        3947      1760.9
    30     -422.5981249153         596        355216     1372988        4031      1851.5
    31     -422.5983770863         585        342225     1373558        4106      1901.8
    32     -422.5993345038         569        323761     1373217        4171      1961.0
    33     -422.6000210634         560        313600     1374154        4241      2015.2
    34     -422.6001517687         582        338724     1373383        4310      2080.7
    35     -422.6002088529         554        306916     1374223        4376      2122.3
    36     -422.6006304807         583        339889     1373361        4441      2192.8
    37     -422.6012764832         588        345744     1373226        4505      2236.4
    38     -422.6031360656         569        323761     1373311        4568      2299.6
    39     -422.6055469175         592        350464     1373763        4655      2369.3
    40     -422.6068524908         584        341056     1373880        4713      2441.6
