# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4201641597         513        263169       56141         396        14.1
     2     -422.4541146752         617        380689     1859379         703       689.4
     3     -422.4743290522         628        394384     1859440         949       716.7
     4     -422.4874369611         640        409600     1860230        1173       742.6
     5     -422.4952460485         610        372100     1859823        1374       775.6
     6     -422.5058288218         664        440896     1859942        1597       811.6
     7     -422.5137120955         611        373321     1860244        1770       847.8
     8     -422.5235797124         620        384400     1860514        1932       889.3
     9     -422.5317868785         605        366025     1860833        2083       936.3
    10     -422.5424206744         634        401956     1860826        2249       981.8
    11     -422.5498755343         612        374544     1860908        2375      1030.6
    12     -422.5545486317         646        417316     1860964        2517      1080.2
    13     -422.5588193739         628        394384     1860887        2654      1127.0
    14     -422.5666336112         619        383161     1861313        2789      1179.5
    15     -422.5725994179         618        381924     1861223        2919      1254.8
    16     -422.5759720051         627        393129     1861442        3050      1293.0
    17     -422.5829922351         593        351649     1861116        3151      1393.2
    18     -422.5867225079         602        362404     1861218        3268      1444.0
    19     -422.5893877004         624        389376     1861322        3382      1512.5
    20     -422.5911552359         615        378225     1860826        3483      1573.4
    21     -422.5926712753         619        383161     1861158        3592      1634.4
    22     -422.5961803252         600        360000     1860772        3684      1702.9
    23     -422.5986297289         641        410881     1861355        3802      1776.3
    24     -422.6022123953         621        385641     1861790        3891      1840.9
    25     -422.6060278668         638        407044     1861950        3987      1916.1
    26     -422.6088012492         614        376996     1861817        4075      1972.2
    27     -422.6093243436         626        391876     1861417        4174      2083.8
    28     -422.6097754984         610        372100     1861782        4258      2149.7
    29     -422.6104660984         593        351649     1862049        4338      2214.2
    30     -422.6129044485         616        379456     1861859        4416      2290.2
    31     -422.6137426463         606        367236     1862115        4492      2348.3
    32     -422.6148691146         650        422500     1862153        4591      2426.8
    33     -422.6150414692         638        407044     1862282        4680      2513.0
    34     -422.6168075732         629        395641     1861574        4776      2601.2
    35     -422.6173680424         631        398161     1862498        4863      2683.1
