# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -422.4153366607         493        243049       56168         367        13.1
     2     -422.4425141137         676        456976     2455971         643       820.5
     3     -422.4553158835         661        436921     2456610         893       838.6
     4     -422.4777855891         687        471969     2457308        1132       871.8
     5     -422.4947047809         701        491401     2457193        1354       908.7
     6     -422.5065325501         700        490000     2457320        1567       948.1
     7     -422.5156047529         675        455625     2457070        1756       988.9
     8     -422.5226497265         660        435600     2458061        1917      1024.5
     9     -422.5256002163         673        452929     2457867        2074      1078.4
    10     -422.5309522272         659        434281     2457641        2223      1115.8
    11     -422.5331407235         667        444889     2457770        2363      1157.7
    12     -422.5364817063         674        454276     2457945        2522      1208.5
    13     -422.5449176765         698        487204     2458819        2674      1263.7
    14     -422.5501312474         656        430336     2458240        2803      1318.2
    15     -422.5527956299         684        467856     2458239        2938      1374.3
    16     -422.5553192469         699        488601     2458536        3071      1430.9
    17     -422.5603126670         680        462400     2457781        3188      1494.0
    18     -422.5634264701         698        487204     2458564        3322      1551.6
    19     -422.5655815523         686        470596     2458602        3446      1663.5
    20     -422.5705422490         663        439569     2458615        3577      1733.5
    21     -422.5758807545         686        470596     2458358        3681      1807.5
    22     -422.5780664546         693        480249     2458877        3798      1873.4
    23     -422.5801887743         667        444889     2458536        3899      1938.0
    24     -422.5848907077         706        498436     2458479        4001      2009.6
    25     -422.5868185646         685        469225     2458856        4092      2083.3
    26     -422.5876907289         701        491401     2458743        4218      2158.5
    27     -422.5934275407         652        425104     2459354        4305      2238.2
    28     -422.5935503672         700        490000     2458713        4402      2307.3
    29     -422.5947384839         701        491401     2458790        4495      2377.4
    30     -422.5966148854         663        439569     2459714        4596      2499.1
    31     -422.5977942081         686        470596     2459204        4688      2586.9
    32     -422.5978783524         662        438244     2458380        4784      2655.6
