# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1     -407.5614801342          12           144           6           1         5.9
     2     -418.6804486550        1000       1000000      100000           1        76.2
     3     -420.6104298909         995        990025      100000          80        71.1
     4     -420.9109691039         998        996004       99999         215        87.5
     5     -422.3887781382         977        954529       99970         188        84.0
     6     -422.3923485810         995        990025       99997         308        80.9
     7     -422.4016314419         994        988036       99997         428        86.9
     8     -422.4083202306         995        990025       99998         547        84.7
     9     -422.4160049071         995        990025       99998         671        95.8
    10     -422.4203656061         995        990025       99997         777       108.1
    11     -422.4266217735         995        990025       99998         883       122.2
    12     -422.4329340299         994        988036       99999         977       134.4
    13     -422.4373803856         995        990025       99998        1072       148.4
    14     -422.4410817872         997        994009       99998        1171       162.0
    15     -422.4439820423         998        996004       99997        1277       178.2
    16     -422.4497770554         996        992016       99998        1374       197.8
    17     -422.4536782890         994        988036       99998        1470       215.5
    18     -422.4562491859         992        984064       99999        1557       237.3
    19     -422.4608105506         993        986049       99998        1668       257.9
    20     -422.4624601586         996        992016       99998        1785       282.4
    21     -422.4626482267         994        988036       99997        1878       307.5
    22     -422.4637408354         995        990025       99998        1968       330.2
    23     -422.4641725918         995        990025       99998        2061       354.1
    24     -422.4652334227         997        994009       99999        2159       382.2
    25     -422.4669251405         996        992016       99997        2246       408.4
    26     -422.4675283571         995        990025       99998        2332       435.8
    27     -422.4691125590         998        996004       99999        2418       471.3
    28     -422.4695355282         996        992016       99999        2504       497.5
    29     -422.4698942862         990        980100       99998        2591       531.0
    30     -422.4724325281         995        990025       99998        2677       559.0
    31     -422.4733307413         997        994009       99998        2749       589.7
    32     -422.4734116795         994        988036       99999        2834       621.9
    33     -422.4747251998         987        974169       99996        2913       649.7
    34     -422.4753780555         995        990025       99999        2981       688.0
    35     -422.4755251098         997        994009       99997        3047       718.1
    36     -422.4757468058         998        996004       99997        3128       747.3
    37     -422.4774737543         995        990025       99998        3220       782.6
    38     -422.4778091693         992        984064       99997        3305       830.7
    39     -422.4787013436         996        992016       99998        3393       877.1
    40     -422.4795887428         998        996004       99999        3471       916.9
    41     -422.4799283878         995        990025       99998        3554       957.5
    42     -422.4800041012         991        982081       99999        3634      1002.4
    43     -422.4808320638         998        996004       99999        3711      1048.7
    44     -422.4810549957         990        980100       99997        3794      1086.4
    45     -422.4811503651         994        988036       99999        3856      1131.7
    46     -422.4812569161         991        982081       99996        3925      1169.0
    47     -422.4815972674         996        992016       99998        3997      1243.0
    48     -422.4817015533         993        986049       99998        4064      1288.9
    49     -422.4829929669         994        988036       99998        4147      1337.5
    50     -422.4854042824         994        988036       99998        4239      1389.4
    51     -422.4855578597         996        992016       99998        4311      1448.8
    52     -422.4860569494         991        982081       99997        4383      1500.0
    53     -422.4874540226         996        992016       99997        4437      1550.8
    54     -422.4882652871         993        986049       99997        4525      1594.8
    55     -422.4889095968         994        988036       99998        4598      1650.7
    56     -422.4891649307         996        992016       99999        4665      1707.0
    57     -422.4910134939         997        994009       99998        4728      1754.6
    58     -422.4915189422         995        990025       99999        4773      1804.2
    59     -422.4934964521         996        992016       99998        4845      1852.0
    60     -422.4943014621         995        990025       99997        4920      1910.7
    61     -422.4950226051         993        986049       99998        4986      1975.7
    62     -422.4959628426         996        992016       99999        5058      2032.1
    63     -422.4962393757         992        984064       99999        5120      2086.8
    64     -422.4963046479         993        986049       99999        5183      2146.4
    65     -422.4963562906         993        986049       99998        5251      2192.0
    66     -422.4964176369         996        992016       99998        5327      2262.6
    67     -422.4966465610         994        988036       99995        5387      2333.7
    68     -422.4974726911         994        988036       99999        5458      2388.3
