!         ntdets      e_asci (E_h)       e_pt2 (E_h)
            1000        -261.81391        -261.93712
            2000        -261.83917        -261.93742
            4000        -261.86660        -261.93963
            8000        -261.89265        -261.94247
           16000        -261.91156        -261.94473
           32000        -261.92115        -261.94573
           64000        -261.92569        -261.94620
          128000        -261.92891        -261.94652
          256000        -261.93167        -261.94681
          512000        -261.93426           0.00000
         1024000        -261.93679           0.00000
         2048000        -261.93929           0.00000
