# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   389     -261.9161453870         237         56169       55971        3115       695.2
   390     -261.9161473597         234         54756       56183        3119       697.9
   391     -261.9161495366         227         51529       56227        3123       699.9
   392     -261.9161527714         238         56644       56011        3127       701.7
   393     -261.9161686750         234         54756       56256        3130       701.7
   394     -261.9161687751         221         48841       56232        3133       703.2
   395     -261.9161774146         226         51076       56067        3135       704.0
   396     -261.9161832051         228         51984       56157        3139       707.0
   397     -261.9162413126         239         57121       56146        3144       711.3
   398     -261.9164187871         226         51076       56120        3146       709.0
   399     -261.9164287096         235         55225       56097        3149       711.9
   400     -261.9164434849         227         51529       56238        3151       716.1
   401     -261.9164888772         234         54756       56028        3154       715.5
   402     -261.9164928598         238         56644       56079        3157       717.6
   403     -261.9165094620         224         50176       56186        3160       716.3
   404     -261.9165096354         242         58564       56209        3160       722.9
   405     -261.9165225250         229         52441       56177        3165       719.5
   406     -261.9165226750         232         53824       56056        3167       723.9
   407     -261.9165271163         229         52441       56138        3169       723.7
   408     -261.9165272664         230         52900       56092        3171       724.7
   409     -261.9165274866         233         54289       56150        3173       723.7
   410     -261.9165475619         238         56644       56075        3176       728.4
   411     -261.9165476418         232         53824       56214        3178       728.5
   412     -261.9165528977         235         55225       56075        3181       727.9
   413     -261.9165537947         229         52441       56080        3184       728.6
   414     -261.9165591698         231         53361       56257        3189       733.2
   415     -261.9165873588         237         56169       56175        3195       733.3
   416     -261.9165887375         225         50625       56116        3197       735.0
   417     -261.9165997788         218         47524       56387        3198       737.2
   418     -261.9166019690         224         50176       56091        3200       738.0
   419     -261.9166247281         236         55696       56170        3204       741.4
   420     -261.9166294567         225         50625       56061        3207       741.5
   421     -261.9166295392         226         51076       56167        3208       744.8
   422     -261.9166345011         234         54756       56135        3209       744.7
   423     -261.9166355734         227         51529       56068        3211       745.9
   424     -261.9167791162         230         52900       56156        3212       746.3
   425     -261.9167792370         236         55696       56194        3215       749.3
   426     -261.9168396910         238         56644       56113        3217       752.3
   427     -261.9168776518         228         51984       56181        3220       749.4
   428     -261.9170204758         225         50625       56142        3223       764.9
   429     -261.9170234243         228         51984       56193        3225       775.7
   430     -261.9170599576         230         52900       56122        3229       772.7
   431     -261.9170748689         235         55225       56098        3231       778.5
   432     -261.9170754499         231         53361       56005        3233       779.6
   433     -261.9170813602         247         61009       56100        3236       780.7
   434     -261.9172141858         230         52900       56086        3237       783.8
   435     -261.9172143232         246         60516       56021        3238       779.9
   436     -261.9172233366         227         51529       56090        3242       784.7
   437     -261.9172286672         230         52900       56012        3245       782.5
   438     -261.9172623447         236         55696       56106        3246       785.1
   439     -261.9172677650         245         60025       56227        3250       788.9
   440     -261.9173447773         227         51529       56045        3252       787.8
   441     -261.9173499977         236         55696       56233        3255       790.1
   442     -261.9173517377         223         49729       56167        3258       792.2
   443     -261.9173851149         228         51984       56021        3259       792.6
   444     -261.9174251538         241         58081       56047        3260       793.6
   445     -261.9174251925         235         55225       55999        3260       793.1
   446     -261.9174379511         232         53824       55991        3263       794.4
   447     -261.9174401648         228         51984       56139        3265       795.4
   448     -261.9174416052         219         47961       56148        3270       797.5
   449     -261.9174416277         245         60025       56193        3270       801.8
   450     -261.9174464373         239         57121       55898        3274       800.7
   451     -261.9174533559         258         66564       56142        3276       805.6
   452     -261.9174540045         226         51076       56048        3278       805.1
   453     -261.9174542368         220         48400       56145        3278       805.0
   454     -261.9174549769         230         52900       56115        3281       804.3
   455     -261.9174552978         243         59049       55941        3284       809.4
   456     -261.9174627337         224         50176       56211        3288       808.0
   457     -261.9174629195         237         56169       56254        3289       812.0
   458     -261.9174628873         236         55696       56182        3291       810.4
   459     -261.9174631147         238         56644       56170        3295       814.0
   460     -261.9174631484         236         55696       55996        3296       814.6
   461     -261.9174691058         243         59049       56152        3297       814.9
   462     -261.9174708803         232         53824       56197        3301       816.6
   463     -261.9174711874         225         50625       56068        3305       817.5
   464     -261.9174712463         227         51529       56080        3308       819.4
   465     -261.9174712815         237         56169       56140        3310       816.6
   466     -261.9175038057         244         59536       56044        3312       825.5
   467     -261.9175143580         236         55696       56153        3314       824.7
   468     -261.9175173168         225         50625       56150        3316       824.8
   469     -261.9175209937         236         55696       56061        3319       824.6
   470     -261.9175258171         242         58564       56216        3323       831.2
   471     -261.9175509644         241         58081       56029        3326       831.6
   472     -261.9175511663         238         56644       55991        3329       832.2
   473     -261.9175554910         239         57121       56237        3331       837.7
   474     -261.9175925175         247         61009       56165        3335       836.6
   475     -261.9175939648         221         48841       56133        3336       835.5
   476     -261.9175974262         228         51984       56067        3338       840.8
   477     -261.9176012108         234         54756       56060        3340       838.4
   478     -261.9176012858         223         49729       56100        3341       839.0
   479     -261.9176028479         231         53361       56071        3344       836.8
   480     -261.9176030642         233         54289       56192        3347       840.2
   481     -261.9176472436         236         55696       56084        3351       843.6
   482     -261.9176472685         224         50176       56117        3354       841.4
   483     -261.9176478664         232         53824       56052        3357       846.8
   484     -261.9176481113         231         53361       55991        3359       844.6
   485     -261.9176603388         236         55696       56309        3362       849.8
   486     -261.9176789625         211         44521       56205        3363       848.4
   487     -261.9176790644         241         58081       56084        3365       850.2
   488     -261.9176798932         248         61504       56226        3367       852.9
   489     -261.9176801236         237         56169       56158        3368       853.5
   490     -261.9176835971         246         60516       56148        3370       855.1
   491     -261.9176887767         239         57121       56189        3372       852.4
   492     -261.9177272762         232         53824       56092        3377       858.2
   493     -261.9177275344         241         58081       56124        3378       856.2
   494     -261.9177277269         218         47524       56194        3379       853.7
   495     -261.9177280875         216         46656       55974        3383       857.8
   496     -261.9177281281         216         46656       56124        3384       859.7
   497     -261.9177286274         233         54289       56177        3387       862.3
   498     -261.9177286523         233         54289       56047        3389       864.0
   499     -261.9177292030         216         46656       56114        3393       864.4
   500     -261.9177302659         239         57121       56131        3394       866.1
   501     -261.9177307464         219         47961       56079        3396       868.7
   502     -261.9177308665         242         58564       56110        3397       869.2
   503     -261.9177311295         233         54289       56086        3399       868.5
   504     -261.9177432842         231         53361       56283        3402       871.1
   505     -261.9177434081         238         56644       56320        3404       873.2
   506     -261.9177512470         228         51984       56136        3409       877.8
   507     -261.9177551852         233         54289       56153        3412       877.2
   508     -261.9177563373         248         61504       55927        3415       879.9
