# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   397     -261.9160458525         237         56169       71610        3222       765.9
   398     -261.9160472525         225         50625       71886        3226       767.4
   399     -261.9160484438         243         59049       71963        3229       767.3
   400     -261.9160686980         238         56644       71876        3231       767.3
   401     -261.9160857839         236         55696       71852        3231       767.1
   402     -261.9160872370         235         55225       71680        3233       769.2
   403     -261.9161600252         238         56644       71787        3236       773.4
   404     -261.9161612580         235         55225       71778        3238       773.0
   405     -261.9161615605         233         54289       71819        3240       776.4
   406     -261.9161662070         230         52900       71623        3243       774.9
   407     -261.9161733699         247         61009       71935        3246       781.9
   408     -261.9161933560         236         55696       71912        3248       781.0
   409     -261.9161934275         247         61009       71928        3252       781.6
   410     -261.9162206413         242         58564       71882        3256       779.5
   411     -261.9162405852         227         51529       71838        3259       784.5
   412     -261.9162971076         236         55696       71747        3262       784.0
   413     -261.9162975212         220         48400       71854        3264       784.9
   414     -261.9162975732         240         57600       71780        3265       787.3
   415     -261.9163040446         223         49729       71702        3267       784.7
   416     -261.9163145741         230         52900       71785        3269       787.8
   417     -261.9163262678         235         55225       71965        3271       791.8
   418     -261.9163273900         265         70225       71780        3274       792.7
   419     -261.9163274024         243         59049       71786        3275       790.7
   420     -261.9163276316         246         60516       71655        3277       794.7
   421     -261.9163429439         234         54756       71894        3281       793.5
   422     -261.9163430992         256         65536       71727        3282       793.5
   423     -261.9163440030         242         58564       71866        3284       796.8
   424     -261.9163519695         236         55696       72039        3286       796.3
   425     -261.9163524147         239         57121       71608        3287       798.0
   426     -261.9163562593         244         59536       71486        3292       801.4
   427     -261.9163694440         234         54756       71774        3293       803.6
   428     -261.9163703401         239         57121       71793        3295       804.9
   429     -261.9163716985         228         51984       71764        3298       804.8
   430     -261.9163720140         237         56169       71850        3299       805.6
   431     -261.9163747616         243         59049       71812        3301       804.8
   432     -261.9163910227         238         56644       71672        3305       806.6
   433     -261.9163913390         248         61504       71912        3309       808.2
   434     -261.9163987980         247         61009       71783        3313       810.5
   435     -261.9163988723         241         58081       71591        3313       812.2
   436     -261.9164047600         236         55696       71772        3317       811.3
   437     -261.9164182762         236         55696       71730        3322       814.4
   438     -261.9164228721         250         62500       71804        3326       819.7
   439     -261.9164230268         240         57600       71822        3328       820.8
   440     -261.9164241909         235         55225       71921        3329       819.9
   441     -261.9164279114         227         51529       71939        3333       824.3
   442     -261.9164290761         231         53361       71763        3336       823.4
   443     -261.9164419363         237         56169       71872        3340       827.2
   444     -261.9164997858         233         54289       71873        3345       826.4
   445     -261.9165069539         228         51984       72004        3347       828.3
   446     -261.9165074492         237         56169       71931        3349       829.5
   447     -261.9165089246         246         60516       71754        3352       831.3
   448     -261.9165095983         235         55225       71956        3354       834.4
   449     -261.9165097074         242         58564       71750        3354       835.1
   450     -261.9165099568         240         57600       72004        3357       837.5
   451     -261.9165252986         244         59536       71854        3359       835.9
   452     -261.9165282062         246         60516       71847        3363       837.2
   453     -261.9165593822         239         57121       71809        3368       835.9
   454     -261.9165595969         236         55696       71670        3370       841.1
   455     -261.9165823320         243         59049       71959        3373       843.2
   456     -261.9165824894         240         57600       71711        3374       845.6
   457     -261.9165831375         229         52441       71697        3375       843.8
   458     -261.9165844504         237         56169       71860        3379       845.0
   459     -261.9165851785         253         64009       71883        3382       851.1
   460     -261.9166454219         249         62001       71683        3384       851.5
   461     -261.9166541838         240         57600       71652        3387       850.2
   462     -261.9166542413         257         66049       71826        3388       851.5
   463     -261.9166542679         228         51984       71707        3388       847.2
   464     -261.9166580854         241         58081       71685        3391       851.2
   465     -261.9166897136         241         58081       71838        3392       856.1
   466     -261.9167035660         234         54756       71925        3395       853.1
   467     -261.9167047820         229         52441       71906        3399       857.1
   468     -261.9167077237         243         59049       71664        3401       859.0
   469     -261.9167526487         244         59536       71864        3405       863.1
   470     -261.9167532344         248         61504       71958        3408       863.1
   471     -261.9167557516         233         54289       71970        3412       865.4
   472     -261.9167560962         258         66564       71887        3413       866.9
   473     -261.9167705170         237         56169       71835        3418       868.7
   474     -261.9168264361         230         52900       71873        3421       868.3
   475     -261.9168302175         253         64009       71727        3423       872.7
   476     -261.9168308774         231         53361       71876        3425       870.4
   477     -261.9168314808         237         56169       71917        3428       871.6
   478     -261.9168318597         223         49729       71791        3429       875.8
   479     -261.9168539691         251         63001       71767        3431       875.9
   480     -261.9168593892         250         62500       71884        3435       878.6
   481     -261.9168605997         248         61504       71821        3436       878.5
   482     -261.9168606229         240         57600       71744        3437       877.7
   483     -261.9168610144         240         57600       71935        3438       879.9
   484     -261.9168610654         256         65536       71812        3438       881.8
   485     -261.9168617089         257         66049       71551        3441       884.8
   486     -261.9168648356         260         67600       71851        3444       880.6
   487     -261.9168652803         243         59049       72126        3446       884.1
   488     -261.9168657585         236         55696       71709        3448       883.6
   489     -261.9168803335         225         50625       71976        3453       884.0
   490     -261.9169776364         240         57600       71803        3457       890.6
   491     -261.9169789505         243         59049       71761        3460       888.8
   492     -261.9169851852         237         56169       71809        3465       891.2
   493     -261.9169859422         249         62001       71809        3467       892.0
   494     -261.9169867962         247         61009       71821        3468       896.7
   495     -261.9169876337         240         57600       71895        3470       897.7
   496     -261.9170040073         253         64009       71821        3472       898.3
   497     -261.9170040810         253         64009       71747        3474       896.7
   498     -261.9170041239         234         54756       72060        3474       897.9
   499     -261.9170055388         244         59536       71852        3477       898.9
   500     -261.9170147214         233         54289       71970        3482       902.0
   501     -261.9170155073         231         53361       71776        3484       902.9
   502     -261.9170157142         234         54756       71691        3485       903.7
   503     -261.9170158284         249         62001       71804        3486       903.4
   504     -261.9170188156         229         52441       71715        3488       908.6
   505     -261.9170202272         231         53361       71598        3490       906.1
   506     -261.9170206897         244         59536       71872        3493       908.4
