# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   290     -261.9222975689         257         66049       76230        3169       737.3
   291     -261.9222982094         257         66049       76181        3171       738.1
   292     -261.9224176123         253         64009       76022        3180       743.3
   293     -261.9224218941         240         57600       76157        3183       742.7
   294     -261.9224490985         254         64516       76200        3187       745.9
   295     -261.9224512274         244         59536       76226        3191       750.7
   296     -261.9225106075         255         65025       76187        3193       750.6
   297     -261.9225343746         237         56169       76087        3198       753.2
   298     -261.9225433060         249         62001       76259        3203       755.2
   299     -261.9226248271         264         69696       76285        3206       755.6
   300     -261.9226342331         244         59536       76142        3210       762.3
   301     -261.9226351755         223         49729       76213        3213       759.6
   302     -261.9226368504         255         65025       76325        3216       758.7
   303     -261.9226409031         244         59536       76310        3217       765.8
   304     -261.9226434332         247         61009       76010        3221       766.6
   305     -261.9227143692         269         72361       76152        3225       767.5
   306     -261.9227505447         257         66049       76399        3229       767.5
   307     -261.9228128434         247         61009       76205        3238       772.3
   308     -261.9228245550         239         57121       76365        3244       775.4
   309     -261.9228373059         243         59049       76276        3245       773.7
   310     -261.9228623479         240         57600       76057        3247       781.6
   311     -261.9228684442         238         56644       76263        3251       779.2
   312     -261.9228894338         262         68644       76216        3256       784.7
   313     -261.9228945663         276         76176       75960        3260       783.3
   314     -261.9228977050         265         70225       76174        3264       786.7
   315     -261.9228989416         235         55225       76217        3267       789.0
   316     -261.9229198162         246         60516       76223        3274       791.3
   317     -261.9229219059         248         61504       76181        3276       795.2
   318     -261.9230493369         256         65536       76101        3281       795.0
   319     -261.9230713235         230         52900       76435        3286       801.2
   320     -261.9230729884         254         64516       76239        3289       801.4
   321     -261.9230812135         240         57600       76312        3291       803.5
   322     -261.9230934222         257         66049       76191        3294       807.3
   323     -261.9231141103         261         68121       76077        3301       808.4
   324     -261.9231303219         252         63504       76117        3305       811.6
   325     -261.9231689031         248         61504       75998        3311       813.8
   326     -261.9232056866         255         65025       76108        3315       815.0
   327     -261.9232059131         254         64516       76371        3320       816.7
   328     -261.9232104560         244         59536       76221        3326       818.4
   329     -261.9232110400         247         61009       76233        3327       827.0
   330     -261.9232258458         250         62500       76362        3329       824.5
   331     -261.9232263004         233         54289       76126        3331       825.8
   332     -261.9232404838         242         58564       76304        3335       827.4
   333     -261.9232818730         260         67600       76436        3338       828.8
   334     -261.9233868514         261         68121       76055        3342       831.3
   335     -261.9233906086         235         55225       76098        3343       834.2
   336     -261.9233974950         239         57121       76349        3346       832.3
   337     -261.9234314014         250         62500       76155        3347       835.9
   338     -261.9234510729         249         62001       76335        3351       837.3
   339     -261.9234568582         260         67600       76242        3352       838.7
   340     -261.9234901621         247         61009       76283        3352       833.6
   341     -261.9235695393         243         59049       76368        3358       837.1
   342     -261.9235744083         233         54289       76152        3362       842.2
   343     -261.9235817689         240         57600       76230        3367       842.4
   344     -261.9236372620         250         62500       76205        3371       847.8
   345     -261.9236376713         250         62500       76158        3374       846.6
   346     -261.9236538899         240         57600       76045        3378       847.9
   347     -261.9236539208         258         66564       76174        3378       852.1
   348     -261.9236700723         264         69696       76223        3380       854.3
   349     -261.9236784428         243         59049       76297        3384       851.9
   350     -261.9236888354         256         65536       76379        3385       855.7
   351     -261.9237624566         243         59049       75961        3386       856.7
   352     -261.9237646258         241         58081       76160        3388       855.5
   353     -261.9237707088         232         53824       76191        3393       856.0
   354     -261.9237751775         252         63504       76179        3398       857.7
   355     -261.9237756027         229         52441       76109        3401       862.7
   356     -261.9237756046         242         58564       76285        3402       861.2
   357     -261.9237909265         252         63504       76107        3407       867.8
   358     -261.9238234986         247         61009       76135        3414       867.3
   359     -261.9238511820         258         66564       76260        3416       873.2
   360     -261.9238511858         260         67600       76123        3417       869.3
   361     -261.9238569899         255         65025       76225        3421       874.9
   362     -261.9238658522         248         61504       76330        3423       873.6
   363     -261.9238771481         246         60516       76160        3426       878.6
   364     -261.9238777014         257         66049       75957        3429       875.2
   365     -261.9239469147         242         58564       76162        3434       880.6
   366     -261.9239538422         254         64516       76144        3436       882.2
   367     -261.9239556002         252         63504       76257        3441       884.7
   368     -261.9239857439         248         61504       76263        3445       889.1
   369     -261.9240481446         240         57600       76269        3449       885.9
   370     -261.9240538199         246         60516       76292        3454       888.0
   371     -261.9240642804         250         62500       76123        3457       892.5
   372     -261.9240744536         239         57121       76120        3462       893.5
   373     -261.9240883905         237         56169       76110        3463       894.0
   374     -261.9240933953         250         62500       76228        3467       897.0
   375     -261.9240935166         238         56644       76139        3469       896.8
   376     -261.9240952949         231         53361       76262        3472       897.9
   377     -261.9241042262         258         66564       76268        3477       903.1
   378     -261.9241043282         246         60516       76161        3478       902.2
   379     -261.9241046391         253         64009       76047        3480       901.7
   380     -261.9241441329         247         61009       76183        3484       904.5
   381     -261.9241490484         248         61504       76218        3486       906.0
   382     -261.9241641209         239         57121       76122        3488       910.2
   383     -261.9241765286         251         63001       76161        3490       913.6
   384     -261.9242214666         255         65025       76190        3497       915.1
   385     -261.9242223320         258         66564       76125        3500       916.1
   386     -261.9242250975         246         60516       76086        3501       914.4
   387     -261.9242270926         254         64516       76038        3503       915.7
   388     -261.9242467942         251         63001       76317        3505       918.1
   389     -261.9242469332         227         51529       76133        3506       920.5
   390     -261.9242570739         239         57121       76329        3510       921.1
   391     -261.9242574693         251         63001       76093        3513       921.0
   392     -261.9242581888         237         56169       76232        3514       921.6
   393     -261.9242613474         250         62500       76194        3516       924.2
   394     -261.9242618393         252         63504       76040        3518       926.2
   395     -261.9242620601         241         58081       76172        3521       924.1
   396     -261.9242722357         224         50176       76085        3525       928.2
   397     -261.9242735667         253         64009       76177        3528       932.9
   398     -261.9242760732         250         62500       76228        3530       935.3
   399     -261.9243056614         265         70225       76297        3536       935.3
   400     -261.9243060741         247         61009       75890        3540       936.1
   401     -261.9243237081         251         63001       76220        3545       942.0
   402     -261.9243242871         241         58081       76215        3548       940.0
   403     -261.9243553491         241         58081       76338        3549       943.7
   404     -261.9243720591         257         66049       76257        3555       947.9
   405     -261.9243802754         254         64516       76125        3558       949.6
   406     -261.9243803841         248         61504       76001        3561       950.0
   407     -261.9244138237         251         63001       76033        3562       952.3
   408     -261.9244139753         249         62001       76322        3563       951.3
   409     -261.9244140183         235         55225       76282        3564       951.7
