# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   442     -261.9237807815         186         34596       23547        2640       469.1
   443     -261.9237987992         192         36864       23759        2642       468.5
   444     -261.9237987975         201         40401       23644        2642       468.5
   445     -261.9237994183         194         37636       23716        1894       344.6
   446     -261.9237168298         214         45796       23553        1745       177.5
   447     -261.9236508479         200         40000       23637        1650       151.5
   448     -261.9235900373         207         42849       23631        1585       137.7
   449     -261.9235239303         202         40804       23639        1535       129.4
   450     -261.9234610025         192         36864       23678        1496       120.2
   451     -261.9234146820         199         39601       23710        1464       116.0
   452     -261.9233699926         194         37636       23658        1439       110.8
   453     -261.9233327850         191         36481       23617        1418       108.5
   454     -261.9232863243         179         32041       23524        1399       105.2
   455     -261.9233244371         206         42436       23573        1386       103.7
   456     -261.9232954087         197         38809       23556        1372       100.3
   457     -261.9232640726         193         37249       23612        1359       100.0
   458     -261.9232212830         191         36481       23589        1346        98.3
   459     -261.9231650425         194         37636       23603        1333        96.6
   460     -261.9230974665         192         36864       23568        1321        94.7
   461     -261.9230696678         193         37249       23585        1312        93.2
   462     -261.9230552728         200         40000       23707        1302        91.8
   463     -261.9230273048         184         33856       23680        1294        91.2
   464     -261.9230339132         201         40401       23664        1286        90.7
   465     -261.9230096676         205         42025       23588        1280        90.6
   466     -261.9229913737         204         41616       23709        1273        89.9
   467     -261.9229629300         191         36481       23610        1270        88.7
   468     -261.9229414814         199         39601       23732        1269        88.9
   469     -261.9229369645         203         41209       23731        1265        87.2
   470     -261.9229361749         199         39601       23669        1266        87.7
   471     -261.9229012297         186         34596       23645        1259        87.4
   472     -261.9229170719         191         36481       23631        1257        86.6
   473     -261.9229082366         177         31329       23531        1252        86.5
   474     -261.9228965105         178         31684       23615        1250        85.6
   475     -261.9229271729         200         40000       23661        1249        86.2
   476     -261.9229413289         190         36100       23628        1248        85.2
   477     -261.9229248698         196         38416       23583        1247        84.8
   478     -261.9229186858         196         38416       23636        1245        85.9
   479     -261.9229090287         197         38809       23670        1242        86.2
   480     -261.9229202195         199         39601       23668        1240        85.1
   481     -261.9229128149         195         38025       23606        1242        85.2
   482     -261.9228950896         196         38416       23680        1241        85.5
   483     -261.9229382591         188         35344       23728        1240        85.2
   484     -261.9228957318         202         40804       23661        1291        84.4
