# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   391     -261.9232456660         194         37636       33058        2731       518.9
   392     -261.9232463913         187         34969       33012        2732       521.0
   393     -261.9232643949         192         36864       33122        2733       520.2
   394     -261.9233077601         178         31684       33013        2736       522.4
   395     -261.9233081952         183         33489       33158        2737       522.4
   396     -261.9233084951         200         40000       33161        2742       522.2
   397     -261.9233095563         201         40401       33070        2744       524.3
   398     -261.9233354631         204         41616       33205        2746       526.9
   399     -261.9233353869         204         41616       33213        2745       526.4
   400     -261.9233504134         202         40804       33109        2749       527.6
   401     -261.9233508171         176         30976       33117        2751       527.9
   402     -261.9233627902         215         46225       33150        2751       529.6
   403     -261.9234007744         197         38809       33065        2754       531.4
   404     -261.9234021179         199         39601       33135        2755       531.7
   405     -261.9234728639         188         35344       33122        2758       532.7
   406     -261.9234800645         186         34596       33059        2761       534.6
   407     -261.9234802960         190         36100       33090        2764       536.0
   408     -261.9234806927         196         38416       33220        2766       535.2
   409     -261.9234812555         180         32400       33071        2767       536.6
   410     -261.9235023255         203         41209       33205        2769       537.9
   411     -261.9235515020         197         38809       33088        2773       540.6
   412     -261.9235676058         198         39204       33194        2779       541.5
   413     -261.9235791279         205         42025       32964        2782       544.2
   414     -261.9235802114         193         37249       33036        2783       543.4
   415     -261.9235912166         194         37636       33023        2787       543.7
   416     -261.9235912667         185         34225       33045        2789       544.5
   417     -261.9235956519         197         38809       33223        2790       550.0
   418     -261.9235996566         199         39601       33080        2795       544.5
   419     -261.9236130775         201         40401       33056        2796       549.8
   420     -261.9236276666         200         40000       33137        2799       550.8
   421     -261.9236279833         184         33856       32972        2801       550.6
   422     -261.9236282923         178         31684       33041        2802       550.4
   423     -261.9236287343         193         37249       33024        2804       551.3
   424     -261.9236898143         197         38809       33173        2807       551.5
   425     -261.9236899317         196         38416       33148        2809       553.0
   426     -261.9237460291         184         33856       33132        2813       554.8
   427     -261.9237554706         204         41616       33178        2814       555.4
   428     -261.9237581259         200         40000       33131        2817       557.3
   429     -261.9237584590         201         40401       33129        2821       557.7
   430     -261.9237656151         201         40401       33165        2823       559.5
   431     -261.9237657367         197         38809       33226        2824       562.1
   432     -261.9237911143         176         30976       33177        2826       563.1
   433     -261.9237970691         199         39601       33079        2832       563.6
   434     -261.9237977556         195         38025       33140        2836       565.8
   435     -261.9237977858         192         36864       33074        2838       566.2
   436     -261.9237981901         198         39204       33137        2840       568.1
   437     -261.9237983453         199         39601       33173        2842       569.5
   438     -261.9238038486         185         34225       33112        2843       569.7
   439     -261.9238275170         199         39601       32965        2845       569.7
   440     -261.9238386567         188         35344       33033        2848       570.7
   441     -261.9238553095         198         39204       33160        2850       570.8
   442     -261.9238558593         200         40000       33217        2852       572.7
   443     -261.9238642085         196         38416       33138        2854       575.4
   444     -261.9238712651         206         42436       33094        2858       577.4
   445     -261.9238716055         196         38416       33011        2860       576.2
   446     -261.9238735701         183         33489       33107        2861       575.7
   447     -261.9238802043         182         33124       33152        2863       577.2
   448     -261.9238804022         183         33489       33161        2864       578.0
   449     -261.9239230869         200         40000       32985        2870       579.4
   450     -261.9239236776         201         40401       33107        2873       582.3
   451     -261.9239273493         200         40000       33087        2877       583.5
   452     -261.9239275570         195         38025       33125        2879       584.4
   453     -261.9239275450         190         36100       33129        2880       585.6
   454     -261.9239278958         187         34969       32984        2882       585.4
   455     -261.9239280073         195         38025       33258        2883       586.6
   456     -261.9239281736         183         33489       32993        2884       587.9
   457     -261.9239285471         210         44100       33123        2886       588.2
   458     -261.9239286273         185         34225       33222        2887       590.1
