# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   445     -261.9150279246         400        160000       70903        2125       319.4
   446     -261.9150280454         411        168921       70977        2125       323.5
   447     -261.9150717052         398        158404       70964        2126       318.6
   448     -261.9150747975         416        173056       70998        2129       323.3
   449     -261.9150951867         363        131769       70908        2129       319.8
   450     -261.9150958979         394        155236       70867        2132       321.7
   451     -261.9150990247         375        140625       70929        2134       323.5
   452     -261.9150997942         387        149769       70872        2135       324.2
   453     -261.9151007808         385        148225       70889        2137       323.4
   454     -261.9151009177         362        131044       70981        2139       321.2
   455     -261.9151009263         382        145924       70927        2139       323.0
   456     -261.9151010261         377        142129       70863        2141       321.1
   457     -261.9151013546         380        144400       70952        2144       326.3
   458     -261.9151017518         382        145924       70899        2146       324.3
   459     -261.9151019146         365        133225       70914        2147       325.1
   460     -261.9151025335         387        149769       70875        2148       325.7
   461     -261.9151026480         365        133225       70828        2149       324.6
   462     -261.9151073707         396        156816       70994        2150       328.0
   463     -261.9151245029         385        148225       70824        2153       325.5
   464     -261.9151518237         387        149769       71032        2156       327.1
   465     -261.9151540989         380        144400       70860        2158       325.6
   466     -261.9151542489         396        156816       70916        2159       327.6
   467     -261.9151543034         368        135424       70932        2160       329.7
   468     -261.9151588601         372        138384       70899        2161       332.5
   469     -261.9151588902         377        142129       70938        2161       328.2
   470     -261.9151593289         393        154449       70890        2163       331.0
   471     -261.9151593294         371        137641       70979        2163       328.2
   472     -261.9151593541         375        140625       70992        2163       330.6
   473     -261.9151593290         376        141376       70898        2163       331.6
   474     -261.9151603535         370        136900       70863        2165       330.3
   475     -261.9151707999         369        136161       71012        2166       330.9
   476     -261.9151707484         415        172225       70848        2166       335.1
   477     -261.9151851342         361        130321       70862        2170       336.9
   478     -261.9151991664         376        141376       70763        2172       343.2
   479     -261.9151996088         398        158404       71062        2173       345.1
   480     -261.9152004343         388        150544       70931        2174       342.3
   481     -261.9152013295         369        136161       70930        2175       342.5
   482     -261.9152013478         383        146689       70860        2175       345.0
   483     -261.9152026374         387        149769       70875        2178       346.3
   484     -261.9152035645         357        127449       70860        2179       345.2
   485     -261.9152037146         383        146689       70943        2180       345.1
   486     -261.9152038644         401        160801       70961        2183       346.6
   487     -261.9152039265         398        158404       70767        2183       348.2
   488     -261.9152101647         381        145161       70913        2184       346.5
   489     -261.9152101947         378        142884       70912        2184       348.0
   490     -261.9152222660         373        139129       70881        2185       349.0
   491     -261.9152442184         349        121801       70876        2186       345.4
   492     -261.9152443410         349        121801       70932        2187       348.2
   493     -261.9152449013         377        142129       70983        2188       348.4
   494     -261.9152448811         408        166464       70997        2188       350.5
   495     -261.9152450791         399        159201       70934        2189       351.0
   496     -261.9152452178         379        143641       70944        2190       347.0
   497     -261.9152453583         371        137641       70948        2191       343.9
   498     -261.9152455522         405        164025       70917        2192       351.3
   499     -261.9152455673         374        139876       70968        2192       349.4
   500     -261.9152521377         371        137641       70783        2193       349.1
   501     -261.9152667517         364        132496       70940        2194       348.4
   502     -261.9152810308         379        143641       70963        2196       350.5
   503     -261.9152814244         384        147456       70830        2199       352.1
   504     -261.9152814698         379        143641       70970        2199       354.6
   505     -261.9152825754         381        145161       71030        2202       352.7
   506     -261.9152875682         381        145161       70924        2204       352.0
   507     -261.9152881866         379        143641       70967        2205       350.9
   508     -261.9153522714         364        132496       70921        2206       352.9
   509     -261.9153532301         384        147456       70925        2207       354.5
   510     -261.9153614192         387        149769       70880        2213       355.4
   511     -261.9153623837         363        131769       71021        2216       352.8
   512     -261.9153650323         379        143641       70921        2218       358.1
   513     -261.9153674171         409        167281       71052        2219       359.9
   514     -261.9153676844         358        128164       70908        2220       358.5
   515     -261.9153698512         392        153664       70965        2221       360.4
   516     -261.9153702185         379        143641       70935        2222       357.7
   517     -261.9153702134         375        140625       70947        2222       358.6
   518     -261.9153704516         403        162409       71009        2224       358.6
   519     -261.9153785514         406        164836       70918        2226       361.7
   520     -261.9153792957         400        160000       70931        2228       362.2
   521     -261.9153812795         403        162409       70904        2229       366.6
   522     -261.9154181920         373        139129       70886        2230       359.5
   523     -261.9154185791         363        131769       70856        2232       360.8
   524     -261.9154185868         377        142129       70862        2232       361.1
   525     -261.9154186227         400        160000       70919        2232       363.5
   526     -261.9154185870         370        136900       70892        2232       360.5
   527     -261.9154194877         395        156025       70878        2233       364.2
   528     -261.9154205859         418        174724       70911        2234       366.5
   529     -261.9154207916         397        157609       70930        2235       362.7
   530     -261.9154223957         422        178084       70863        2237       369.2
   531     -261.9154516567         394        155236       70896        2242       362.9
   532     -261.9154647116         387        149769       70890        2243       368.1
   533     -261.9154771100         374        139876       71038        2244       366.2
   534     -261.9154775485         359        128881       70926        2245       363.8
   535     -261.9154787992         374        139876       70818        2247       366.6
   536     -261.9154790228         411        168921       70981        2248       368.7
   537     -261.9154790765         385        148225       70917        2248       366.5
   538     -261.9155273718         377        142129       70985        2249       366.5
   539     -261.9155276959         387        149769       70900        2252       367.9
   540     -261.9155277232         372        138384       70969        2252       368.9
   541     -261.9155292277         376        141376       70913        2255       370.1
   542     -261.9155292240         380        144400       70889        2255       370.1
   543     -261.9155301858         403        162409       70965        2256       371.6
   544     -261.9155301718         374        139876       70945        2257       370.3
   545     -261.9155303921         355        126025       70902        2258       368.1
   546     -261.9155314180         405        164025       70962        2261       375.2
   547     -261.9155315258         375        140625       70933        2263       371.9
   548     -261.9155316577         365        133225       70884        2264       373.5
   549     -261.9155321121         387        149769       70851        2265       375.4
   550     -261.9155397026         389        151321       70927        2267       373.9
   551     -261.9155406571         388        150544       70984        2268       374.0
   552     -261.9155430820         382        145924       70928        2270       376.2
   553     -261.9155954943         390        152100       70950        2271       376.9
   554     -261.9155955490         416        173056       70937        2272       377.6
   555     -261.9155958960         378        142884       70881        2273       376.3
   556     -261.9155970644         397        157609       70846        2277       376.2
   557     -261.9156141284         369        136161       70997        2279       376.1
   558     -261.9156181955         378        142884       70834        2281       379.2
   559     -261.9156183974         374        139876       70928        2282       380.1
   560     -261.9156557362         402        161604       70939        2283       381.3
   561     -261.9156557864         407        165649       71009        2283       380.7
   562     -261.9156557981         385        148225       70959        2284       381.4
   563     -261.9156670453         402        161604       70958        2285       384.1
   564     -261.9156680161         401        160801       70960        2287       383.3
   565     -261.9156681689         354        125316       70894        2288       380.0
   566     -261.9156682532         398        158404       70865        2288       385.0
   567     -261.9156687101         396        156816       70825        2289       381.3
   568     -261.9156756221         393        154449       70858        2293       383.6
   569     -261.9156772947         373        139129       70869        2295       384.1
   570     -261.9156784006         402        161604       70859        2297       384.4
   571     -261.9156829712         360        129600       70943        2299       382.7
   572     -261.9156830558         371        137641       70911        2300       385.3
   573     -261.9156852326         359        128881       70868        2303       387.8
   574     -261.9156853239         375        140625       70981        2304       386.0
   575     -261.9156964637         401        160801       70875        2305       389.1
   576     -261.9156990351         386        148996       70896        2307       389.0
   577     -261.9156990961         401        160801       70812        2307       388.5
   578     -261.9159268396         387        149769       70897        2309       388.4
   579     -261.9159400655         404        163216       70909        2311       392.3
   580     -261.9159402420         392        153664       70839        2312       390.3
   581     -261.9159403367         394        155236       70961        2313       390.4
   582     -261.9159403144         392        153664       70854        2313       390.6
   583     -261.9159405061         366        133956       70825        2314       388.9
