# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   265     -261.9137344094         318        101124      121943        2744       558.6
   266     -261.9137396157         333        110889      121861        2745       561.6
   267     -261.9137403628         318        101124      121769        2747       558.2
   268     -261.9137431265         331        109561      121803        2753       559.4
   269     -261.9137723707         323        104329      121795        2758       566.6
   270     -261.9139584566         336        112896      121906        2759       567.8
   271     -261.9139598693         324        104976      121806        2761       567.4
   272     -261.9139914332         331        109561      121760        2767       568.4
   273     -261.9139917828         336        112896      121722        2768       569.5
   274     -261.9140019461         325        105625      121854        2769       569.6
   275     -261.9140087171         320        102400      121750        2773       569.4
   276     -261.9140088891         319        101761      121989        2775       569.9
   277     -261.9140184919         339        114921      121693        2780       573.1
   278     -261.9140371481         323        104329      121898        2787       576.5
   279     -261.9140427445         287         82369      121912        2792       574.2
   280     -261.9140802686         323        104329      121816        2794       583.9
   281     -261.9140830895         313         97969      121811        2798       584.0
   282     -261.9141727661         331        109561      121866        2801       583.0
   283     -261.9142094478         343        117649      121921        2807       585.1
   284     -261.9142265272         339        114921      121820        2809       589.1
   285     -261.9142562569         335        112225      121832        2813       591.5
   286     -261.9142564531         303         91809      121774        2814       587.5
   287     -261.9142592264         318        101124      121876        2815       589.2
   288     -261.9142600755         315         99225      121797        2821       589.1
   289     -261.9142661554         313         97969      121812        2824       592.0
   290     -261.9142671653         321        103041      121813        2826       594.4
   291     -261.9142683045         322        103684      122008        2829       599.0
   292     -261.9142782125         314         98596      121906        2835       595.8
   293     -261.9143320295         333        110889      121875        2836       598.4
   294     -261.9143363784         312         97344      121636        2840       601.2
   295     -261.9143520363         333        110889      121735        2847       603.8
   296     -261.9143563955         321        103041      121852        2852       604.4
   297     -261.9143729972         346        119716      121726        2856       607.6
   298     -261.9143813113         311         96721      121839        2859       607.8
   299     -261.9143826670         321        103041      121787        2865       610.9
   300     -261.9143867752         319        101761      121787        2869       611.0
   301     -261.9143894248         313         97969      121770        2873       614.2
   302     -261.9143928526         326        106276      121829        2878       615.5
   303     -261.9144260957         340        115600      121529        2882       619.2
   304     -261.9144390576         338        114244      121763        2886       618.5
   305     -261.9144393736         334        111556      121861        2889       622.7
   306     -261.9144394880         317        100489      121875        2892       622.0
   307     -261.9144406261         320        102400      121767        2895       624.3
   308     -261.9145353175         332        110224      121600        2901       626.1
   309     -261.9145356407         321        103041      121914        2904       628.1
   310     -261.9145371612         319        101761      121737        2907       627.9
   311     -261.9145394560         320        102400      121927        2909       626.7
   312     -261.9145495097         324        104976      121976        2914       632.0
   313     -261.9145708688         322        103684      121793        2917       633.9
   314     -261.9146014598         324        104976      121852        2922       636.2
   315     -261.9146122563         330        108900      121731        2924       637.3
   316     -261.9146141774         313         97969      121747        2933       637.4
   317     -261.9146145138         318        101124      121793        2936       641.6
   318     -261.9146217305         328        107584      121908        2939       647.1
   319     -261.9146256628         301         90601      121840        2941       643.0
   320     -261.9146281684         320        102400      121762        2942       642.1
   321     -261.9146291472         326        106276      121931        2949       643.6
   322     -261.9146375539         314         98596      121926        2952       646.7
   323     -261.9146390189         361        130321      121896        2957       652.8
   324     -261.9146452633         319        101761      121650        2960       650.7
   325     -261.9146915070         323        104329      121965        2966       653.6
   326     -261.9146925659         328        107584      121703        2969       654.3
   327     -261.9147462676         334        111556      121906        2973       657.4
   328     -261.9147482197         292         85264      121734        2974       655.4
   329     -261.9147482595         346        119716      122029        2976       664.0
   330     -261.9147611340         343        117649      122086        2979       665.7
   331     -261.9147637501         346        119716      121962        2981       668.8
   332     -261.9148093063         301         90601      121906        2986       664.3
   333     -261.9148434420         346        119716      121750        2988       671.7
   334     -261.9148763955         343        117649      121608        2994       672.6
   335     -261.9148782425         320        102400      121806        2999       670.5
   336     -261.9149466701         341        116281      121839        3001       674.3
   337     -261.9149664748         304         92416      121767        3002       673.2
   338     -261.9149682937         330        108900      121887        3004       675.5
   339     -261.9149800684         294         86436      121839        3005       674.3
   340     -261.9149806699         325        105625      122029        3007       677.1
   341     -261.9151048343         324        104976      121706        3008       679.3
   342     -261.9151059259         327        106929      121635        3012       678.7
   343     -261.9151081384         367        134689      121819        3014       680.1
   344     -261.9151115912         334        111556      121837        3015       684.1
   345     -261.9151123531         321        103041      121821        3017       677.1
   346     -261.9151232603         328        107584      121719        3019       680.7
   347     -261.9151237455         335        112225      121877        3020       682.2
   348     -261.9151238544         327        106929      121740        3021       683.9
   349     -261.9151240275         318        101124      121838        3023       683.0
   350     -261.9151240115         343        117649      121671        3024       684.2
   351     -261.9151303790         329        108241      121836        3029       682.4
   352     -261.9151400323         344        118336      121846        3033       690.5
   353     -261.9151499139         330        108900      121976        3034       689.7
   354     -261.9151503997         328        107584      121886        3037       692.5
   355     -261.9151505092         327        106929      121918        3038       691.0
   356     -261.9153006743         325        105625      121816        3041       689.8
   357     -261.9153055387         333        110889      121849        3042       690.3
   358     -261.9153160414         326        106276      121955        3047       693.2
   359     -261.9153304259         309         95481      121891        3052       695.2
   360     -261.9153431159         308         94864      121821        3053       698.3
   361     -261.9153478307         321        103041      121597        3054       696.8
   362     -261.9153538154         315         99225      121884        3057       699.7
   363     -261.9153680853         331        109561      121723        3063       700.6
   364     -261.9153684524         320        102400      121519        3065       704.9
   365     -261.9153824574         325        105625      121899        3066       709.2
   366     -261.9153858003         326        106276      121842        3072       705.4
   367     -261.9153861723         303         91809      121935        3075       706.6
   368     -261.9153925344         318        101124      121900        3077       710.3
   369     -261.9153933095         333        110889      121931        3079       710.1
   370     -261.9154249784         321        103041      121705        3084       709.3
   371     -261.9154471631         332        110224      121852        3089       715.4
   372     -261.9154482409         322        103684      121716        3093       717.9
   373     -261.9154487539         313         97969      121874        3094       716.0
   374     -261.9154531183         324        104976      121732        3099       717.8
   375     -261.9154643692         321        103041      121864        3103       717.4
   376     -261.9154681721         328        107584      121954        3107       724.4
   377     -261.9154826347         317        100489      121820        3110       723.8
   378     -261.9154830425         343        117649      121872        3112       727.3
   379     -261.9154840656         317        100489      121800        3115       728.1
   380     -261.9154847970         343        117649      121809        3116       733.4
   381     -261.9154851795         348        121104      121771        3118       733.6
   382     -261.9154892269         309         95481      121778        3121       726.0
   383     -261.9154986346         317        100489      121792        3125       735.2
   384     -261.9155187855         329        108241      121766        3130       739.1
   385     -261.9155567682         320        102400      121828        3134       742.0
   386     -261.9155577492         319        101761      121848        3136       741.8
   387     -261.9155583677         319        101761      121866        3138       743.6
   388     -261.9155585450         326        106276      121767        3140       736.9
   389     -261.9155832832         335        112225      121894        3141       747.5
   390     -261.9155861886         328        107584      121804        3142       744.3
   391     -261.9155970911         326        106276      121814        3146       744.0
   392     -261.9156089101         325        105625      121833        3149       745.3
   393     -261.9156147355         335        112225      121868        3153       749.2
   394     -261.9156233375         306         93636      121958        3157       748.3
   395     -261.9156242030         328        107584      121777        3161       752.5
   396     -261.9156438535         337        113569      121733        3164       755.5
   397     -261.9156441357         339        114921      121776        3169       759.5
   398     -261.9156442211         318        101124      121951        3171       757.9
   399     -261.9156734758         324        104976      122071        3173       760.7
   400     -261.9156751102         312         97344      121980        3176       760.7
   401     -261.9156994705         325        105625      121833        3177       758.9
   402     -261.9156996000         351        123201      121747        3179       765.5
   403     -261.9156997496         308         94864      121886        3180       759.5
   404     -261.9157196577         326        106276      121701        3183       768.5
   405     -261.9157198863         322        103684      121760        3184       762.6
   406     -261.9158886990         306         93636      121780        3184       762.2
   407     -261.9160227070         331        109561      121807        3185       768.1
   408     -261.9160227815         319        101761      121943        3188       765.9
   409     -261.9160229965         311         96721      121757        3190       766.2
   410     -261.9160240016         298         88804      121763        3192       767.1
   411     -261.9160512380         345        119025      121852        3195       770.6
   412     -261.9160583173         352        123904      121695        3201       777.3
   413     -261.9160824596         336        112896      122001        3204       774.8
   414     -261.9160834357         327        106929      121880        3206       773.7
   415     -261.9160837716         320        102400      121906        3208       775.8
   416     -261.9160838830         315         99225      121902        3210       779.1
   417     -261.9160850780         315         99225      121719        3212       777.9
   418     -261.9160854882         291         84681      121747        3213       779.1
   419     -261.9161219598         314         98596      121827        3215       779.7
   420     -261.9161580371         325        105625      121741        3218       781.7
   421     -261.9161584597         313         97969      121911        3219       782.7
   422     -261.9161586283         320        102400      122014        3222       785.3
   423     -261.9161594136         326        106276      121908        3225       790.5
   424     -261.9161594884         318        101124      121884        3227       787.9
   425     -261.9161600126         311         96721      121688        3229       786.4
   426     -261.9161651897         315         99225      121721        3232       791.9
   427     -261.9161652649         322        103684      121754        3236       793.0
   428     -261.9161780285         322        103684      121901        3241       792.5
