# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   398     -261.9157288331         389        151321       70924        2526       403.1
   399     -261.9157329427         405        164025       70892        2529       405.9
   400     -261.9157339869         379        143641       70898        2532       406.2
   401     -261.9157513440         377        142129       70914        2535       404.8
   402     -261.9157788943         396        156816       70858        2540       408.7
   403     -261.9157799135         405        164025       70840        2543       409.7
   404     -261.9158004248         393        154449       70957        2545       409.3
   405     -261.9158011956         414        171396       70963        2549       413.7
   406     -261.9158018853         411        168921       70960        2551       410.8
   407     -261.9158022531         364        132496       70986        2554       410.3
   408     -261.9158180322         415        172225       71008        2560       413.6
   409     -261.9158228237         377        142129       70831        2565       415.8
   410     -261.9158232108         376        141376       70938        2567       413.2
   411     -261.9158251314         394        155236       70934        2571       415.3
   412     -261.9158296934         371        137641       71015        2574       416.4
   413     -261.9158347566         363        131769       70934        2577       418.8
   414     -261.9158348030         376        141376       70904        2578       415.1
   415     -261.9158406903         356        126736       70988        2580       415.2
   416     -261.9158684104         391        152881       71023        2583       419.3
   417     -261.9158695777         368        135424       70894        2585       417.8
   418     -261.9158735826         367        134689       70876        2587       423.5
   419     -261.9159339150         387        149769       70885        2591       425.7
   420     -261.9159391590         385        148225       70887        2597       433.3
   421     -261.9159517409         415        172225       70925        2600       436.6
   422     -261.9159521603         412        169744       70997        2602       434.9
   423     -261.9159548888         385        148225       70877        2603       435.8
   424     -261.9159553097         427        182329       70950        2606       439.3
   425     -261.9159720497         387        149769       70908        2612       435.1
   426     -261.9159734298         390        152100       70867        2614       439.5
   427     -261.9159857634         364        132496       70972        2618       439.3
   428     -261.9159862211         409        167281       70864        2621       445.9
   429     -261.9159871013         396        156816       70866        2622       445.3
   430     -261.9159882229         382        145924       70998        2624       439.7
   431     -261.9161164871         379        143641       70923        2629       440.9
   432     -261.9161165467         389        151321       70885        2629       443.2
   433     -261.9161170710         396        156816       70860        2631       445.6
   434     -261.9161171595         371        137641       70849        2633       441.0
   435     -261.9161328053         411        168921       71008        2637       445.8
   436     -261.9161628892         410        168100       70900        2643       450.0
   437     -261.9161660994         362        131044       70882        2646       446.6
   438     -261.9161758228         392        153664       70951        2649       449.2
   439     -261.9161762003         415        172225       70949        2651       450.3
   440     -261.9161762388         395        156025       70922        2652       454.6
   441     -261.9161849047         381        145161       70943        2655       454.0
   442     -261.9161849649         394        155236       70984        2656       453.4
   443     -261.9162173910         383        146689       70990        2661       448.7
   444     -261.9162209447         364        132496       70967        2663       453.5
   445     -261.9162313898         392        153664       70893        2669       456.4
   446     -261.9162332901         374        139876       70855        2670       459.2
   447     -261.9162334422         388        150544       70884        2672       457.4
   448     -261.9162414496         416        173056       70956        2675       463.7
   449     -261.9162793037         386        148996       70911        2678       458.0
   450     -261.9162833497         400        160000       70811        2680       462.7
   451     -261.9163395266         388        150544       70973        2688       461.5
   452     -261.9164241522         364        132496       70886        2690       460.0
   453     -261.9164297485         354        125316       70985        2691       458.9
   454     -261.9164300104         379        143641       70848        2692       464.7
   455     -261.9164471564         388        150544       70818        2694       462.7
   456     -261.9164484158         377        142129       70935        2697       463.7
   457     -261.9164516580         406        164836       70990        2701       467.9
   458     -261.9164676844         410        168100       70856        2705       469.4
   459     -261.9164702394         362        131044       70884        2708       469.9
   460     -261.9164998373         382        145924       70884        2713       472.8
   461     -261.9165125297         398        158404       70936        2719       474.6
   462     -261.9165141568         371        137641       70860        2720       471.2
   463     -261.9165489738         371        137641       70988        2726       474.8
   464     -261.9165721982         372        138384       70916        2731       477.2
   465     -261.9165722469         387        149769       70960        2733       484.5
   466     -261.9165730027         406        164836       70809        2736       482.1
   467     -261.9165772357         426        181476       70882        2739       485.9
   468     -261.9165836791         437        190969       70892        2743       486.1
   469     -261.9165839472         405        164025       70892        2745       484.2
   470     -261.9165851643         355        126025       70951        2747       479.5
   471     -261.9165854494         398        158404       70939        2748       485.5
   472     -261.9165856562         377        142129       70951        2752       485.3
   473     -261.9165860233         365        133225       70878        2754       482.9
   474     -261.9166273041         389        151321       70979        2756       486.9
   475     -261.9166273285         407        165649       70885        2756       488.1
   476     -261.9166290439         389        151321       70929        2760       485.6
   477     -261.9166326696         353        124609       70977        2764       489.2
   478     -261.9166998786         385        148225       70832        2765       490.5
   479     -261.9166998907         384        147456       70894        2767       490.2
   480     -261.9167000540         379        143641       70870        2768       490.6
   481     -261.9167090561         379        143641       70921        2773       491.8
   482     -261.9167116069         387        149769       70956        2775       494.0
   483     -261.9167119209         385        148225       70915        2777       494.2
   484     -261.9167804535         385        148225       71013        2779       490.8
   485     -261.9167809962         382        145924       70923        2782       497.1
   486     -261.9167819228         358        128164       70852        2786       493.9
   487     -261.9167932208         398        158404       70960        2788       498.0
   488     -261.9167987056         347        120409       70891        2789       495.3
   489     -261.9167990269         411        168921       70903        2790       499.2
   490     -261.9168063703         399        159201       70968        2794       498.3
   491     -261.9168072446         368        135424       70946        2795       498.4
   492     -261.9168257704         381        145161       70924        2797       501.1
   493     -261.9168517017         400        160000       70905        2798       501.5
   494     -261.9168526868         377        142129       70831        2800       501.7
   495     -261.9168534006         387        149769       70893        2803       502.2
   496     -261.9168636410         399        159201       71009        2810       506.0
   497     -261.9168751311         374        139876       70942        2814       506.5
   498     -261.9168754054         376        141376       70952        2815       509.6
   499     -261.9169246883         377        142129       70903        2816       506.7
   500     -261.9169510891         376        141376       70923        2817       507.4
   501     -261.9169571856         351        123201       70914        2821       503.8
   502     -261.9169581218         384        147456       70874        2825       508.5
   503     -261.9169599827         400        160000       70964        2827       510.4
   504     -261.9169601632         386        148996       70976        2830       515.7
   505     -261.9169605955         376        141376       70928        2833       512.6
   506     -261.9169611155         404        163216       70865        2836       512.2
   507     -261.9169686479         388        150544       70953        2840       511.2
   508     -261.9169726639         392        153664       70940        2841       517.5
   509     -261.9169730645         414        171396       70924        2843       516.7
   510     -261.9169734472         397        157609       70915        2845       519.0
   511     -261.9169734969         373        139129       70863        2846       516.1
   512     -261.9170017573         352        123904       70825        2853       516.3
