# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   366     -261.9154673001         338        114244       80428        2552       443.6
   367     -261.9154920988         355        126025       80309        2556       443.9
   368     -261.9155213092         334        111556       80465        2558       443.6
   369     -261.9155338213         301         90601       80459        2561       441.0
   370     -261.9155624992         339        114921       80392        2564       447.1
   371     -261.9155627198         320        102400       80391        2566       446.7
   372     -261.9155628885         315         99225       80413        2568       448.8
   373     -261.9155629724         329        108241       80381        2568       446.7
   374     -261.9155667676         343        117649       80418        2570       451.2
   375     -261.9156145870         328        107584       80387        2573       447.4
   376     -261.9156151373         334        111556       80483        2577       450.0
   377     -261.9156154337         327        106929       80390        2579       451.5
   378     -261.9156882050         340        115600       80501        2581       454.2
   379     -261.9157724147         323        104329       80396        2583       453.7
   380     -261.9157802282         322        103684       80442        2586       453.9
   381     -261.9157884733         321        103041       80283        2592       460.2
   382     -261.9157937077         330        108900       80393        2596       456.4
   383     -261.9157939762         343        117649       80468        2599       456.2
   384     -261.9157947643         323        104329       80327        2601       457.6
   385     -261.9157955132         334        111556       80312        2602       459.7
   386     -261.9157961559         326        106276       80418        2606       457.4
   387     -261.9157990913         340        115600       80257        2610       462.2
   388     -261.9157991628         332        110224       80408        2611       462.2
   389     -261.9158030363         319        101761       80445        2618       464.9
   390     -261.9158035836         332        110224       80394        2623       465.2
   391     -261.9158042405         354        125316       80520        2625       470.8
   392     -261.9158043081         306         93636       80451        2625       466.0
   393     -261.9158481129         329        108241       80289        2628       468.0
   394     -261.9158483307         288         82944       80452        2629       466.4
   395     -261.9158491658         324        104976       80493        2632       469.8
   396     -261.9158500196         311         96721       80401        2634       468.3
   397     -261.9158543062         328        107584       80425        2637       468.7
   398     -261.9158545489         326        106276       80310        2638       470.5
   399     -261.9158584803         318        101124       80457        2640       471.9
   400     -261.9158948883         352        123904       80371        2643       472.6
   401     -261.9158951071         326        106276       80377        2650       473.6
   402     -261.9159538074         321        103041       80471        2655       474.0
   403     -261.9159540657         329        108241       80399        2660       477.0
   404     -261.9159794212         319        101761       80497        2662       478.7
   405     -261.9159943181         294         86436       80323        2665       479.6
   406     -261.9159945262         307         94249       80335        2668       479.0
   407     -261.9159953245         328        107584       80500        2669       482.2
   408     -261.9159955016         329        108241       80396        2671       481.3
   409     -261.9159956160         373        139129       80345        2672       489.5
   410     -261.9159975338         327        106929       80509        2674       483.9
   411     -261.9159975421         334        111556       80431        2674       485.7
   412     -261.9160043921         346        119716       80452        2678       488.3
   413     -261.9160050011         332        110224       80407        2679       488.5
   414     -261.9160050300         313         97969       80381        2681       485.0
   415     -261.9160050720         336        112896       80466        2681       488.8
   416     -261.9160115554         316         99856       80357        2686       483.2
   417     -261.9160240363         340        115600       80486        2693       489.6
   418     -261.9160246092         357        127449       80559        2696       494.7
   419     -261.9160293532         365        133225       80392        2699       496.4
   420     -261.9160320874         350        122500       80401        2703       497.0
   421     -261.9160364968         341        116281       80412        2704       495.2
   422     -261.9160387940         318        101124       80332        2708       494.9
   423     -261.9160467958         349        121801       80519        2714       498.2
   424     -261.9160559915         329        108241       80399        2717       497.0
   425     -261.9160610827         321        103041       80480        2721       498.3
   426     -261.9160846210         346        119716       80416        2725       503.5
   427     -261.9160866555         356        126736       80401        2729       503.7
   428     -261.9160867392         331        109561       80413        2730       505.4
   429     -261.9160948601         335        112225       80405        2736       504.2
   430     -261.9160977013         320        102400       80287        2739       506.5
