# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   281     -261.9139182979         355        126025      106028        2810       565.3
   282     -261.9139584653         346        119716      106025        2812       562.0
   283     -261.9139863153         350        122500      106044        2816       566.1
   284     -261.9140152497         330        108900      106180        2821       566.8
   285     -261.9140192634         336        112896      106186        2827       570.6
   286     -261.9140212402         335        112225      106115        2828       568.4
   287     -261.9140366997         350        122500      106116        2833       570.4
   288     -261.9140514741         362        131044      106083        2839       574.5
   289     -261.9140748013         379        143641      106167        2844       577.9
   290     -261.9140762645         331        109561      106052        2848       575.8
   291     -261.9141261118         328        107584      106043        2852       578.3
   292     -261.9141382760         319        101761      106143        2856       576.8
   293     -261.9141604073         337        113569      106253        2859       581.8
   294     -261.9142093168         340        115600      106211        2862       584.4
   295     -261.9142426530         336        112896      106040        2865       582.1
   296     -261.9142461032         339        114921      106195        2869       587.6
   297     -261.9142810498         339        114921      106097        2872       589.4
   298     -261.9142818245         322        103684      106174        2876       590.9
   299     -261.9143352878         326        106276      106102        2880       589.9
   300     -261.9144497645         337        113569      106254        2889       593.9
   301     -261.9144528445         334        111556      106117        2895       600.2
   302     -261.9144606012         347        120409      106039        2898       598.2
   303     -261.9144614414         328        107584      106094        2901       601.3
   304     -261.9144621028         350        122500      106162        2903       601.5
   305     -261.9145324214         315         99225      106184        2909       601.1
   306     -261.9145506247         344        118336      106043        2912       604.1
   307     -261.9145538760         338        114244      106189        2916       605.6
   308     -261.9145541384         342        116964      106168        2919       607.0
   309     -261.9145620064         351        123201      106140        2922       608.9
   310     -261.9145878431         319        101761      106039        2927       609.2
   311     -261.9145889204         341        116281      106133        2933       613.7
   312     -261.9146704222         338        114244      106190        2936       617.3
   313     -261.9147107973         351        123201      106081        2940       617.1
   314     -261.9147165894         320        102400      105953        2944       617.9
   315     -261.9147276838         343        117649      106133        2951       618.1
   316     -261.9147666972         333        110889      105974        2956       620.3
   317     -261.9147689246         360        129600      106188        2963       627.9
   318     -261.9147721076         339        114921      106297        2970       629.6
   319     -261.9147750032         334        111556      105966        2973       628.8
   320     -261.9147756279         351        123201      106266        2976       633.1
   321     -261.9148189868         347        120409      105994        2983       633.0
   322     -261.9148198941         342        116964      106114        2985       636.4
   323     -261.9148235239         353        124609      106191        2988       637.5
   324     -261.9148777522         346        119716      106119        2991       637.9
   325     -261.9149064787         360        129600      106006        2995       640.3
   326     -261.9150367628         342        116964      106227        3001       637.2
   327     -261.9150371785         331        109561      106115        3002       641.3
   328     -261.9150375807         347        120409      105986        3003       639.4
   329     -261.9150392306         313         97969      106047        3010       640.7
   330     -261.9150883274         352        123904      105946        3014       651.1
   331     -261.9150920004         345        119025      106195        3017       652.4
   332     -261.9151128772         323        104329      106213        3021       646.4
