! CCSD(T)/6-31G* / full hamiltonian
!idx   flag1   flag2           scf           mp2          ccsd       ccsd(t)
   1    True    True   -717.459176   -718.495169   -718.509256   -718.533675
   2    True    True   -717.451651   -718.486854   -718.501035   -718.525356
   3    True    True   -717.444414   -718.481031   -718.494792   -718.519207
   4    True    True   -717.434844   -718.474119   -718.487098   -718.511733
   5    True    True   -717.421996   -718.465886   -718.477491   -718.502593
   6    True    True   -717.418319   -718.468853   -718.478716   -718.504485
   7    True    True   -717.416162   -718.462823   -718.473681   -718.499065
   8    True    True   -717.424104   -718.468435   -718.480353   -718.505287
   9    True    True   -717.448169   -718.484136   -718.498926   -718.522603
  10    True    True   -717.485938   -718.506429   -718.525174   -718.546637
  11    True    True   -717.492124   -718.513272   -718.531822   -718.553270
  12    True    True   -717.494585   -718.518136   -718.535833   -718.557636
  13    True    True   -717.454767   -718.491095   -718.504997   -718.529347
  14    True    True   -717.453109   -718.489796   -718.503682   -718.528093
  15    True    True   -717.451725   -718.488318   -718.502302   -718.526683
  16    True    True   -717.451378   -718.488084   -718.502015   -718.526409
  17    True    True   -717.451559   -718.488945   -718.502598   -718.527075
  18    True    True   -717.448036   -718.486834   -718.499801   -718.524365
  19    True    True   -717.441139   -718.482017   -718.494092   -718.518728
  20    True    True   -717.424893   -718.472803   -718.482587   -718.507747
  21    True    True   -717.431639   -718.476494   -718.487250   -718.512187
  22    True    True   -717.424082   -718.472648   -718.482285   -718.507531
  23    True    True   -717.427201   -718.475402   -718.485292   -718.510389
  24    True    True   -717.443058   -718.485135   -718.497033   -718.521297
  25    True    True   -717.477503   -718.506523   -718.523241   -718.545747
