,!idx,flag1,flag2,scf,mp2,ccsd,ccsd(t)
0,1,True,True,-1208.6085117899454,-1209.6445047899454,-1209.6585917899454,-1209.6830107899455
1,2,True,True,-1208.8150178252151,-1209.850220825215,-1209.864401825215,-1209.8887228252152
2,3,True,True,-1206.406785109713,-1207.443402109713,-1207.4571631097128,-1207.481578109713
3,4,True,True,-1204.5986598052116,-1205.6379348052114,-1205.6509138052115,-1205.6755488052117
4,5,True,True,-1203.4353228557627,-1204.4792128557626,-1204.4908178557628,-1204.5159198557628
5,6,True,True,-1198.8814106819655,-1199.9319446819654,-1199.9418076819654,-1199.9675766819655
6,7,True,True,-1203.015637485482,-1204.0622984854822,-1204.0731564854823,-1204.098540485482
7,8,True,True,-1202.6568586539363,-1203.7011896539361,-1203.7131076539363,-1203.738041653936
8,9,True,True,-1202.3203638058396,-1203.3563308058397,-1203.3711208058396,-1203.3947978058395
9,10,True,True,-1202.5668722246069,-1203.5873632246069,-1203.606108224607,-1203.627571224607
10,11,True,True,-1201.1109002858452,-1202.132048285845,-1202.1505982858453,-1202.1720462858452
11,12,True,True,-1199.8217173022313,-1200.8452683022313,-1200.8629653022313,-1200.8847683022314
12,13,True,True,-1207.5043252140392,-1208.5406532140391,-1208.5545552140393,-1208.5789052140392
13,14,True,True,-1207.328400343603,-1208.365087343603,-1208.378973343603,-1208.403384343603
14,15,True,True,-1207.2483441866214,-1208.2849371866214,-1208.2989211866213,-1208.3233021866215
15,16,True,True,-1207.0762344384202,-1208.11294043842,-1208.1268714384203,-1208.15126543842
16,17,True,True,-1206.603904196153,-1207.641290196153,-1207.654943196153,-1207.679420196153
17,18,True,True,-1203.8953042083078,-1204.9341022083079,-1204.947069208308,-1204.9716332083078
18,19,True,True,-1200.9195386335944,-1201.9604166335944,-1201.9724916335945,-1201.9971276335943
19,20,True,True,-1197.8497317814624,-1198.8976417814624,-1198.9074257814625,-1198.9325857814624
20,21,True,True,-1198.925441883979,-1199.9702968839788,-1199.981052883979,-1200.005989883979
21,22,True,True,-1197.8095380049115,-1198.8581040049114,-1198.8677410049115,-1198.8929870049114
22,23,True,True,-1197.3550481563725,-1198.4032491563726,-1198.4131391563724,-1198.4382361563726
23,24,True,True,-1196.9828232087966,-1198.0249002087967,-1198.0367982087967,-1198.0610622087966
24,25,True,True,-1198.810532849097,-1199.839552849097,-1199.8562708490967,-1199.878776849097
