# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7910119563         182         33124        1944         182         3.2
     2    -1121.7932449966         186         34596        5322         244        11.2
     3    -1121.7947001475         196         38416        5342         308        12.1
     4    -1121.7996214377         184         33856        5322         344        13.2
     5    -1121.8000291981         184         33856        5299         380        13.9
     6    -1121.8001375721         191         36481        5285         407        14.9
     7    -1121.8003456502         197         38809        5278         435        15.8
     8    -1121.8006880798         179         32041        5285         450        16.1
     9    -1121.8007893235         180         32400        5285         466        16.6
    10    -1121.8009918452         186         34596        5315         484        17.2
    11    -1121.8010507122         193         37249        5318         506        17.9
    12    -1121.8011872759         189         35721        5344         519        18.7
    13    -1121.8012421428         174         30276        5323         537        19.1
    14    -1121.8014301652         185         34225        5334         561        20.0
    15    -1121.8015046151         180         32400        5291         580        21.0
    16    -1121.8016065056         185         34225        5339         594        21.5
    17    -1121.8017892414         185         34225        5284         608        22.5
    18    -1121.8018133833         175         30625        5310         616        22.9
    19    -1121.8018746881         196         38416        5300         637        23.9
    20    -1121.8019723137         188         35344        5317         647        24.5
    21    -1121.8020584808         186         34596        5281         657        25.1
    22    -1121.8020957222         183         33489        5322         667        25.5
    23    -1121.8021183595         188         35344        5332         676        26.0
    24    -1121.8021635314         186         34596        5269         684        26.5
    25    -1121.8021951101         175         30625        5361         689        27.3
    26    -1121.8022149395         194         37636        5299         699        27.5
    27    -1121.8022412342         179         32041        5311         707        27.9
    28    -1121.8022611539         181         32761        5290         714        28.2
    29    -1121.8022963193         178         31684        5344         721        28.8
    30    -1121.8023021124         183         33489        5328         726        29.2
    31    -1121.8023100185         183         33489        5320         734        29.4
    32    -1121.8023301877         187         34969        5313         742        30.2
    33    -1121.8023566491         186         34596        5341         749        30.6
    34    -1121.8023666014         175         30625        5275         751        31.0
    35    -1121.8023933148         181         32761        5315         756        31.3
    36    -1121.8024177671         191         36481        5324         760        31.5
    37    -1121.8024430906         170         28900        5312         766        31.8
    38    -1121.8024580799         177         31329        5306         773        32.0
    39    -1121.8024620125         185         34225        5286         776        32.7
    40    -1121.8024702527         178         31684        5316         780        33.3
    41    -1121.8026759691         183         33489        5370         789        34.8
    42    -1121.8026857453         183         33489        5345         795        35.2
    43    -1121.8026990440         178         31684        5322         798        35.8
    44    -1121.8027280353         193         37249        5323         804        35.8
    45    -1121.8027357218         189         35721        5296         808        36.3
    46    -1121.8027567379         166         27556        5367         811        36.8
    47    -1121.8027639994         182         33124        5300         818        37.2
    48    -1121.8027831885         187         34969        5289         821        37.8
    49    -1121.8027857453         181         32761        5340         824        38.0
    50    -1121.8028008249         185         34225        5344         827        38.2
    51    -1121.8028422892         179         32041        5259         837        38.6
    52    -1121.8028477471         181         32761        5342         839        39.3
    53    -1121.8028692093         197         38809        5323         844        39.6
    54    -1121.8028785070         171         29241        5276         846        39.7
    55    -1121.8028830012         192         36864        5288         851        40.0
    56    -1121.8028871313         180         32400        5323         856        40.5
    57    -1121.8028935289         181         32761        5371         860        41.2
    58    -1121.8028936639         166         27556        5290         862        41.1
    59    -1121.8028958258         196         38416        5303         867        41.4
    60    -1121.8029058171         187         34969        5328         869        42.6
    61    -1121.8029213140         181         32761        5276         875        41.9
    62    -1121.8029271086         179         32041        5322         881        42.6
    63    -1121.8029290233         184         33856        5296         882        42.8
    64    -1121.8029647845         197         38809        5335         886        43.1
    65    -1121.8029656183         170         28900        5310         887        43.4
    66    -1121.8029659017         185         34225        5294         888        43.7
    67    -1121.8029660066         183         33489        5314         889        43.5
    68    -1121.8029871271         182         33124        5301         892        43.5
    69    -1121.8029876339         185         34225        5328         893        43.9
    70    -1121.8029924338         186         34596        5267         895        43.9
    71    -1121.8030146393         179         32041        5329         901        44.5
    72    -1121.8030245956         190         36100        5288         907        45.0
    73    -1121.8030254932         189         35721        5322         910        45.2
    74    -1121.8030271020         171         29241        5307         913        45.9
    75    -1121.8030403944         181         32761        5295         916        45.8
    76    -1121.8030435146         185         34225        5284         919        46.0
    77    -1121.8030470985         173         29929        5307         923        46.2
    78    -1121.8030679560         178         31684        5291         926        46.7
    79    -1121.8030816374         178         31684        5307         929        47.0
    80    -1121.8030882953         195         38025        5330         934        47.5
    81    -1121.8030899595         187         34969        5301         938        47.8
    82    -1121.8030951277         177         31329        5287         942        48.3
    83    -1121.8031048612         188         35344        5289         943        48.5
    84    -1121.8031051424         186         34596        5347         946        48.5
    85    -1121.8031163247         184         33856        5253         947        48.8
    86    -1121.8031243576         188         35344        5271         949        49.8
    87    -1121.8031301869         194         37636        5299         952        49.2
    88    -1121.8031329601         196         38416        5289         954        49.6
    89    -1121.8031346151         184         33856        5307         955        49.8
    90    -1121.8031350910         179         32041        5380         956        49.6
    91    -1121.8031363386         192         36864        5287         958        49.8
    92    -1121.8031472693         194         37636        5297         961        50.0
    93    -1121.8031519299         177         31329        5314         962        50.0
    94    -1121.8031554380         179         32041        5283         964        50.4
    95    -1121.8031568050         183         33489        5316         966        50.9
    96    -1121.8031657864         179         32041        5335         969        51.1
    97    -1121.8031677218         183         33489        5292         971        51.1
    98    -1121.8031761863         191         36481        5322         974        51.6
    99    -1121.8031820564         181         32761        5307         978        51.6
   100    -1121.8031825862         173         29929        5273         981        52.1
   101    -1121.8031843891         182         33124        5331         983        52.1
   102    -1121.8031853308         188         35344        5291         985        52.4
   103    -1121.8031868438         184         33856        5286         987        52.7
   104    -1121.8031904066         181         32761        5304         989        53.0
   105    -1121.8031955647         176         30976        5307         990        52.8
   106    -1121.8031994028         172         29584        5337         992        53.1
   107    -1121.8032040890         192         36864        5329         995        53.2
   108    -1121.8032119254         181         32761        5350         998        53.5
   109    -1121.8032179339         188         35344        5303        1001        54.1
   110    -1121.8032183354         183         33489        5314        1003        54.4
   111    -1121.8032191327         191         36481        5335        1007        54.5
