# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7899679434         186         34596        2599         185         3.0
     2    -1121.7963874418         185         34225        7425         243        16.1
     3    -1121.7980400379         183         33489        7357         287        16.7
     4    -1121.7996075686         189         35721        7449         330        17.5
     5    -1121.7999723882         167         27889        7433         355        18.2
     6    -1121.8000481347         188         35344        7460         387        19.0
     7    -1121.8002080307         174         30276        7382         410        19.6
     8    -1121.8005749757         173         29929        7397         434        20.4
     9    -1121.8006932484         185         34225        7442         454        20.8
    10    -1121.8007542788         169         28561        7446         465        21.5
    11    -1121.8008090448         180         32400        7401         479        22.0
    12    -1121.8009029390         184         33856        7444         500        22.5
    13    -1121.8009568651         174         30276        7425         510        23.0
    14    -1121.8011554536         185         34225        7440         528        23.4
    15    -1121.8011933405         182         33124        7414         540        24.1
    16    -1121.8012496988         178         31684        7391         555        24.6
    17    -1121.8013246405         177         31329        7442         566        25.1
    18    -1121.8014157463         189         35721        7409         582        25.7
    19    -1121.8014565121         178         31684        7470         595        26.4
    20    -1121.8015283446         162         26244        7412         609        26.8
    21    -1121.8015654637         178         31684        7407         618        27.7
    22    -1121.8016900851         181         32761        7399         630        28.6
    23    -1121.8017178589         173         29929        7481         639        28.7
    24    -1121.8017557027         193         37249        7417         656        29.1
    25    -1121.8017694172         177         31329        7423         669        30.2
    26    -1121.8017838381         169         28561        7418         679        30.8
    27    -1121.8018240567         175         30625        7418         692        31.2
    28    -1121.8018254994         191         36481        7411         699        32.1
    29    -1121.8018543139         174         30276        7414         706        32.3
    30    -1121.8019306050         178         31684        7450         714        32.7
    31    -1121.8020101305         192         36864        7432         721        33.4
    32    -1121.8020438309         187         34969        7425         731        34.0
    33    -1121.8020595369         173         29929        7450         738        34.3
    34    -1121.8020807929         178         31684        7440         748        34.7
    35    -1121.8021019677         177         31329        7413         757        35.7
    36    -1121.8023096889         180         32400        7462         767        36.2
    37    -1121.8023551628         183         33489        7426         774        36.8
    38    -1121.8023649911         187         34969        7451         783        37.0
    39    -1121.8023813275         186         34596        7408         792        38.0
    40    -1121.8023918192         180         32400        7406         797        38.7
    41    -1121.8024017085         180         32400        7457         805        39.5
    42    -1121.8026213349         177         31329        7427         815        41.4
    43    -1121.8026374904         178         31684        7403         825        41.9
    44    -1121.8026423780         190         36100        7405         831        42.4
    45    -1121.8026737932         191         36481        7428         846        43.6
    46    -1121.8027510389         173         29929        7404         850        44.3
    47    -1121.8027591636         185         34225        7459         854        44.5
    48    -1121.8027727098         183         33489        7385         862        45.3
    49    -1121.8027823065         177         31329        7479         866        45.8
    50    -1121.8028052061         180         32400        7422         871        46.1
    51    -1121.8028079843         184         33856        7458         875        46.5
    52    -1121.8028470403         178         31684        7412         880        47.0
    53    -1121.8028637934         190         36100        7434         884        47.6
    54    -1121.8028769568         184         33856        7478         888        48.5
    55    -1121.8029263719         168         28224        7406         893        48.1
    56    -1121.8029352833         175         30625        7423         900        48.7
    57    -1121.8029682897         187         34969        7386         904        49.3
    58    -1121.8029793156         176         30976        7409         907        49.6
    59    -1121.8029890116         184         33856        7401         911        50.2
    60    -1121.8030047560         176         30976        7433         917        50.4
    61    -1121.8030185986         173         29929        7377         922        50.9
    62    -1121.8030246463         180         32400        7450         928        51.2
    63    -1121.8030273186         174         30276        7384         932        51.6
    64    -1121.8030334603         184         33856        7435         939        52.1
    65    -1121.8030427930         179         32041        7416         943        52.6
    66    -1121.8030448224         188         35344        7452         947        53.9
    67    -1121.8030508674         187         34969        7409         955        53.5
    68    -1121.8030542736         185         34225        7386         957        54.0
    69    -1121.8030629760         182         33124        7400         959        54.5
    70    -1121.8030704477         183         33489        7411         966        54.7
    71    -1121.8030760415         201         40401        7402         972        55.4
    72    -1121.8030849015         181         32761        7432         975        55.7
    73    -1121.8031067255         176         30976        7449         978        56.1
    74    -1121.8031070766         171         29241        7407         979        56.2
    75    -1121.8031106257         190         36100        7477         983        56.6
    76    -1121.8031163005         186         34596        7380         986        56.7
    77    -1121.8031214221         186         34596        7460         988        56.9
    78    -1121.8031424326         173         29929        7429         990        57.6
    79    -1121.8031718276         178         31684        7425         994        57.8
    80    -1121.8031822185         177         31329        7377         998        58.0
    81    -1121.8032022601         181         32761        7426        1002        58.6
    82    -1121.8032023979         180         32400        7442        1005        58.7
    83    -1121.8032136346         181         32761        7436        1011        59.5
    84    -1121.8032155103         176         30976        7406        1014        59.9
    85    -1121.8032295227         174         30276        7422        1020        60.1
    86    -1121.8032342063         183         33489        7417        1023        60.5
    87    -1121.8032537248         181         32761        7444        1025        61.4
    88    -1121.8032567267         177         31329        7391        1028        61.2
    89    -1121.8032652291         186         34596        7425        1035        62.0
    90    -1121.8032685004         190         36100        7362        1038        62.5
    91    -1121.8032834268         184         33856        7475        1044        63.0
    92    -1121.8032907948         172         29584        7397        1046        63.3
    93    -1121.8032919565         182         33124        7430        1049        63.2
    94    -1121.8032926804         179         32041        7414        1052        64.0
    95    -1121.8032926953         199         39601        7407        1053        64.1
    96    -1121.8032957174         182         33124        7402        1056        64.8
    97    -1121.8033009142         177         31329        7376        1059        65.0
    98    -1121.8033066199         180         32400        7438        1063        65.2
    99    -1121.8033103816         187         34969        7447        1066        65.4
   100    -1121.8033117746         178         31684        7464        1068        65.9
   101    -1121.8033197579         182         33124        7439        1071        65.8
   102    -1121.8033233986         184         33856        7457        1076        66.4
   103    -1121.8033276455         183         33489        7437        1080        66.9
   104    -1121.8033296985         181         32761        7372        1081        67.4
   105    -1121.8033309292         184         33856        7452        1082        67.5
   106    -1121.8033398132         186         34596        7417        1084        67.8
   107    -1121.8033452976         185         34225        7437        1088        68.1
   108    -1121.8033469213         185         34225        7459        1090        68.4
   109    -1121.8033480298         186         34596        7446        1094        68.4
   110    -1121.8033486718         183         33489        7436        1096        69.0
   111    -1121.8033490581         179         32041        7446        1099        69.1
   112    -1121.8033519998         177         31329        7407        1103        69.9
   113    -1121.8033529074         178         31684        7439        1104        69.9
   114    -1121.8033531684         176         30976        7429        1106        70.9
   115    -1121.8033534548         172         29584        7436        1108        70.4
   116    -1121.8033549100         168         28224        7445        1110        70.7
   117    -1121.8033568001         184         33856        7373        1115        71.2
   118    -1121.8033593728         184         33856        7446        1118        71.6
   119    -1121.8033596894         172         29584        7405        1119        71.7
   120    -1121.8033597960         179         32041        7478        1120        71.8
   121    -1121.8033618566         180         32400        7416        1122        72.0
   122    -1121.8033619590         184         33856        7401        1123        72.2
   123    -1121.8033636233         181         32761        7431        1124        72.2
   124    -1121.8033637830         162         26244        7402        1125        72.4
   125    -1121.8033662160         178         31684        7394        1126        73.0
   126    -1121.8033664788         180         32400        7432        1127        72.7
   127    -1121.8033674273         190         36100        7441        1128        72.9
   128    -1121.8033676415         180         32400        7441        1131        73.4
   129    -1121.8033845671         181         32761        7425        1132        73.2
   130    -1121.8033854626         191         36481        7411        1136        73.5
   131    -1121.8033870466         175         30625        7426        1137        74.8
   132    -1121.8033876488         190         36100        7471        1139        74.0
   133    -1121.8033883357         178         31684        7424        1142        74.4
   134    -1121.8033888660         177         31329        7404        1143        74.5
   135    -1121.8033893159         181         32761        7449        1144        74.7
   136    -1121.8033909857         175         30625        7439        1148        75.1
   137    -1121.8033914699         171         29241        7480        1151        75.6
   138    -1121.8033952936         185         34225        7462        1153        75.8
   139    -1121.8033957256         187         34969        7390        1156        76.7
   140    -1121.8033960308         171         29241        7405        1157        76.3
   141    -1121.8033995840         182         33124        7399        1159        76.6
   142    -1121.8033996348         177         31329        7449        1161        76.6
   143    -1121.8034012148         181         32761        7439        1162        76.8
   144    -1121.8034014244         181         32761        7429        1163        76.9
   145    -1121.8034025744         177         31329        7395        1164        77.2
   146    -1121.8034108373         175         30625        7425        1167        77.2
   147    -1121.8034109589         178         31684        7423        1168        77.8
   148    -1121.8034133938         175         30625        7410        1169        77.8
   149    -1121.8034134012         183         33489        7419        1169        77.9
