# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7947227214         256         65536        3401         234         3.6
     2    -1121.7988184722         346        119716       51434         428        36.5
     3    -1121.7998901843         365        133225       51450         597        42.3
     4    -1121.8010576804         355        126025       51434         764        49.6
     5    -1121.8016175339         368        135424       51365         891        59.2
     6    -1121.8019235423         377        142129       51326        1012        68.7
     7    -1121.8022444802         362        131044       51362        1122        78.1
     8    -1121.8026466827         368        135424       51426        1214        90.0
     9    -1121.8028291396         389        151321       51393        1300       101.0
    10    -1121.8030362244         358        128164       51429        1376       112.2
    11    -1121.8032259162         380        144400       51420        1472       124.6
    12    -1121.8033202787         364        132496       51464        1550       138.0
    13    -1121.8034047965         358        128164       51389        1612       149.2
    14    -1121.8035186017         339        114921       51481        1666       158.7
    15    -1121.8035996790         350        122500       51439        1730       169.8
    16    -1121.8037043471         368        135424       51503        1790       181.9
    17    -1121.8040806666         360        129600       51387        1850       194.9
    18    -1121.8041264945         346        119716       51363        1897       203.2
    19    -1121.8042027895         361        130321       51397        1966       217.4
    20    -1121.8042736565         359        128881       51390        2017       230.8
    21    -1121.8043742521         380        144400       51536        2070       240.8
    22    -1121.8044409109         360        129600       51450        2128       259.3
    23    -1121.8044843649         348        121104       51563        2175       278.2
    24    -1121.8045035415         361        130321       51424        2226       290.7
    25    -1121.8045727135         373        139129       51421        2291       306.6
    26    -1121.8046167103         360        129600       51329        2337       324.2
    27    -1121.8046399983         336        112896       51484        2372       336.9
    28    -1121.8046564555         343        117649       51499        2411       347.6
    29    -1121.8047014069         350        122500       51331        2451       359.6
    30    -1121.8047504122         359        128881       51456        2486       373.8
    31    -1121.8047985464         355        126025       51359        2528       382.7
    32    -1121.8048124726         364        132496       51460        2570       400.5
    33    -1121.8048227848         356        126736       51502        2613       414.5
    34    -1121.8048349106         385        148225       51413        2652       430.3
    35    -1121.8048669827         353        124609       51462        2691       444.2
    36    -1121.8048896252         355        126025       51387        2728       455.5
    37    -1121.8049217212         375        140625       51305        2763       471.0
    38    -1121.8049290353         356        126736       51387        2795       480.6
    39    -1121.8049411813         361        130321       51443        2830       496.0
    40    -1121.8049558293         360        129600       51420        2855       506.6
    41    -1121.8049722520         367        134689       51395        2884       521.3
