# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7924937288         314         98596        4169         260         4.3
     2    -1121.7994075774         424        179776       94977         499        55.9
     3    -1121.8003855513         408        166464       94897         699        64.1
     4    -1121.8010190481         409        167281       95098         862        73.8
     5    -1121.8015136928         394        155236       94872        1007        84.7
     6    -1121.8021042753         415        172225       94905        1138        98.3
     7    -1121.8023904446         426        181476       95013        1265       111.8
     8    -1121.8028740861         418        174724       94947        1376       123.8
     9    -1121.8031013711         421        177241       95168        1473       142.5
    10    -1121.8033238342         419        175561       95026        1576       160.0
    11    -1121.8035302488         422        178084       95022        1678       175.3
    12    -1121.8036778648         413        170569       95015        1760       193.8
    13    -1121.8037967784         389        151321       94990        1835       207.5
    14    -1121.8039457281         421        177241       95061        1903       223.6
    15    -1121.8040422982         416        173056       95092        1967       237.1
    16    -1121.8040908019         392        153664       95075        2038       251.9
    17    -1121.8041340473         413        170569       95134        2111       271.7
    18    -1121.8041860081         414        171396       95089        2173       285.0
    19    -1121.8042583801         416        173056       95030        2237       302.0
    20    -1121.8043210211         387        149769       94818        2283       317.1
    21    -1121.8043855361         418        174724       95010        2344       336.0
    22    -1121.8044565293         419        175561       94981        2394       360.7
    23    -1121.8045120292         396        156816       94918        2437       372.0
    24    -1121.8045897947         425        180625       94957        2488       391.0
    25    -1121.8046737340         433        187489       95108        2547       405.1
    26    -1121.8047043692         411        168921       95087        2612       426.6
    27    -1121.8047327293         414        171396       94882        2662       450.6
    28    -1121.8047660890         439        192721       95052        2715       466.2
    29    -1121.8048195758         426        181476       95288        2780       488.9
    30    -1121.8048406435         410        168100       95040        2825       504.0
    31    -1121.8048711868         406        164836       94976        2871       529.4
    32    -1121.8048908944         407        165649       95022        2913       546.9
    33    -1121.8049131917         431        185761       95122        2957       563.1
    34    -1121.8049861434         415        172225       95131        2994       582.5
    35    -1121.8050061418         417        173889       94892        3038       601.4
    36    -1121.8050451683         403        162409       94998        3071       618.9
    37    -1121.8051262098         401        160801       94889        3111       632.8
    38    -1121.8051485202         421        177241       95034        3140       652.2
    39    -1121.8051596099         420        176400       94995        3173       669.6
    40    -1121.8051692492         419        175561       94959        3203       688.2
    41    -1121.8051785640         434        188356       94928        3241       701.2
    42    -1121.8052037435         396        156816       95066        3275       717.7
    43    -1121.8052267639         412        169744       94941        3312       739.8
    44    -1121.8052392357         397        157609       94881        3346       754.8
    45    -1121.8052612242         394        155236       95061        3369       769.6
    46    -1121.8052706095         418        174724       95165        3397       781.3
    47    -1121.8052760234         412        169744       95015        3431       818.2
    48    -1121.8052831660         432        186624       94935        3462       837.6
    49    -1121.8052880290         406        164836       94902        3492       854.0
    50    -1121.8052919668         406        164836       95026        3518       871.2
    51    -1121.8053048152         393        154449       95068        3543       885.1
    52    -1121.8053123120         426        181476       95053        3584       905.0
    53    -1121.8053220080         419        175561       94965        3622       927.4
    54    -1121.8053252744         404        163216       95133        3649       944.7
    55    -1121.8053330818         408        166464       94904        3684       960.3
    56    -1121.8053512677         410        168100       95085        3710       978.6
    57    -1121.8053554930         396        156816       94920        3743      1003.1
    58    -1121.8053742863         428        183184       95033        3782      1029.4
    59    -1121.8053980473         438        191844       95015        3814      1040.9
    60    -1121.8054024089         388        150544       95057        3840      1061.4
    61    -1121.8054118730         407        165649       94977        3874      1083.8
    62    -1121.8054193497         399        159201       95211        3896      1105.1
    63    -1121.8054248120         419        175561       95064        3930      1122.2
    64    -1121.8054334077         395        156025       94990        3958      1138.5
    65    -1121.8054401331         406        164836       94980        3981      1157.1
    66    -1121.8054833953         410        168100       94914        4010      1182.4
    67    -1121.8054886643         425        180625       95073        4031      1197.5
    68    -1121.8054911685         416        173056       94912        4054      1206.5
    69    -1121.8054951556         419        175561       95135        4069      1228.7
    70    -1121.8054973156         422        178084       95145        4098      1242.3
    71    -1121.8055041978         416        173056       95152        4112      1257.1
    72    -1121.8055097333         442        195364       95093        4139      1274.7
    73    -1121.8055115605         409        167281       95075        4156      1287.1
    74    -1121.8055128456         402        161604       94973        4176      1300.3
    75    -1121.8055262107         428        183184       95020        4198      1319.7
    76    -1121.8055290461         409        167281       95021        4218      1333.1
    77    -1121.8055350930         411        168921       95130        4236      1346.8
    78    -1121.8055396361         422        178084       95072        4260      1368.2
    79    -1121.8055506561         396        156816       95054        4281      1381.8
    80    -1121.8055564548         404        163216       95031        4294      1388.7
    81    -1121.8055583948         407        165649       95029        4316      1407.7
    82    -1121.8055629571         412        169744       95052        4332      1418.4
    83    -1121.8055664112         393        154449       94989        4352      1435.9
    84    -1121.8055699307         417        173889       95095        4376      1455.8
    85    -1121.8056089894         427        182329       94993        4399      1470.0
    86    -1121.8056106622         416        173056       95014        4421      1489.3
    87    -1121.8056122081         416        173056       95027        4439      1504.8
    88    -1121.8056147893         415        172225       95092        4460      1521.3
    89    -1121.8056169297         417        173889       95030        4482      1545.9
    90    -1121.8056185079         414        171396       95087        4508      1556.2
    91    -1121.8056213813         407        165649       94911        4528      1574.3
    92    -1121.8056255850         426        181476       94952        4550      1593.5
    93    -1121.8056272067         395        156025       95076        4567      1610.6
    94    -1121.8056311007         395        156025       95029        4582      1623.4
    95    -1121.8056327438         417        173889       95101        4595      1640.1
    96    -1121.8056377909         427        182329       94841        4609      1650.1
    97    -1121.8056396972         403        162409       94951        4630      1663.8
    98    -1121.8056409178         405        164025       94939        4648      1679.4
    99    -1121.8056432524         409        167281       94996        4669      1697.9
