# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7901177112         178         31684        1096         177         4.4
     2    -1121.7940536749         172         29584        2718         231         8.8
     3    -1121.7961471003         183         33489        2697         272        10.3
     4    -1121.7976825802         180         32400        2689         305        10.2
     5    -1121.7979621662         176         30976        2694         327        11.0
     6    -1121.7985608466         187         34969        2706         353        11.9
     7    -1121.7988483980         181         32761        2684         368        12.6
     8    -1121.7989425376         186         34596        2706         387        13.3
     9    -1121.7992735751         187         34969        2673         406        13.4
    10    -1121.7993513727         191         36481        2669         420        14.0
    11    -1121.7993971409         175         30625        2695         431        15.3
    12    -1121.7994573280         174         30276        2672         446        15.7
    13    -1121.7999219401         184         33856        2671         458        16.0
    14    -1121.7999675242         189         35721        2688         472        15.7
    15    -1121.8000186475         180         32400        2670         484        16.2
    16    -1121.8001393611         175         30625        2671         496        16.3
    17    -1121.8001563219         175         30625        2660         505        16.7
    18    -1121.8003131115         180         32400        2668         516        18.0
    19    -1121.8006101393         181         32761        2716         527        20.0
    20    -1121.8006538558         181         32761        2715         535        18.0
    21    -1121.8006715637         179         32041        2668         542        18.0
    22    -1121.8007188712         157         24649        2697         550        19.8
    23    -1121.8007211739         170         28900        2676         555        19.0
    24    -1121.8007539294         180         32400        2683         558        21.0
    25    -1121.8007661592         184         33856        2689         564        20.3
    26    -1121.8008277117         181         32761        2675         574        19.6
    27    -1121.8008696345         175         30625        2668         580        20.2
    28    -1121.8008761915         175         30625        2685         587        21.2
    29    -1121.8008802467         185         34225        2651         591        22.0
    30    -1121.8008880180         173         29929        2669         596        23.2
    31    -1121.8008938759         178         31684        2670         600        18.4
    32    -1121.8008949629         181         32761        2715         604        18.7
    33    -1121.8009208769         180         32400        2696         605        18.8
    34    -1121.8009580583         181         32761        2710         609        18.8
    35    -1121.8009589478         180         32400        2677         610        19.2
    36    -1121.8009634584         184         33856        2659         612        19.2
    37    -1121.8009636273         188         35344        2691         614        19.0
    38    -1121.8009659412         185         34225        2680         615        19.1
    39    -1121.8009796810         177         31329        2690         619        19.2
    40    -1121.8009867153         176         30976        2661         622        19.6
    41    -1121.8009890162         188         35344        2673         625        19.8
    42    -1121.8009897482         186         34596        2693         626        19.8
    43    -1121.8009958486         177         31329        2694         629        20.2
    44    -1121.8009961431         181         32761        2699         631        20.0
    45    -1121.8010028473         177         31329        2669         632        19.9
    46    -1121.8010141041         192         36864        2708         635        20.4
    47    -1121.8010339291         179         32041        2673         637        20.2
    48    -1121.8010355191         177         31329        2688         640        20.5
    49    -1121.8010386555         186         34596        2695         643        20.7
    50    -1121.8010485357         177         31329        2683         647        20.8
    51    -1121.8010507326         186         34596        2687         650        21.0
    52    -1121.8010507390         175         30625        2673         651        21.0
