# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1119.9119657993         994        988036       49999          27         9.6
     2    -1119.9945921720         997        994009       49999          22         8.6
     3    -1120.2060299199         995        990025       49999          18        10.2
     4    -1120.5166393860         988        976144       49999          27        10.3
     5    -1120.6804619304         994        988036       49999          16        10.7
     6    -1120.6816974838         992        984064       49999          24         6.5
     7    -1120.7286996991         996        992016       49999          33         7.8
     8    -1120.9746478524         992        984064       49999          12         9.6
     9    -1120.9750147066         996        992016       49999          16         9.2
    10    -1120.9850267380         995        990025       49999          19         8.4
    11    -1120.9861794405         992        984064       49999          21         8.4
    12    -1120.9863740929         991        982081       49999          23         7.9
    13    -1120.9864328239         989        978121       49999          24         8.3
    14    -1120.9866273953         997        994009       49999          27         8.7
    15    -1120.9885138880         991        982081       49999          32         8.6
    16    -1120.9895894706         993        986049       49999          36         9.4
    17    -1120.9960435852         995        990025       49999          44         9.0
    18    -1120.9963552915         996        992016       49999          47         9.3
    19    -1120.9973275015         997        994009       49999          53         9.5
    20    -1120.9982913417         993        986049       49999          56         9.4
    21    -1121.0054074787         994        988036       49999          59         9.1
    22    -1121.0069203772         988        976144       49999          62         8.9
    23    -1121.0075277085         992        984064       49999          69         8.6
    24    -1121.0076631665         995        990025       49999          75         9.2
    25    -1121.0078090702         993        986049       49999          78         8.7
    26    -1121.0082612274         994        988036       49999          79         9.5
    27    -1121.0088095033         990        980100       49999          81         8.9
    28    -1121.0096439328         994        988036       49999          86         9.2
    29    -1121.0097757250         988        976144       49999          87         9.6
    30    -1121.0098532051         998        996004       49999          86         9.4
    31    -1121.0100217107         996        992016       49999          88        10.0
    32    -1121.0111892556         997        994009       49999          94        10.1
    33    -1121.0117334959         989        978121       49999          98         9.5
    34    -1121.0164182626         990        980100       49999         103        10.1
    35    -1121.0173368840         987        974169       49999         108        10.6
    36    -1121.0174433543         987        974169       49999         109        10.3
    37    -1121.0593975975         994        988036       49999          86        11.7
    38    -1121.0625618662         992        984064       49999          86        12.1
    39    -1121.0631765331         995        990025       49999          85        12.4
    40    -1121.0643917907         995        990025       49999          86        12.3
    41    -1121.0646287126         995        990025       49999          89        12.3
    42    -1121.0663084104         993        986049       49999          91        12.6
    43    -1121.0666690978         993        986049       49999          94        12.4
    44    -1121.0670732246         996        992016       49999          94        12.3
    45    -1121.0679932317         990        980100       49999         105        14.1
    46    -1121.0695022030         997        994009       49999         108        14.2
    47    -1121.0708463845         996        992016       49999         116        13.6
    48    -1121.0715587873         992        984064       49999         119        13.6
    49    -1121.0722774608         993        986049       49999         125        14.8
    50    -1121.0725852428         994        988036       49999         130        14.5
    51    -1121.0731145076         992        984064       49999         135        14.6
    52    -1121.0735913371         993        986049       49999         141        15.1
    53    -1121.0741452213         993        986049       49999         144        14.5
    54    -1121.0743116001         994        988036       49999         147        14.4
    55    -1121.0743351396         996        992016       49999         152        15.0
    56    -1121.0746686571         995        990025       49999         160        15.5
    57    -1121.0752564419         992        984064       49999         165        15.8
    58    -1121.0753014742        1000       1000000       49999         167        15.9
    59    -1121.0977550535         997        994009       49999         175        14.7
    60    -1121.1215967157         991        982081       49999         181        16.5
    61    -1121.1222270129         995        990025       49999         190        20.2
    62    -1121.1222870418         996        992016       49999         194        17.2
    63    -1121.1223727622         992        984064       49999         198        18.0
    64    -1121.1227281059         993        986049       49999         205        21.2
    65    -1121.1229293594         993        986049       49999         209        17.3
    66    -1121.1557042098         992        984064       49999         198        17.5
    67    -1121.1563696749         990        980100       49999         199        18.8
    68    -1121.1568514406         992        984064       49999         201        19.3
    69    -1121.1573651697         993        986049       49999         212        19.5
    70    -1121.1594622093         993        986049       49999         223        20.1
    71    -1121.1708305903         995        990025       49999         214        20.1
    72    -1121.1713519631         994        988036       49999         220        20.1
    73    -1121.1721639544         993        986049       49999         222        20.0
    74    -1121.1724474622         992        984064       49999         223        21.2
    75    -1121.1727902115         990        980100       49999         226        22.6
    76    -1121.1730023816         995        990025       49999         239        23.1
    77    -1121.1737605721         998        996004       49999         241        24.2
    78    -1121.1740115832         990        980100       49999         246        23.2
    79    -1121.1754964543         990        980100       49999         251        24.2
    80    -1121.1758940323         993        986049       49999         259        22.8
    81    -1121.1759552808         996        992016       49999         262        23.5
    82    -1121.1763275311         991        982081       49999         267        23.2
    83    -1121.1769032937         994        988036       49999         274        24.5
    84    -1121.1788120652         991        982081       49999         280        26.2
    85    -1121.1791984706         999        998001       49999         288        25.2
    86    -1121.1793549621         988        976144       49999         294        24.8
    87    -1121.1796382784         994        988036       49999         297        26.8
    88    -1121.1803956434         989        978121       49999         303        28.8
    89    -1121.1805766756         994        988036       49999         305        29.1
    90    -1121.1808480301         996        992016       49999         311        29.4
    91    -1121.1809795639         987        974169       49999         317        29.3
    92    -1121.1811103383         996        992016       49999         321        28.4
    93    -1121.1848603034         988        976144       49999         326        27.4
    94    -1121.1849566696         995        990025       49999         329        27.1
    95    -1121.1855992271         997        994009       49999         333        26.6
    96    -1121.1857982961         996        992016       49999         334        25.3
    97    -1121.1864541228         990        980100       49999         344        26.0
    98    -1121.1882402517         995        990025       49999         353        25.0
    99    -1121.1882747357         990        980100       49999         357        26.2
   100    -1121.1886644763         992        984064       49999         365        27.2
   101    -1121.1887995647         993        986049       49999         372        27.2
   102    -1121.1889172371         994        988036       49999         378        30.5
   103    -1121.1889919014         996        992016       49999         378        30.2
   104    -1121.1893920971         997        994009       49999         381        31.2
   105    -1121.1905125175         994        988036       49999         387        31.7
