# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7588504484         936        876096       51095          31         4.0
     2    -1121.7751470004         816        665856       52697          71         9.4
     3    -1121.7803730905         808        652864       52688          86         9.8
     4    -1121.7847311391         823        677329       52692          96        10.2
     5    -1121.7880635963         805        648025       52716         109        10.0
     6    -1121.7885723364         844        712336       52706         114        11.0
     7    -1121.7899832493         825        680625       52697         118        11.0
     8    -1121.7915289999         827        683929       52662         126        10.0
     9    -1121.7920575286         835        697225       52697         129        10.4
    10    -1121.7922313596         810        656100       52690         136        10.3
    11    -1121.7922890635         815        664225       52705         138        10.1
    12    -1121.7927142676         807        651249       52689         142        10.3
    13    -1121.7932555330         798        636804       52648         148        10.6
    14    -1121.7932996455         800        640000       52673         151        10.4
    15    -1121.7938887985         803        644809       52648         155        10.4
    16    -1121.7939134134         801        641601       52703         157        10.7
    17    -1121.7944769813         830        688900       52678         168        11.0
    18    -1121.7945501007         830        688900       52717         173        10.9
    19    -1121.7947195654         815        664225       52687         175        10.8
    20    -1121.7948410533         831        690561       52680         177        11.2
    21    -1121.7948810473         801        641601       52702         180        11.1
    22    -1121.7949433459         812        659344       52699         183        11.0
    23    -1121.7950223796         827        683929       52660         185        11.3
    24    -1121.7954169152         819        670761       52691         190        11.3
    25    -1121.7995125566         834        695556       52650         191        11.4
    26    -1121.7997107212         847        717409       52669         192        11.1
    27    -1121.7997918599         812        659344       52678         198        11.4
    28    -1121.8000826023         834        695556       52678         203        11.5
    29    -1121.8001105339         812        659344       52711         204        11.7
    30    -1121.8001327768         815        664225       52707         206        11.3
    31    -1121.8001924567         845        714025       52662         207        11.6
    32    -1121.8002143825         819        670761       52700         209        11.6
    33    -1121.8002361674         799        638401       52683         211        11.3
    34    -1121.8002533559         811        657721       52662         211        11.3
    35    -1121.8003379819         828        685584       52681         216        11.5
    36    -1121.8003573171         818        669124       52676         220        11.8
    37    -1121.8003961145         824        678976       52687         225        11.6
    38    -1121.8004245615         809        654481       52709         225        11.8
    39    -1121.8005237061         819        670761       52705         228        11.8
    40    -1121.8005594215         792        627264       52701         235        11.7
    41    -1121.8006243420         823        677329       52692         237        12.5
    42    -1121.8006401417         828        685584       52679         239        11.9
    43    -1121.8006716563         814        662596       52671         239        12.0
    44    -1121.8006871504         808        652864       52676         241        12.0
    45    -1121.8007303750         813        660969       52670         243        12.1
    46    -1121.8009184199         827        683929       52705         247        11.7
    47    -1121.8009113079         826        682276       52702         246        12.4
