# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7676127441         890        792100       51943          48         4.0
     2    -1121.7780602240         691        477481       55271         104        13.5
     3    -1121.7837840778         725        525625       55305         118        14.4
     4    -1121.7868716844         681        463761       55255         130        17.6
     5    -1121.7931478800         689        474721       55310         142        15.1
     6    -1121.7951429504         693        480249       55342         146        14.5
     7    -1121.7966772619         693        480249       55273         153        14.6
     8    -1121.7972457442         697        485809       55296         161        14.3
     9    -1121.7983164951         706        498436       55289         172        14.9
    10    -1121.7992419919         693        480249       55321         184        14.8
    11    -1121.7994854237         675        455625       55293         190        14.7
    12    -1121.7996268261         682        465124       55355         193        15.3
    13    -1121.7997739012         676        456976       55314         200        14.9
    14    -1121.7998177499         711        505521       55277         203        15.2
    15    -1121.8000920263         700        490000       55313         206        15.4
    16    -1121.8001904759         667        444889       55281         209        15.1
    17    -1121.8002556873         679        461041       55348         217        15.3
    18    -1121.8003081000         697        485809       55312         224        15.4
    19    -1121.8003448481         701        491401       55340         228        15.2
    20    -1121.8005399972         686        470596       55324         236        15.8
    21    -1121.8005688438         713        508369       55311         236        15.6
    22    -1121.8006973081         669        447561       55351         240        15.4
    23    -1121.8007967116         686        470596       55363         250        15.6
    24    -1121.8008164867         699        488601       55317         253        15.9
    25    -1121.8009343276         660        435600       55322         255        15.9
    26    -1121.8010031543         698        487204       55309         260        15.7
    27    -1121.8011032201         699        488601       55300         266        15.9
    28    -1121.8011027946         685        469225       55285         265        16.1
    29    -1121.8011559185         698        487204       55303         262        15.9
    30    -1121.8012525070         700        490000       55298         262        16.0
    31    -1121.8012806604         668        446224       55305         267        16.0
    32    -1121.8012861683         698        487204       55288         266        15.9
    33    -1121.8013655535         655        429025       55331         272        16.3
    34    -1121.8015694539         669        447561       55283         275        16.2
    35    -1121.8016640908         687        471969       55298         279        16.4
    36    -1121.8016724443         684        467856       55309         280        16.3
    37    -1121.8017202861         710        504100       55310         283        16.7
    38    -1121.8017447698         670        448900       55306         286        16.6
    39    -1121.8017882112         693        480249       55329         287        16.6
    40    -1121.8018107902         688        473344       55315         290        16.4
    41    -1121.8018318670         691        477481       55308         290        16.6
    42    -1121.8018682280         693        480249       55326         291        16.8
    43    -1121.8019233802         651        423801       55347         294        16.6
    44    -1121.8020073458         686        470596       55331         300        16.9
    45    -1121.8020604109         694        481636       55271         301        17.0
    46    -1121.8020766705         666        443556       55335         302        16.9
    47    -1121.8020919958         692        478864       55288         304        16.9
    48    -1121.8021313747         668        446224       55348         310        17.0
    49    -1121.8021414943         710        504100       55320         312        17.3
    50    -1121.8021753884         666        443556       55302         314        16.7
    51    -1121.8021762795         703        494209       55331         315        17.0
    52    -1121.8022143775         687        471969       55340         318        17.2
    53    -1121.8022427598         678        459684       55345         321        17.3
    54    -1121.8022458556         670        448900       55284         322        17.2
    55    -1121.8023193698         671        450241       55302         324        17.2
    56    -1121.8023482910         682        465124       55318         328        16.9
    57    -1121.8023555393         698        487204       55335         330        17.6
    58    -1121.8023703563         647        418609       55328         331        17.3
    59    -1121.8024011586         695        483025       55333         332        17.5
    60    -1121.8024739219         687        471969       55304         336        17.7
    61    -1121.8026153206         688        473344       55282         333        17.4
    62    -1121.8026200499         692        478864       55287         334        17.4
    63    -1121.8026429763         684        467856       55311         337        17.6
    64    -1121.8026694774         669        447561       55334         338        17.8
    65    -1121.8026985889         697        485809       55327         337        18.9
    66    -1121.8027164659         674        454276       55280         340        17.6
    67    -1121.8027111210         715        511225       55306         338        17.4
    68    -1121.8027242259         694        481636       55280         344        17.7
    69    -1121.8027313108         710        504100       55328         345        17.8
    70    -1121.8027306085         670        448900       55298         345        17.8
    71    -1121.8027519006         685        469225       55316         348        17.8
    72    -1121.8027617342         681        463761       55325         349        17.6
    73    -1121.8027682900         685        469225       55285         350        17.9
    74    -1121.8028060858         702        492804       55279         352        17.8
    75    -1121.8028248316         665        442225       55293         352        17.4
    76    -1121.8028367931         684        467856       55359         353        18.0
    77    -1121.8028454974         665        442225       55313         354        17.8
    78    -1121.8028410194         698        487204       55298         353        18.0
    79    -1121.8028469874         698        487204       55296         354        17.8
    80    -1121.8028414025         653        426409       55296         353        17.7
    81    -1121.8028581210         677        458329       55319         358        18.1
    82    -1121.8028711115         689        474721       55323         360        18.6
    83    -1121.8028718666         670        448900       55325         359        18.1
    84    -1121.8028726124         665        442225       55318         358        17.9
    85    -1121.8028997060         711        505521       55308         360        18.0
    86    -1121.8028973689         706        498436       55319         360        18.0
    87    -1121.8028891604         674        454276       55372         359        17.9
    88    -1121.8028923039         700        490000       55316         359        18.0
    89    -1121.8028984156         695        483025       55335         360        18.2
    90    -1121.8029018989         677        458329       55291         361        17.9
    91    -1121.8029179554         702        492804       55278         364        18.0
    92    -1121.8029303975         666        443556       55314         367        18.0
    93    -1121.8029621539         687        471969       55324         372        18.4
    94    -1121.8029730925         667        444889       55338         374        18.2
    95    -1121.8029826436         694        481636       55319         375        18.4
    96    -1121.8030224628         684        467856       55279         377        18.4
    97    -1121.8030400120         669        447561       55313         380        18.2
    98    -1121.8030314434         679        461041       55324         378        18.6
    99    -1121.8030339307         691        477481       55320         378        18.8
   100    -1121.8030427626         686        470596       55332         380        18.2
   101    -1121.8030493222         672        451584       55325         382        18.0
   102    -1121.8030520775         685        469225       55324         382        18.5
