# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7680488293         860        739600       52598          49         4.0
     2    -1121.7857984985         571        326041       57375         107        18.1
     3    -1121.7915689561         578        334084       57419         129        18.0
     4    -1121.7933881652         626        391876       57440         142        19.3
     5    -1121.7969159885         601        361201       57398         156        18.9
     6    -1121.7982884929         576        331776       57453         167        19.1
     7    -1121.7989077406         588        345744       57501         176        19.0
     8    -1121.7991516777         618        381924       57475         182        19.0
     9    -1121.7992802654         594        352836       57458         190        19.1
    10    -1121.7999369853         584        341056       57493         201        19.0
    11    -1121.8000425986         605        366025       57440         207        19.3
    12    -1121.8001449209         589        346921       57436         214        19.6
    13    -1121.8003868359         636        404496       57393         224        19.6
    14    -1121.8004291029         601        361201       57385         231        19.2
    15    -1121.8004956364         627        393129       57453         235        19.4
    16    -1121.8005861160         576        331776       57416         240        19.5
    17    -1121.8009321024         611        373321       57457         251        19.5
    18    -1121.8009405143         621        385641       57421         252        20.0
    19    -1121.8009641947         598        357604       57422         251        20.0
    20    -1121.8010695449         601        361201       57419         262        20.1
    21    -1121.8011232751         586        343396       57440         265        20.1
    22    -1121.8011628267         612        374544       57413         272        20.2
    23    -1121.8011683889         598        357604       57484         271        20.1
    24    -1121.8012430468         578        334084       57389         274        20.1
    25    -1121.8013028153         611        373321       57422         274        20.1
    26    -1121.8014076503         619        383161       57438         281        20.6
    27    -1121.8014575587         592        350464       57403         285        20.6
    28    -1121.8015165575         614        376996       57454         290        20.7
    29    -1121.8015775370         545        297025       57444         295        20.6
    30    -1121.8016037835         598        357604       57464         298        20.8
    31    -1121.8016218656         605        366025       57398         302        20.9
    32    -1121.8016426183         590        348100       57422         308        20.9
    33    -1121.8017795441         591        349281       57388         313        20.8
    34    -1121.8018120087         600        360000       57394         311        20.8
    35    -1121.8018282803         605        366025       57397         314        21.0
    36    -1121.8018384699         591        349281       57423         314        20.7
    37    -1121.8018581316         595        354025       57397         314        20.8
    38    -1121.8018658410         600        360000       57428         316        20.8
    39    -1121.8019139972         590        348100       57385         322        22.0
    40    -1121.8019272104         534        285156       57403         324        20.7
    41    -1121.8019227612         597        356409       57449         321        20.9
    42    -1121.8019246182         630        396900       57377         322        21.4
    43    -1121.8019374111         602        362404       57410         323        21.4
    44    -1121.8019392916         614        376996       57436         322        20.8
    45    -1121.8019485149         576        331776       57462         325        21.3
    46    -1121.8019652243         617        380689       57454         324        21.1
    47    -1121.8020034827         591        349281       57423         328        21.3
    48    -1121.8020535351         597        356409       57388         335        21.6
    49    -1121.8020581238         611        373321       57429         335        21.2
    50    -1121.8020782274         582        338724       57471         334        21.4
    51    -1121.8020878443         571        326041       57406         336        21.6
    52    -1121.8022004865         582        338724       57451         338        22.0
    53    -1121.8022292163         578        334084       57381         340        21.5
    54    -1121.8022276481         636        404496       57423         339        21.4
    55    -1121.8022513736         592        350464       57424         339        21.4
    56    -1121.8022510617         613        375769       57444         338        21.4
    57    -1121.8022744845         612        374544       57503         340        21.7
    58    -1121.8026061226         606        367236       57408         348        22.0
    59    -1121.8026271809         582        338724       57446         353        21.9
    60    -1121.8026469233         576        331776       57448         353        21.7
    61    -1121.8026611406         601        361201       57436         355        21.8
    62    -1121.8026661129         599        358801       57383         356        21.7
    63    -1121.8026689913         627        393129       57408         356        22.2
    64    -1121.8026691944         625        390625       57386         355        21.9
    65    -1121.8026840855         590        348100       57433         356        21.3
    66    -1121.8026815898         587        344569       57398         355        22.0
    67    -1121.8026874814         601        361201       57428         355        21.6
    68    -1121.8027057709         607        368449       57445         360        22.2
    69    -1121.8027040928         609        370881       57453         356        21.6
    70    -1121.8027077574         586        343396       57404         358        22.0
    71    -1121.8027278853         606        367236       57474         360        22.1
    72    -1121.8027618600         587        344569       57406         365        21.9
    73    -1121.8027823510         595        354025       57441         370        22.0
    74    -1121.8027887228         623        388129       57427         371        22.0
    75    -1121.8027915744         574        329476       57448         372        22.0
    76    -1121.8028219755         622        386884       57428         376        22.2
    77    -1121.8028142561         615        378225       57410         375        22.2
    78    -1121.8028516396         588        345744       57433         376        22.1
    79    -1121.8028583694         600        360000       57463         378        22.0
