# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7699470045         872        760384       53400          58         4.7
     2    -1121.7928106934         524        274576      101387         152        39.7
     3    -1121.7972679774         507        257049      101443         217        37.2
     4    -1121.7980138160         533        284089      101495         263        38.1
     5    -1121.7991138532         569        323761      101464         300        38.6
     6    -1121.7997916119         555        308025      101342         340        39.2
     7    -1121.8001900268         551        303601      101465         361        40.0
     8    -1121.8005427730         537        288369      101373         381        40.4
     9    -1121.8008739962         565        319225      101440         408        41.0
    10    -1121.8014184259         536        287296      101367         438        41.3
    11    -1121.8022697453         532        283024      101393         464        42.4
    12    -1121.8025155071         545        297025      101354         483        43.0
    13    -1121.8026764938         528        278784      101445         495        44.3
    14    -1121.8027348128         531        281961      101470         500        44.0
    15    -1121.8028602915         519        269361      101373         514        44.0
    16    -1121.8029739203         563        316969      101412         524        44.9
    17    -1121.8030140464         533        284089      101419         535        44.5
    18    -1121.8031974373         549        301401      101467         551        46.0
    19    -1121.8032493935         559        312481      101391         561        46.1
    20    -1121.8033905319         517        267289      101416         567        46.0
    21    -1121.8034627450         536        287296      101387         580        45.7
    22    -1121.8035328457         537        288369      101382         584        46.6
    23    -1121.8036341334         566        320356      101475         589        47.7
    24    -1121.8036543617         548        300304      101445         590        47.1
    25    -1121.8037613839         551        303601      101397         603        49.2
    26    -1121.8037901955         515        265225      101402         602        47.4
    27    -1121.8038523954         527        277729      101431         606        47.8
    28    -1121.8039037577         539        290521      101342         615        49.7
    29    -1121.8039295935         545        297025      101367         628        49.9
    30    -1121.8039539824         533        284089      101397         634        50.2
    31    -1121.8040008859         542        293764      101523         638        50.0
    32    -1121.8040448551         543        294849      101484         643        50.8
    33    -1121.8040974751         535        286225      101480         658        51.6
    34    -1121.8041157569         522        272484      101355         665        51.7
    35    -1121.8041481772         510        260100      101394         668        51.7
    36    -1121.8041769191         549        301401      101316         668        52.1
    37    -1121.8041954136         517        267289      101423         676        53.0
    38    -1121.8042182664         569        323761      101338         683        53.0
    39    -1121.8042271711         545        297025      101458         689        53.5
    40    -1121.8042398432         507        257049      101427         692        53.6
    41    -1121.8042503583         542        293764      101388         696        53.8
    42    -1121.8042766584         589        346921      101513         702        54.9
    43    -1121.8042905063         538        289444      101491         709        54.5
    44    -1121.8042943688         543        294849      101438         709        54.5
    45    -1121.8042986201         546        298116      101435         712        54.4
    46    -1121.8043130573         553        305809      101379         710        55.1
    47    -1121.8043250345         556        309136      101432         717        55.2
    48    -1121.8043397316         525        275625      101485         718        56.7
    49    -1121.8043553736         542        293764      101287         723        55.6
    50    -1121.8043974999         545        297025      101319         728        55.4
    51    -1121.8044038803         526        276676      101382         732        55.9
    52    -1121.8044007495         548        300304      101371         729        55.7
    53    -1121.8044267792         520        270400      101508         730        55.3
    54    -1121.8044327957         544        295936      101413         734        56.2
    55    -1121.8044452790         546        298116      101476         735        56.0
    56    -1121.8044732595         538        289444      101390         741        57.0
    57    -1121.8044736013         556        309136      101441         742        57.0
    58    -1121.8044789080         553        305809      101500         738        56.5
    59    -1121.8045028172         507        257049      101399         750        57.3
    60    -1121.8045103453         546        298116      101419         751        57.2
    61    -1121.8045120838         555        308025      101374         750        58.1
    62    -1121.8045507122         541        292681      101401         755        57.6
    63    -1121.8045580603         525        275625      101417         760        57.7
    64    -1121.8045762833         532        283024      101318         756        57.7
    65    -1121.8045800505         550        302500      101367         759        57.6
    66    -1121.8045921453         543        294849      101393         768        58.2
    67    -1121.8045876495         519        269361      101461         765        57.9
    68    -1121.8045856848         527        277729      101481         762        57.6
    69    -1121.8045881678         569        323761      101314         764        59.0
    70    -1121.8046109531         535        286225      101449         770        57.9
    71    -1121.8046076082         551        303601      101497         767        58.8
    72    -1121.8046168402         523        273529      101437         771        57.9
    73    -1121.8046209310         528        278784      101477         776        59.1
    74    -1121.8046188112         544        295936      101432         773        59.0
    75    -1121.8046214075         525        275625      101411         772        58.2
    76    -1121.8046252434         564        318096      101518         771        58.6
    77    -1121.8046674738         548        300304      101534         781        58.7
    78    -1121.8046744537         561        314721      101385         783        59.2
    79    -1121.8046888073         545        297025      101491         781        59.8
    80    -1121.8046919227         523        273529      101587         782        59.1
    81    -1121.8046938772         542        293764      101520         784        59.1
    82    -1121.8046926919         498        248004      101415         903        57.7
    83    -1121.8047352236         534        285156      101411        1030        65.3
    84    -1121.8047737507         533        284089      101305        1151        72.4
    85    -1121.8048050310         498        248004      101494        1249        80.2
    86    -1121.8048365392         573        328329      101473        1352        89.9
    87    -1121.8048645021         539        290521      101488        1447        98.7
    88    -1121.8048968361         549        301401      101487        1541       111.5
    89    -1121.8049172015         549        301401      101520        1632       120.5
    90    -1121.8049392494         548        300304      101360        1710       131.7
    91    -1121.8049621107         523        273529      101430        1794       140.0
    92    -1121.8049848751         551        303601      101379        1876       152.8
    93    -1121.8050099657         561        314721      101411        1959       165.6
    94    -1121.8050435735         543        294849      101492        2036       178.3
    95    -1121.8050556313         536        287296      101396        2097       190.0
    96    -1121.8050703994         548        300304      101430        2168       201.7
    97    -1121.8050896714         561        314721      101474        2240       212.6
    98    -1121.8051125162         539        290521      101415        2308       225.2
    99    -1121.8051321023         508        258064      101325        2367       240.5
   100    -1121.8051409400         549        301401      101471        2429       254.2
   101    -1121.8051590866         534        285156      101407        2479       264.9
   102    -1121.8051693503         569        323761      101390        2548       279.4
   103    -1121.8051799951         513        263169      101459        2610       290.6
   104    -1121.8051941249         522        272484      101464        2681       307.7
   105    -1121.8052089675         551        303601      101379        2749       327.4
   106    -1121.8052195652         533        284089      101423        2801       343.5
   107    -1121.8052269719         552        304704      101421        2865       360.2
   108    -1121.8052478345         568        322624      101362        2916       379.0
   109    -1121.8052683075         542        293764      101469        2978       392.8
   110    -1121.8052742198         548        300304      101458        3031       411.7
   111    -1121.8052821589         529        279841      101412        3072       424.8
   112    -1121.8053052705         559        312481      101381        3127       444.5
   113    -1121.8053110920         548        300304      101397        3179       461.5
   114    -1121.8053178154         560        313600      101474        3228       476.5
   115    -1121.8053263867         542        293764      101479        3276       491.3
   116    -1121.8053331110         559        312481      101440        3313       507.0
   117    -1121.8053392492         551        303601      101410        3352       521.2
   118    -1121.8053776104         557        310249      101382        3402       536.2
   119    -1121.8053843634         551        303601      101422        3454       553.9
   120    -1121.8053906745         525        275625      101606        3497       573.5
   121    -1121.8053993921         544        295936      101417        3554       592.0
   122    -1121.8054116437         572        327184      101477        3603       616.7
   123    -1121.8054181364         539        290521      101435        3640       636.9
   124    -1121.8054311956         528        278784      101436        3680       648.8
   125    -1121.8054364606         547        299209      101427        3722       666.5
   126    -1121.8054396893         538        289444      101406        3768       685.5
   127    -1121.8054432661         569        323761      101506        3808       700.2
   128    -1121.8054507727         527        277729      101471        3847       684.8
   129    -1121.8054541560         553        305809      101489        3890       705.6
   130    -1121.8054573738         543        294849      101366        3927       722.1
   131    -1121.8054630074         538        289444      101457        3955       737.8
   132    -1121.8055047475         562        315844      101359        3999       760.0
   133    -1121.8055112039         552        304704      101337        4052       779.7
   134    -1121.8055185190         545        297025      101417        4092       801.7
   135    -1121.8055220422         529        279841      101463        4132       822.3
   136    -1121.8055243499         527        277729      101417        4163       836.5
   137    -1121.8055283608         549        301401      101382        4202       861.8
   138    -1121.8055357337         551        303601      101401        4234       885.5
   139    -1121.8055408126         553        305809      101471        4278       939.2
   140    -1121.8055453325         525        275625      101353        4310       955.9
   141    -1121.8055493550         554        306916      101338        4348       982.3
   142    -1121.8055524751         554        306916      101536        4378       998.4
   143    -1121.8055581529         540        291600      101355        4410      1013.1
   144    -1121.8055607499         569        323761      101420        4437      1035.4
   145    -1121.8055632848         552        304704      101440        4467      1048.9
   146    -1121.8055676969         560        313600      101414        4509      1066.4
   147    -1121.8055713859         564        318096      101354        4548      1103.2
   148    -1121.8055743730         527        277729      101413        4581      1112.8
   149    -1121.8055793850         562        315844      101523        4618      1139.3
   150    -1121.8055836646         540        291600      101434        4647      1169.2
   151    -1121.8055859706         540        291600      101384        4671      1178.8
   152    -1121.8055894795         551        303601      101446        4705      1209.8
   153    -1121.8055960527         566        320356      101527        4732      1228.4
   154    -1121.8056043489         533        284089      101386        4759      1239.2
   155    -1121.8056072230         525        275625      101465        4789      1261.7
   156    -1121.8056093871         526        276676      101415        4818      1273.8
   157    -1121.8056143927         549        301401      101429        4839      1292.3
   158    -1121.8056165245         529        279841      101393        4873      1314.6
   159    -1121.8056199152         531        281961      101349        4898      1340.4
   160    -1121.8056221330         554        306916      101416        4925      1365.2
   161    -1121.8056249121         571        326041      101336        4970      1390.4
   162    -1121.8056256561         536        287296      101452        4995      1415.2
   163    -1121.8056279362         519        269361      101457        5022      1433.1
   164    -1121.8056331677         588        345744      101406        5040      1460.3
   165    -1121.8056417469         547        299209      101457        5066      1464.5
   166    -1121.8056448535         538        289444      101405        5088      1483.6
   167    -1121.8056499793         544        295936      101355        5127      1505.8
   168    -1121.8056536305         539        290521      101495        5146      1532.1
   169    -1121.8056575876         549        301401      101410        5174      1553.0
   170    -1121.8056608398         549        301401      101446        5201      1583.7
   171    -1121.8056616923         515        265225      101374        5215      1588.7
   172    -1121.8056666492         551        303601      101405        5240      1612.5
   173    -1121.8056697946         550        302500      101454        5270      1653.7
   174    -1121.8056712629         514        264196      101461        5294      1670.5
