# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7714784589         877        769129       54168          62         3.8
     2    -1121.7959780440         550        302500      144991         205        53.6
     3    -1121.7989023106         532        283024      145078         275        54.1
     4    -1121.7999827034         527        277729      144909         321        54.9
     5    -1121.8007761405         513        263169      145078         372        55.6
     6    -1121.8012725213         557        310249      145057         421        56.7
     7    -1121.8019699047         517        267289      144989         454        57.7
     8    -1121.8022240459         527        277729      144719         493        59.4
     9    -1121.8024145217         517        267289      145003         509        59.6
    10    -1121.8027769631         541        292681      144996         530        61.1
    11    -1121.8030434562         509        259081      144922         555        61.2
    12    -1121.8031300325         518        268324      145150         577        62.8
    13    -1121.8032439298         532        283024      144968         580        62.1
    14    -1121.8033408563         519        269361      144907         598        63.3
    15    -1121.8034634142         544        295936      145050         617        64.5
    16    -1121.8035600183         512        262144      145040         626        64.8
    17    -1121.8036488367         533        284089      144989         637        66.3
    18    -1121.8037475747         539        290521      145036         656        66.9
    19    -1121.8038376609         559        312481      145040         674        69.5
    20    -1121.8038918420         525        275625      144861         682        68.9
    21    -1121.8039578626         502        252004      145176         683        69.2
    22    -1121.8039974330         507        257049      145063         697        69.6
    23    -1121.8040257241         493        243049      145079         706        69.8
    24    -1121.8041000954         546        298116      144950         721        71.3
    25    -1121.8041414195         558        311364      145058         719        72.2
    26    -1121.8041781168         550        302500      145071         729        71.5
    27    -1121.8042493787         535        286225      145018         735        73.0
    28    -1121.8042792473         516        266256      145038         746        73.5
    29    -1121.8043202381         519        269361      145150         755        73.1
    30    -1121.8043346814         529        279841      145122         754        73.4
    31    -1121.8043530639         556        309136      145051         760        74.4
    32    -1121.8043948309         527        277729      145128         761        74.1
    33    -1121.8044228464         533        284089      144941         763        74.6
    34    -1121.8044539785         528        278784      145087         776        74.5
    35    -1121.8044834180         545        297025      144969         786        77.1
    36    -1121.8044860834         539        290521      144930         781        75.2
    37    -1121.8044982790         527        277729      145061         792        75.8
    38    -1121.8044988225         533        284089      145037         793        77.0
    39    -1121.8045545814         544        295936      145035         803        76.2
    40    -1121.8045861862         507        257049      145075         812        77.8
