# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1116.5136181561          28           784          14           1         2.1
     2    -1120.7506524093         935        874225       49881         228        32.6
     3    -1121.7538292562         893        797449       49685         379        42.8
     4    -1121.7840585159         915        837225       49888         750        43.7
     5    -1121.7934429197         929        863041       49889        1104        69.4
     6    -1121.7985384799         935        874225       49901        1389       105.1
     7    -1121.8006499392         925        855625       49895        1666       143.7
     8    -1121.8013106149         935        874225       49900        1928       190.9
     9    -1121.8018167096         948        898704       49881        2184       247.1
    10    -1121.8023517688         924        853776       49887        2431       309.2
    11    -1121.8026452980         920        846400       49900        2658       375.9
    12    -1121.8030423329         924        853776       49888        2882       455.3
    13    -1121.8033504462         937        877969       49883        3080       553.5
    14    -1121.8035621452         924        853776       49897        3252       647.0
    15    -1121.8038637745         934        872356       49899        3420       738.3
    16    -1121.8040592193         937        877969       49898        3588       816.6
    17    -1121.8043934523         939        881721       49893        3735       931.9
    18    -1121.8047240160         918        842724       49902        3894      1037.0
    19    -1121.8048733465         923        851929       49902        4029      1133.2
    20    -1121.8049973764         933        870489       49900        4189      1225.5
    21    -1121.8050732405         936        876096       49876        4346      1340.5
    22    -1121.8053739815         933        870489       49881        4486      1445.7
    23    -1121.8054249171         926        857476       49902        4618      1550.8
    24    -1121.8054802499         926        857476       49902        4762      1686.7
    25    -1121.8055186141         942        887364       49902        4889      1848.5
    26    -1121.8055624663         929        863041       49897        5024      1958.1
    27    -1121.8055774444         935        874225       49899        5133      2086.1
    28    -1121.8056252308         944        891136       49916        5259      2234.2
    29    -1121.8056434039         937        877969       49892        5360      2377.4
    30    -1121.8056904353         936        876096       49890        5470      2505.3
    31    -1121.8057008020         933        870489       49899        5568      2647.0
    32    -1121.8057080446         935        874225       49891        5673      2789.9
    33    -1121.8057353324         936        876096       49879        5775      2949.7
    34    -1121.8057462500         937        877969       49897        5880      3097.5
    35    -1121.8057708204         937        877969       49906        5991      3233.6
# CRASHED iteration=36 batch=0 dets=868624
# CRASHED iteration=36 batch=0 dets=868624
# CRASHED iteration=36 batch=0 dets=868624
# CRASHED iteration=36 batch=0 dets=857476
