# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7902943363         184         33856        1110         178         3.0
     2    -1121.7972581346         761        579121       52356         453        29.5
     3    -1121.7986576234         748        559504       52388         724        40.9
     4    -1121.7995743121         739        546121       52387         940        57.7
     5    -1121.8002808469         727        528529       52385        1151        73.3
     6    -1121.8008222812         755        570025       52358        1397        99.0
     7    -1121.8013680426         751        564001       52383        1608       129.2
     8    -1121.8017072554         768        589824       52386        1825       163.5
     9    -1121.8023993721         737        543169       52402        2018       202.0
    10    -1121.8027089701         738        544644       52419        2212       240.4
    11    -1121.8030480077         737        543169       52375        2381       292.9
    12    -1121.8033215586         762        580644       52379        2543       352.3
    13    -1121.8034793838         737        543169       52389        2692       400.9
    14    -1121.8036532021         749        561001       52395        2861       456.0
    15    -1121.8037745203         766        586756       52388        3002       522.9
    16    -1121.8042326046         721        519841       52367        3140       576.6
    17    -1121.8045935278         759        576081       52388        3298       638.0
    18    -1121.8047807294         757        573049       52374        3425       736.0
    19    -1121.8048708353         757        573049       52402        3569       802.5
    20    -1121.8049178550         762        580644       52355        3674       873.6
    21    -1121.8049735821         738        544644       52330        3799       930.8
    22    -1121.8052183307         742        550564       52386        3931      1007.9
    23    -1121.8052875372         787        619369       52402        4057      1116.4
    24    -1121.8053233505         755        570025       52393        4167      1178.8
    25    -1121.8053925791         754        568516       52373        4276      1257.5
    26    -1121.8054544249         762        580644       52387        4384      1337.4
    27    -1121.8054800133         745        555025       52395        4494      1424.8
    28    -1121.8055200233         747        558009       52363        4592      1499.1
    29    -1121.8055597864         744        553536       52391        4697      1636.8
    30    -1121.8055784377         734        538756       52372        4798      1718.7
    31    -1121.8055871436         718        515524       52360        4899      1805.7
    32    -1121.8056221390         767        588289       52390        4995      1907.4
    33    -1121.8056507457         771        594441       52387        5101      1993.9
    34    -1121.8056596350         767        588289       52365        5190      2100.6
    35    -1121.8056931111         732        535824       52377        5261      2197.3
    36    -1121.8056999212         758        574564       52396        5344      2284.2
    37    -1121.8057103859         761        579121       52404        5422      2371.5
    38    -1121.8057136728         750        562500       52383        5493      2496.9
    39    -1121.8057252542         756        571536       52336        5578      2585.2
    40    -1121.8057314053         728        529984       52398        5642      2704.9
    41    -1121.8057445064         781        609961       52379        5719      2781.1
    42    -1121.8057500662         763        582169       52384        5803      2884.6
    43    -1121.8057599909         754        568516       52395        5877      3034.8
    44    -1121.8057659209         739        546121       52369        5933      3116.1
    45    -1121.8057727667         738        544644       52365        6007      3201.9
    46    -1121.8057777003         748        559504       52390        6071      3279.0
    47    -1121.8057813562         754        568516       52403        2719      2830.8
    48    -1121.8057305983         753        567009       52388        2163       492.9
    49    -1121.8056847842         735        540225       52405        1898       298.9
    50    -1121.8056415055         735        540225       52415        1724       229.3
    51    -1121.8056014369         759        576081       52398        1598       189.7
    52    -1121.8055666483         763        582169       52382        1507       162.3
    53    -1121.8055375409         758        574564       52374        1724       149.0
    54    -1121.8055546374         741        549081       52389        1911       178.8
    55    -1121.8055734608         752        565504       52396        2108       209.3
    56    -1121.8055871271         777        603729       52370        2306       247.4
    57    -1121.8055993367         752        565504       52351        2474       284.9
    58    -1121.8056150844         763        582169       52366        2650       328.0
    59    -1121.8056263140         761        579121       52383        2822       369.0
    60    -1121.8056362340         748        559504       52384        2965       418.9
    61    -1121.8056487678         770        592900       52394        3112       466.9
    62    -1121.8056591514         755        570025       52404        3262       519.6
    63    -1121.8056684128         746        556516       52365        3384       568.2
    64    -1121.8056785715         763        582169       52354        3519       617.9
    65    -1121.8056880491         763        582169       52367        3662       679.1
    66    -1121.8056961918         744        553536       52400        3776       765.2
    67    -1121.8057048633         726        527076       52374        3900       817.7
    68    -1121.8057120300         734        538756       52381        4007       885.9
    69    -1121.8057207676         746        556516       52349        4112       936.5
    70    -1121.8057258768         761        579121       52362        4246      1001.7
    71    -1121.8057325846         738        544644       52362        4352      1073.5
    72    -1121.8057385896         722        521284       52372        4453      1133.3
    73    -1121.8057438137         773        597529       52373        4576      1214.6
    74    -1121.8057507017         773        597529       52383        4673      1278.6
    75    -1121.8057551285         762        580644       52377        4782      1339.9
    76    -1121.8057629871         751        564001       52395        4877      1410.5
    77    -1121.8057676202         751        564001       52380        4956      1488.2
    78    -1121.8057720417         732        535824       52393        5062      1544.2
    79    -1121.8057779065         752        565504       52391        5146      1629.0
    80    -1121.8057813359         754        568516       52396        5226      1690.2
    81    -1121.8057853391         763        582169       52357        5311      1801.5
    82    -1121.8057891518         778        605284       52400        5396      1870.7
    83    -1121.8057932972         753        567009       52405        5465      1975.5
    84    -1121.8057972823         780        608400       52395        5547      2050.8
    85    -1121.8058001258         762        580644       52355        5620      2144.5
    86    -1121.8058052660         766        586756       52397        5698      2239.5
    87    -1121.8058082439         733        537289       52378        5764      2323.8
    88    -1121.8058113176         733        537289       52369        5838      2424.2
    89    -1121.8058143599         741        549081       52383        5911      2509.3
    90    -1121.8058177668         739        546121       52387        5983      2596.7
    91    -1121.8058245562         727        528529       52384        6033      2671.2
    92    -1121.8058277916         771        594441       52399        6104      2759.2
# CRASHED iteration=93 batch=0 dets=559504
